Frame,MSE_DefMean,MSE_BestEnvelope,MSE_Ours_BayF,MSE_Ours_KF
1,47.7351,46.0658,47.7351,48.0499
2,48.0173,45.5999,46.9736,48.0870
3,48.0173,45.5999,46.9736,47.8670
4,48.0173,45.5999,46.9736,47.6452
5,47.5884,42.9467,46.3400,47.5609
6,50.3227,43.6250,49.5039,46.9246
7,52.4452,47.0839,51.9207,49.9314
8,57.7507,51.6515,57.1872,55.2480
9,57.9453,52.7657,57.5323,56.1112
10,48.7782,46.3319,48.2938,54.9568
11,54.5104,55.6171,56.1855,54.1551
12,47.7636,47.7190,47.9486,54.6275
13,41.0820,40.3413,41.2044,55.2837
14,53.0520,53.3913,53.5248,53.9890
15,54.7336,50.5962,54.2963,46.1973
16,36.3419,36.0516,35.8723,39.1360
17,37.1931,36.8279,36.1535,38.3624
18,35.0660,34.5972,34.2231,37.4705
19,36.6547,36.0723,35.9497,37.0046
20,37.3684,37.4581,37.1926,35.9236
21,39.4832,38.6836,38.3549,37.9805
22,38.7631,36.8514,37.0643,38.6978
23,35.6474,34.1442,34.0195,38.2160
24,35.7219,34.5346,34.6993,37.6155
25,35.3788,32.5950,33.7637,35.9934
26,33.8978,31.5029,33.5173,34.1057
27,35.6552,33.9262,35.6825,33.4115
28,35.2538,34.2008,35.6719,33.8806
29,34.7588,33.6044,33.3644,34.8139
30,35.0645,32.5814,33.6564,36.5213
31,36.0094,34.5186,34.6805,39.0868
32,36.4634,33.7204,34.8760,41.0916
33,36.0724,32.8475,34.3309,37.4787
34,35.6519,32.8569,34.0157,34.1694
35,34.5198,31.4790,32.8489,32.0006
36,35.3926,32.3471,32.0454,30.5236
37,35.2581,32.1396,32.0829,30.9904
38,34.9282,31.6707,31.6484,31.1219
39,34.9153,31.9159,31.9087,30.9753
40,34.0739,31.4365,30.3109,29.8823
41,34.0764,30.9297,30.3146,29.8556
42,33.8044,30.3621,30.1525,29.6707
43,33.3461,29.9649,29.6926,29.0199
44,42.9530,33.5384,33.3903,28.4098
45,19.0088,20.0685,18.3261,18.1791
46,40.0972,40.7135,44.2483,20.1067
47,35.8733,38.4461,41.7342,23.7720
48,48.5567,45.9214,49.1045,27.1153
49,43.4111,38.3403,41.2697,29.8454
50,43.4111,38.3403,41.2697,33.8542
51,39.1743,40.7833,41.8359,35.3175
52,38.7535,39.7159,41.5521,34.9609
53,35.0446,37.2141,38.1993,33.7702
54,36.2163,37.9000,39.6647,36.4107
55,30.2319,31.7397,33.1109,34.0770
56,31.7392,32.0211,32.3048,32.8532
57,31.7092,31.9629,32.4094,32.5394
58,29.9099,30.1669,30.5674,30.4223
59,29.4641,29.7766,30.0379,29.7399
60,29.6058,29.8570,30.1534,29.7166
61,29.5518,29.9218,30.1503,29.8900
62,29.6478,30.0636,30.2809,30.1639
63,29.5848,30.0884,30.6400,30.1795
64,28.6619,29.4120,29.6229,29.4631
65,28.6619,29.4120,29.6112,29.4812
66,28.6619,29.4120,29.6032,29.4812
67,28.6506,29.4004,29.5916,29.4696
68,28.6506,29.4004,29.5902,29.4696
69,28.6788,29.4289,29.6232,29.4981
70,28.6788,29.4289,29.6191,29.4981
71,29.2202,29.9684,30.1538,30.0375
72,31.7000,31.6258,32.1875,32.4423
73,32.1431,32.5503,32.8692,32.5848
74,31.6594,31.4893,31.7561,31.8103
75,31.6594,31.4893,31.6365,31.6266
76,31.5685,31.3969,31.6062,31.4082
77,31.5726,31.4013,31.6103,31.3692
78,31.4397,31.3016,31.4775,31.2559
79,31.4397,31.3016,31.4775,31.2559
80,31.7991,31.6621,31.8368,31.6200
81,31.2562,31.0907,31.3924,31.0586
82,31.2260,31.0611,31.2635,31.0291
83,31.2763,31.1147,31.3151,31.0824
84,31.2763,31.1147,31.3151,31.0824
85,31.2763,31.1147,31.3151,31.0824
86,30.0084,29.0592,30.0581,31.7240
87,30.0084,29.0592,30.0581,31.2344
88,15.3628,15.1950,15.3654,25.8876
89,15.5198,15.3800,15.5309,20.2243
90,16.7200,15.6375,16.7648,18.6008
91,19.3182,17.8460,19.3386,19.9762
92,19.3222,17.8614,19.3421,19.7579
93,19.4087,17.8821,19.4248,19.7730
94,21.6625,19.9300,21.6793,21.9453
95,56.5267,51.5079,56.5167,57.3459
96,56.9297,51.6604,56.9633,57.3205
97,59.2171,53.6955,59.2545,59.5513
98,59.2741,54.2474,59.3335,59.5532
99,66.8048,63.4910,66.1575,66.0273
100,66.7708,63.4401,66.1276,66.1860
101,69.7184,66.2190,69.6844,69.5946
102,71.4384,67.3051,71.4139,71.6180
103,20.0629,19.9482,21.2887,20.6810
104,15.4426,16.7028,17.6577,16.9980
105,15.4426,16.7028,17.6577,16.9881
106,18.7124,20.3232,21.1318,20.5143
107,19.9057,21.8238,22.3193,21.8228
108,20.8924,22.2921,22.9090,22.3248
109,21.5522,22.4084,22.9443,22.5640
110,21.9416,23.0815,23.4290,23.1427
111,22.6805,22.5871,23.5673,23.4389
112,22.6928,22.5919,23.5808,23.4330
113,24.1122,21.6902,23.5258,23.6491
114,25.9003,22.1865,24.2651,24.6487
115,27.2928,22.5877,24.6345,25.2325
116,27.1661,22.8226,24.3791,24.9293
117,26.4546,22.8788,24.2171,24.6265
118,26.4384,22.8278,23.8403,24.2038
119,26.0973,22.7580,23.6021,23.9532
120,26.1283,22.8531,23.1730,24.6566
121,25.9974,22.8160,23.0489,24.5213
122,27.3389,24.5922,24.3776,24.8078
123,31.1327,27.7574,26.6037,21.3430
124,34.1302,29.0354,27.7774,20.6672
125,30.8456,26.8277,26.9756,22.6455
126,29.9362,26.3620,24.4672,23.5500
127,33.2887,30.5257,30.7804,28.9851
128,31.4578,30.4292,29.5935,26.8483
129,28.2476,27.8647,28.1179,26.5772
130,33.0999,36.3835,36.9313,33.0429
131,33.2064,33.5717,34.3758,33.2555
132,33.9752,33.2773,35.7590,33.7949
133,35.2231,32.8663,34.2366,33.1500
134,35.7967,32.4352,35.5659,33.9610
135,30.3875,33.2579,34.7197,34.2624
136,30.7501,32.6593,33.8322,34.6894
137,38.2808,39.6602,40.2805,35.7344
138,33.1325,39.3429,39.0955,35.4343
139,29.9728,37.5707,36.1100,36.7794
140,24.6491,29.7204,27.5807,34.3714
141,26.6399,31.8876,29.4673,33.2425
142,28.8609,32.9000,31.9850,32.9735
143,31.1337,33.5291,30.4088,32.6095
144,35.9403,38.1812,36.4458,33.7508
145,43.3839,37.5908,38.4222,39.2757
146,44.2216,42.4710,42.7172,43.4066
147,45.7290,45.9948,48.4187,45.9117
148,43.5923,31.9937,38.5466,46.1024
149,41.7614,30.2352,34.6009,43.3591
150,41.2834,29.9968,33.5197,42.6178
151,38.9010,23.8396,26.9747,39.2922
152,54.8589,46.8145,56.5837,49.0544
153,51.1103,46.4637,53.0287,50.1150
154,51.7928,46.2175,53.2297,54.2530
155,52.0940,49.8803,51.1621,57.4651
156,54.7728,52.1829,55.4418,58.9924
157,71.5657,66.2966,71.9129,62.5856
158,77.7705,72.2401,77.7410,69.7641
159,83.4264,76.9645,83.4264,77.3403
160,90.9896,90.3612,90.9896,84.1199
161,98.1690,96.4927,98.1690,91.8977
162,76.5941,71.0116,76.5941,86.3877
163,78.3138,69.5598,78.3138,82.1244
164,66.3981,61.7665,66.3981,76.0859
165,66.7196,61.3725,66.7196,68.2470
166,79.5270,66.1406,79.5270,59.5452
167,53.2157,53.1838,53.2157,51.3043
168,37.9095,37.3205,37.9095,44.7659
169,39.0802,38.9179,39.0802,41.6193
170,46.3356,39.9463,46.3356,39.4608
171,56.5058,47.8741,56.5058,38.9505
172,59.4486,58.9927,59.4486,42.1910
173,54.2017,51.0192,54.2017,46.5532
174,37.7287,37.7265,37.7287,39.7352
175,14.4454,14.2790,14.3043,31.5204
176,14.6107,14.4954,14.4549,25.1082
177,12.2577,9.4981,11.4423,19.7649
178,6.6808,5.5901,6.5684,17.5828
