Frame,MSE_KF,Avg_MSE_KF,MSE_P0,Avg_MSE_P0,MSE_P1,Avg_MSE_P1,MSE_P2,Avg_MSE_P2,MSE_P3,Avg_MSE_P3,MSE_P4,Avg_MSE_P4,MSE_P5,Avg_MSE_P5,MSE_P6,Avg_MSE_P6,MSE_P7,Avg_MSE_P7,MSE_P8,Avg_MSE_P8,MSE_P9,Avg_MSE_P9,MSE_P10,Avg_MSE_P10,MSE_P11,Avg_MSE_P11,MSE_P12,Avg_MSE_P12,MSE_P13,Avg_MSE_P13,MSE_P14,Avg_MSE_P14,MSE_P15,Avg_MSE_P15
1,6.8116,6.8116,7.5809,7.5809,11.2062,11.2062,15.6957,15.6957,7.5123,7.5123,6.0773,6.0773,7.6251,7.6251,7.7885,7.7885,12.9886,12.9886,7.5594,7.5594,7.6804,7.6804,10.4417,10.4417,12.1654,12.1654,7.6757,7.6757,7.4683,7.4683,7.5947,7.5947,7.6394,7.6394
2,6.5505,6.6810,5.5331,6.5570,14.4480,12.8271,16.0200,15.8578,6.8099,7.1611,6.7844,6.4309,5.2470,6.4361,6.3998,7.0941,12.5733,12.7809,5.6732,6.6163,6.7776,7.2290,10.3959,10.4188,12.4073,12.2864,6.4422,7.0590,5.5077,6.4880,5.5531,6.5739,6.0356,6.8375
3,8.3091,7.2237,11.2305,8.1148,13.6607,13.1050,16.6197,16.1118,10.4451,8.2558,8.5140,7.1253,9.4498,7.4407,11.1866,8.4583,13.8222,13.1280,10.9476,8.0600,11.3015,8.5865,14.6505,11.8294,16.1291,13.5673,10.9153,8.3444,8.9991,7.3250,11.1964,8.1147,11.2651,8.3134
4,9.1001,7.6928,14.1297,9.6186,16.6975,14.0031,24.5678,18.2258,13.3328,9.5250,15.7808,9.2892,15.2387,9.3902,13.4439,9.7047,17.9905,14.3436,13.9336,9.5284,13.5018,9.8153,18.0366,13.3812,20.6529,15.3387,13.4039,9.6093,15.1514,9.2816,14.1126,9.6142,13.9882,9.7321
5,10.3940,8.2331,13.9694,10.4887,16.3191,14.4663,24.2193,19.4245,13.3109,10.2822,17.1740,10.8661,18.9924,11.3106,13.3239,10.4285,20.7159,15.6181,13.2375,10.2702,13.3451,10.5213,16.6240,14.0297,24.4273,17.1564,13.3006,10.3476,16.8943,10.8042,13.5420,10.3998,13.3504,10.4557
6,12.6748,8.9734,16.8288,11.5454,20.2973,15.4381,32.6707,21.6322,15.2027,11.1023,17.4547,11.9642,17.4061,12.3265,15.2204,11.2272,26.5389,17.4382,16.6233,11.3291,15.2894,11.3160,17.4145,14.5939,32.1147,19.6494,15.1916,11.1549,17.4424,11.9105,16.7445,11.4572,16.4209,11.4499
7,13.3499,9.5986,16.6189,12.2702,21.6622,16.3273,26.2063,22.2856,13.4956,11.4442,17.5929,12.7683,18.1446,13.1577,14.2309,11.6563,26.1206,18.6786,14.6846,11.8085,15.5216,11.9168,20.1244,15.3839,25.2170,20.4448,14.4855,11.6307,17.1880,12.6645,15.9302,12.0962,15.6290,12.0470
8,11.4719,9.8327,18.5890,13.0601,18.6187,16.6137,26.3091,22.7886,17.9799,12.2611,16.3133,13.2115,18.3563,13.8075,18.6872,12.5351,22.2651,19.1269,18.6690,12.6660,18.9013,12.7898,17.1263,15.6017,22.4362,20.6937,18.2107,12.4532,17.4823,13.2667,18.7583,12.9290,18.8219,12.8938
9,16.2478,10.5455,21.3023,13.9759,24.3504,17.4733,23.7292,22.8931,22.7957,13.4317,22.5057,14.2441,22.4355,14.7662,22.5870,13.6520,22.4038,19.4910,21.9296,13.6953,21.7978,13.7907,22.1119,16.3251,22.2002,20.8611,22.7895,13.6017,22.5206,14.2949,21.2649,13.8552,21.3400,13.8323
10,18.2174,11.3127,26.8680,15.2651,25.4559,18.2716,26.8307,23.2868,22.4549,14.3340,27.6792,15.5876,28.4535,16.1349,23.4190,14.6287,26.3341,20.1753,25.7122,14.8970,25.0095,14.9126,25.1214,17.2047,28.5492,21.6299,24.0103,14.6425,28.2448,15.6899,26.3315,15.1028,26.7587,15.1249
