Frame,MSE_KF,Avg_MSE_KF
1,12.9389,12.9389
2,13.8434,13.3912
3,13.8216,13.5346
4,13.8216,13.6064
5,13.6450,13.6141
6,13.8822,13.6588
7,13.3762,13.6184
8,13.6138,13.6178
9,13.7037,13.6274
10,12.0162,13.4663
11,11.8083,13.3155
12,12.4847,13.2463
13,12.4048,13.1816
14,11.9660,13.0947
15,11.0448,12.9581
16,11.8908,12.8914
17,14.5877,12.9912
18,16.4578,13.1838
19,11.9900,13.1209
20,14.6887,13.1993
21,14.3870,13.2559
22,16.8351,13.4186
23,17.4516,13.5939
24,19.3273,13.8328
25,21.1589,14.1258
26,21.3188,14.4025
27,22.0643,14.6863
28,22.7269,14.9734
29,22.2729,15.2251
30,22.2113,15.4580
31,22.7486,15.6932
32,22.6967,15.9120
33,22.0504,16.0981
34,22.0507,16.2731
35,23.5645,16.4815
36,23.5640,16.6782
37,27.0599,16.9588
38,27.0594,17.2246
39,26.9756,17.4746
40,26.9700,17.7120
41,26.2746,17.9208
42,26.2890,18.1201
43,24.2081,18.2617
44,24.2618,18.3980
45,21.9037,18.4759
46,21.5907,18.5437
47,21.8133,18.6132
48,22.2578,18.6892
49,23.3230,18.7837
50,22.1725,18.8515
51,17.2900,18.8209
52,13.6557,18.7215
53,12.5871,18.6058
54,14.2202,18.5246
55,13.8241,18.4391
56,13.8315,18.3568
57,15.7412,18.3110
58,15.5612,18.2635
59,14.7491,18.2040
60,13.1582,18.1199
61,12.1323,18.0217
62,10.8430,17.9059
63,11.8699,17.8101
64,13.5720,17.7439
65,18.0005,17.7479
66,23.4643,17.8345
67,26.5897,17.9651
68,28.4948,18.1200
69,29.4450,18.2841
70,28.3516,18.4279
71,34.3928,18.6528
72,39.1843,18.9380
73,43.4690,19.2740
74,50.2868,19.6931
75,56.8776,20.1889
76,56.3624,20.6649
77,52.4166,21.0772
78,50.6104,21.4558
79,46.5495,21.7735
80,43.6631,22.0471
81,43.7650,22.3152
82,51.1132,22.6664
83,57.8521,23.0903
84,61.7700,23.5508
85,64.1417,24.0284
86,84.3846,24.7302
87,72.1180,25.2749
88,58.6623,25.6543
89,46.1099,25.8841
90,46.9990,26.1187
91,86.1182,26.7781
92,75.7141,27.3100
93,67.1515,27.7384
94,67.2933,28.1592
95,67.1533,28.5696
96,67.9847,28.9802
97,60.1560,29.3016
98,60.7315,29.6223
99,61.3419,29.9427
100,58.7825,30.2311
101,58.7219,30.5132
102,58.6458,30.7890
103,58.7597,31.0606
104,58.6519,31.3259
105,60.0666,31.5996
106,60.0711,31.8682
107,60.3777,32.1346
108,60.3804,32.3962
109,61.0526,32.6591
110,58.0933,32.8903
111,35.8556,32.9170
112,36.1056,32.9455
113,27.6077,32.8982
114,27.8189,32.8537
115,27.4543,32.8067
116,25.6215,32.7448
117,25.4648,32.6826
118,26.5475,32.6306
119,27.2870,32.5857
120,28.1493,32.5487
121,28.5939,32.5160
122,27.9345,32.4785
123,27.6632,32.4393
124,31.1054,32.4286
125,29.8736,32.4081
126,29.9909,32.3889
127,30.2688,32.3722
128,27.5381,32.3345
129,25.2668,32.2797
130,26.8611,32.2380
131,33.1735,32.2451
132,34.8718,32.2650
133,35.9171,32.2925
134,38.5827,32.3394
135,40.4711,32.3997
136,40.3551,32.4582
137,41.5593,32.5246
138,44.4313,32.6109
139,45.2617,32.7019
140,40.8018,32.7598
141,39.1326,32.8050
142,41.5988,32.8669
143,39.0113,32.9099
144,35.0937,32.9250
145,33.8014,32.9311
146,34.1391,32.9393
147,34.1261,32.9474
148,34.3027,32.9566
149,34.8656,32.9694
150,36.1109,32.9903
151,36.2408,33.0118
152,36.9199,33.0376
153,36.9233,33.0630
154,37.0606,33.0889
155,37.0795,33.1147
156,37.2807,33.1414
157,37.2069,33.1673
158,34.1918,33.1737
159,34.2327,33.1804
160,43.3369,33.2439
161,41.2437,33.2936
162,40.0390,33.3352
