Frame,MSE_KF,Avg_MSE_KF
1,17.7055,17.7055
2,18.0304,17.8680
3,18.2477,17.9946
4,16.9432,17.7317
5,14.2460,17.0346
6,12.2405,16.2356
7,13.1277,15.7916
8,13.3040,15.4806
9,14.6437,15.3876
10,13.6741,15.2163
11,14.2879,15.1319
12,15.0037,15.1212
13,14.1994,15.0503
14,12.5985,14.8752
15,13.0358,14.7526
16,14.2183,14.7192
17,13.1005,14.6239
18,13.4393,14.5581
19,13.6289,14.5092
20,17.0980,14.6387
21,21.1617,14.9493
22,23.7277,15.3483
23,26.6433,15.8394
24,28.6042,16.3713
25,31.7291,16.9856
26,34.5426,17.6608
27,33.2527,18.2383
28,35.3562,18.8497
29,35.9811,19.4404
30,34.3625,19.9378
31,34.2634,20.3999
32,30.4159,20.7129
33,18.9908,20.6607
34,15.6962,20.5147
35,11.3586,20.2531
36,14.0077,20.0796
37,16.3368,19.9785
38,18.8414,19.9486
39,21.4687,19.9875
40,21.8869,20.0350
41,21.6536,20.0745
42,23.8155,20.1636
43,24.2517,20.2586
44,28.7497,20.4516
45,31.1899,20.6902
46,30.0217,20.8931
47,30.4672,21.0968
48,31.8814,21.3215
49,31.5873,21.5310
50,29.3784,21.6879
51,40.6874,22.0605
52,38.9116,22.3845
53,26.3682,22.4597
54,33.0479,22.6558
55,30.8515,22.8048
56,34.2787,23.0097
57,35.6100,23.2307
58,37.0804,23.4695
59,35.4089,23.6719
60,35.4575,23.8683
61,34.7498,24.0467
62,36.1359,24.2417
63,36.4463,24.4354
64,33.8149,24.5820
65,30.9233,24.6795
66,26.1166,24.7013
67,27.2924,24.7400
68,27.9473,24.7871
69,46.5691,25.1028
70,41.7650,25.3409
71,23.7372,25.3183
72,16.6343,25.1977
73,17.5663,25.0931
74,16.9095,24.9825
75,16.5956,24.8707
76,18.0762,24.7813
77,18.7404,24.7028
78,20.2747,24.6461
79,15.0219,24.5242
80,15.0219,24.4055
81,15.0219,24.2896
82,17.3095,24.2045
83,17.3095,24.1214
84,18.8215,24.0583
85,18.9407,23.9981
86,18.9407,23.9393
87,18.9407,23.8819
88,18.5285,23.8210
89,17.0396,23.7448
90,16.0572,23.6594
91,11.9056,23.5303
92,0.7136,23.2822
93,0.0553,23.0325
94,0.0470,22.7880
95,0.0665,22.5488
96,0.0938,22.3149
97,0.1057,22.0859
98,0.0901,21.8615
