Frame,MSE_DefMean,MSE_BestEnvelope,MSE_Ours_BayF,MSE_Ours_KF,Avg_DefMean,Avg_BestEnvelope,Avg_Ours_BayF,Avg_Ours_KF
1,53.5466,44.3643,53.5466,56.5429,53.5466,44.3643,53.5466,56.5429
2,57.5911,49.6458,57.5911,60.3787,55.5689,47.0051,55.5689,58.4608
3,57.5911,49.6458,57.5911,60.3787,56.2430,47.8853,56.2430,59.1001
4,57.9027,50.3464,57.9008,60.5994,56.6579,48.5006,56.6574,59.4749
5,56.7312,49.9475,56.7293,59.3301,56.6726,48.7900,56.6718,59.4459
6,64.2674,48.7220,64.2620,57.4713,57.9384,48.7786,57.9368,59.1168
7,59.1845,44.1123,59.1786,54.1934,58.1164,48.1120,58.1142,58.4135
8,58.9570,43.8592,58.5516,54.1429,58.2215,47.5804,58.1689,57.8797
9,53.3386,44.8767,52.1421,50.4262,57.6789,47.2800,57.4993,57.0515
10,50.1089,41.4212,48.6509,53.6930,56.9219,46.6941,56.6144,56.7156
11,55.4490,46.1123,55.0826,52.3464,56.7880,46.6412,56.4752,56.3184
12,53.6864,43.8657,53.1702,55.7206,56.5295,46.4099,56.1998,56.2686
13,50.9507,43.3659,49.4205,54.5925,56.1004,46.1758,55.6783,56.1397
14,43.3540,35.9372,42.2610,51.5749,55.1900,45.4444,54.7199,55.8136
15,41.3255,36.6538,40.4166,46.5752,54.2657,44.8584,53.7663,55.1977
16,33.2517,34.0013,32.4357,38.2428,52.9523,44.1798,52.4332,54.1380
17,35.3234,35.1896,34.5931,32.0910,51.9153,43.6510,51.3838,52.8412
18,54.9203,51.6393,54.6262,32.0999,52.0822,44.0948,51.5639,51.6889
19,54.9203,51.6393,54.6262,34.9010,52.2316,44.4919,51.7251,50.8053
20,55.7137,53.6566,55.2399,37.9501,52.4057,44.9501,51.9008,50.1625
21,56.0734,54.0450,55.7154,43.4769,52.5804,45.3832,52.0825,49.8442
22,53.6679,51.0157,53.7530,51.0032,52.6298,45.6392,52.1584,49.8969
23,54.8678,50.9841,54.3689,50.6824,52.7271,45.8716,52.2545,49.9310
24,48.8697,44.5320,48.5927,49.0588,52.5664,45.8158,52.1019,49.8947
25,47.0252,44.2747,46.2760,46.8325,52.3447,45.7541,51.8689,49.7722
26,48.1023,45.2040,47.5477,45.2233,52.1816,45.7330,51.7027,49.5972
27,47.6370,46.3242,46.8347,42.7520,52.0132,45.7549,51.5224,49.3437
28,47.1900,45.9997,46.2066,41.3625,51.8410,45.7636,51.3325,49.0587
29,47.5445,43.8269,45.9987,41.7687,51.6928,45.6968,51.1486,48.8073
30,45.7666,44.7919,44.6179,41.8887,51.4953,45.6667,50.9309,48.5767
31,43.5175,41.2096,42.3906,43.6832,51.2379,45.5229,50.6554,48.4188
32,44.1636,42.4677,43.2548,43.5294,51.0169,45.4274,50.4242,48.2660
33,42.8746,40.6478,42.6013,43.5996,50.7701,45.2826,50.1871,48.1246
34,44.0023,42.7882,43.7502,44.2408,50.5711,45.2092,49.9978,48.0104
35,44.0002,44.9341,43.6791,44.6211,50.3833,45.2014,49.8172,47.9135
36,44.6736,47.0524,45.0945,46.3623,50.2247,45.2528,49.6861,47.8705
37,44.7338,47.1497,45.0516,46.0648,50.0763,45.3040,49.5608,47.8216
38,45.1023,47.9712,45.5745,46.5088,49.9454,45.3742,49.4559,47.7871
39,44.9935,47.8560,45.4513,46.4744,49.8185,45.4379,49.3532,47.7534
40,36.9205,32.7858,37.7648,44.4302,49.4960,45.1216,49.0635,47.6704
41,42.1477,43.9947,42.6079,42.5867,49.3168,45.0941,48.9061,47.5464
42,40.7773,42.5101,41.7033,40.8787,49.1135,45.0326,48.7346,47.3876
43,26.2644,28.0681,27.9147,33.2975,48.5821,44.6380,48.2504,47.0599
44,30.5012,26.4998,31.1718,28.5223,48.1712,44.2258,47.8622,46.6386
45,26.8155,27.2193,28.1480,24.8645,47.6966,43.8479,47.4241,46.1548
46,25.6529,26.6274,26.8549,23.0420,47.2174,43.4735,46.9770,45.6523
47,24.7575,26.0454,25.5867,23.6503,46.7395,43.1027,46.5219,45.1842
48,23.7116,25.6625,24.1449,24.3951,46.2598,42.7394,46.0557,44.7511
49,22.9829,24.4883,22.9718,23.3341,45.7847,42.3669,45.5846,44.3140
50,21.6209,24.0212,22.2097,22.0001,45.3014,42.0000,45.1171,43.8677
51,25.1885,26.6612,25.5376,25.4926,44.9071,41.6992,44.7332,43.5074
52,23.2111,27.2386,25.8150,25.1275,44.4898,41.4211,44.3694,43.1540
53,22.6344,25.7339,24.9811,24.5900,44.0775,41.1252,44.0035,42.8037
54,22.5115,24.3518,25.7760,24.8037,43.6781,40.8145,43.6660,42.4704
55,26.4684,28.4209,28.0815,25.1982,43.3652,40.5892,43.3826,42.1563
56,25.7240,26.6216,27.4062,25.0358,43.0502,40.3398,43.0973,41.8506
57,27.1881,28.6369,27.8083,25.4055,42.7719,40.1345,42.8291,41.5621
58,26.3771,29.7382,30.6658,25.3499,42.4892,39.9552,42.6194,41.2826
59,27.7725,31.8259,30.7800,27.1461,42.2398,39.8174,42.4187,41.0430
60,28.6807,33.1984,31.7671,28.8514,42.0138,39.7071,42.2412,40.8398
61,37.2891,39.6736,40.2897,32.4509,41.9364,39.7066,42.2092,40.7022
62,35.2977,34.9497,38.2108,32.1254,41.8293,39.6298,42.1447,40.5639
63,33.4848,33.6376,36.2420,31.6083,41.6968,39.5347,42.0510,40.4218
64,31.9904,33.3940,35.4681,31.7619,41.5452,39.4388,41.9482,40.2865
65,30.7190,32.1662,33.6042,32.7413,41.3786,39.3269,41.8198,40.1704
66,31.3913,33.0680,34.7471,32.8824,41.2273,39.2321,41.7126,40.0599
67,30.4999,32.0645,33.0953,31.9633,41.0672,39.1251,41.5840,39.9391
68,30.6192,31.8730,29.9570,32.2645,40.9135,39.0184,41.4130,39.8262
69,26.8199,21.9897,25.0366,29.1410,40.7093,38.7716,41.1757,39.6714
70,24.0997,22.3543,23.6810,25.3705,40.4720,38.5371,40.9258,39.4671
71,20.3420,20.7746,18.4261,21.3782,40.1885,38.2869,40.6089,39.2123
72,21.6353,20.4212,18.3409,19.0981,39.9308,38.0388,40.2996,38.9329
73,26.7464,26.5690,24.7730,18.6925,39.7502,37.8817,40.0869,38.6557
74,26.8221,26.1004,24.7593,18.1790,39.5755,37.7225,39.8798,38.3790
75,27.9534,25.7107,26.1181,19.4127,39.4205,37.5623,39.6963,38.1261
76,28.6657,26.5381,28.3927,21.6157,39.2790,37.4173,39.5476,37.9088
77,25.5860,23.9550,25.9151,23.6466,39.1012,37.2424,39.3705,37.7236
78,26.8318,25.4383,26.2340,23.7150,38.9439,37.0911,39.2021,37.5440
79,26.2839,24.2004,25.7669,23.0897,38.7836,36.9279,39.0320,37.3611
80,26.7510,25.4222,26.2326,24.2218,38.6332,36.7841,38.8720,37.1968
81,28.6032,27.2445,28.4439,24.8112,38.5094,36.6663,38.7433,37.0439
82,28.4978,27.5461,28.2117,24.9924,38.3873,36.5551,38.6149,36.8969
83,28.5375,28.1953,28.5232,25.7638,38.2686,36.4544,38.4933,36.7628
84,28.1283,28.0207,27.8062,26.7004,38.1479,36.3540,38.3660,36.6430
85,29.0280,28.5703,28.4723,27.8521,38.0406,36.2624,38.2497,36.5396
86,28.9418,28.2033,28.2843,27.3158,37.9348,36.1687,38.1338,36.4323
87,29.9937,28.7313,28.8571,27.3697,37.8435,36.0832,38.0271,36.3282
88,29.5182,27.4055,28.4196,27.0144,37.7489,35.9846,37.9180,36.2223
89,29.2921,27.6799,28.3428,27.4013,37.6539,35.8913,37.8104,36.1232
90,30.9914,30.9425,30.3826,28.4072,37.5799,35.8363,37.7279,36.0375
91,30.2210,30.8217,29.6166,28.6627,37.4990,35.7812,37.6387,35.9564
92,30.7529,31.5212,30.6376,29.1828,37.4257,35.7349,37.5626,35.8828
93,33.6054,33.2359,32.6615,31.2811,37.3846,35.7080,37.5099,35.8333
94,38.5338,35.5923,37.5336,33.7356,37.3968,35.7068,37.5102,35.8110
95,37.0460,37.5053,36.8178,36.0495,37.3931,35.7257,37.5029,35.8135
96,41.5088,40.1051,40.7546,39.5646,37.4360,35.7713,37.5368,35.8526
97,32.9169,25.8032,30.1529,39.9312,37.3894,35.6686,37.4606,35.8946
98,34.4828,31.4607,33.6158,38.9814,37.3598,35.6256,37.4214,35.9261
99,39.4364,34.3323,38.5596,38.7600,37.3807,35.6126,37.4329,35.9548
100,35.1900,31.5568,34.1860,37.7611,37.3588,35.5720,37.4004,35.9728
101,35.1024,30.7978,34.8810,37.9173,37.3365,35.5248,37.3755,35.9921
102,38.1458,32.2460,37.7663,38.9550,37.3444,35.4926,37.3793,36.0211
103,36.7433,32.4676,37.1107,38.2686,37.3386,35.4632,37.3767,36.0430
104,34.7160,30.0037,34.7467,36.9380,37.3134,35.4107,37.3514,36.0516
105,35.1118,28.4225,34.3963,37.4215,37.2924,35.3442,37.3233,36.0646
106,40.4116,32.2259,39.7773,37.8487,37.3218,35.3148,37.3464,36.0814
107,46.9614,38.6538,46.2790,43.6403,37.4119,35.3460,37.4299,36.1521
108,40.2484,36.2378,39.2907,42.0026,37.4382,35.3542,37.4471,36.2063
109,40.0649,37.2000,39.3027,41.4174,37.4623,35.3712,37.4642,36.2541
110,46.5037,42.2533,44.5084,40.9542,37.5445,35.4337,37.5282,36.2968
111,56.3056,51.9136,55.1782,44.1009,37.7135,35.5822,37.6872,36.3671
112,66.2880,59.3992,65.0698,48.8503,37.9686,35.7949,37.9317,36.4786
113,57.3152,47.7727,55.7418,50.1629,38.1398,35.9008,38.0893,36.5997
114,58.8506,47.4999,55.9828,55.1976,38.3215,36.0026,38.2463,36.7628
115,60.5625,48.7946,57.9232,57.8786,38.5149,36.1138,38.4174,36.9464
116,54.5561,50.3421,52.8676,58.6268,38.6532,36.2365,38.5419,37.1333
117,52.4240,50.0198,51.3757,54.3827,38.7709,36.3543,38.6516,37.2807
118,53.7040,51.4964,52.5330,51.1473,38.8974,36.4826,38.7693,37.3983
119,61.3961,58.7121,59.8936,53.3519,39.0865,36.6694,38.9468,37.5323
120,69.3595,64.8338,66.8795,56.0324,39.3388,36.9041,39.1796,37.6865
121,72.7323,68.2514,70.3022,57.5588,39.6148,37.1632,39.4368,37.8507
122,58.8710,54.2629,56.5142,59.6068,39.7726,37.3034,39.5768,38.0290
123,61.2238,54.3715,57.6752,62.3524,39.9470,37.4421,39.7239,38.2268
124,67.1827,63.6916,64.7526,64.9415,40.1666,37.6538,39.9257,38.4422
125,70.6495,66.5045,68.3322,66.0533,40.4105,37.8846,40.1530,38.6631
126,68.3713,64.1607,65.4028,67.5591,40.6324,38.0932,40.3534,38.8925
127,70.7886,66.1847,67.4367,69.1359,40.8699,38.3143,40.5666,39.1306
128,84.8646,84.6712,84.9804,70.7913,41.2136,38.6765,40.9136,39.3779
129,66.1568,65.6202,65.7617,66.6021,41.4069,38.8854,41.1062,39.5890
130,64.4891,58.5757,63.0011,63.7874,41.5845,39.0368,41.2747,39.7751
131,65.6199,60.5962,64.0794,65.2851,41.7680,39.2014,41.4487,39.9699
