Frame,MSE_DefMean,MSE_BestEnvelope,MSE_Ours_BayF,MSE_Ours_KF,Avg_DefMean,Avg_BestEnvelope,Avg_Ours_BayF,Avg_Ours_KF
132,66.0723,56.0968,58.7905,66.1263,41.9521,39.3294,41.5801,40.1680
133,69.2675,55.7511,63.7906,66.1349,42.1575,39.4529,41.7471,40.3633
134,65.9063,54.9495,63.1676,63.9860,42.3347,39.5685,41.9070,40.5395
135,65.4446,48.7455,56.6247,59.5969,42.5059,39.6365,42.0160,40.6807
136,61.4564,41.7253,49.0359,56.9643,42.6452,39.6519,42.0676,40.8004
137,60.7701,40.4971,48.2310,54.9813,42.7775,39.6580,42.1126,40.9040
138,56.0498,41.1131,49.3731,53.1461,42.8737,39.6686,42.1652,40.9927
139,64.1959,66.7781,66.9912,55.2201,43.0271,39.8636,42.3438,41.0950
140,62.1434,66.7189,66.8672,56.4506,43.1636,40.0554,42.5190,41.2047
141,58.6483,62.5176,63.7006,56.3064,43.2735,40.2147,42.6692,41.3118
142,56.5707,60.5972,63.4744,58.2009,43.3671,40.3583,42.8157,41.4307
143,56.2514,60.4958,63.1945,61.2327,43.4572,40.4991,42.9582,41.5692
144,52.8021,56.9616,60.1891,58.6725,43.5221,40.6134,43.0779,41.6880
145,26.6655,16.2975,17.6366,36.8979,43.4058,40.4457,42.9024,41.6550
146,26.0136,16.2478,16.8702,30.2672,43.2867,40.2800,42.7241,41.5770
147,25.3380,16.5612,16.7350,25.5558,43.1646,40.1186,42.5473,41.4680
148,27.5054,16.6504,16.5221,21.7428,43.0588,39.9601,42.3715,41.3347
149,29.6199,18.6217,17.6507,21.1541,42.9686,39.8169,42.2056,41.1993
150,29.6199,18.6217,17.8688,20.9740,42.8796,39.6756,42.0433,41.0644
151,30.5698,19.2366,17.8493,20.1450,42.7981,39.5402,41.8831,40.9259
152,33.4331,20.9727,19.8905,20.3945,42.7365,39.4180,41.7384,40.7908
153,33.2917,20.2227,19.6168,20.6985,42.6748,39.2926,41.5938,40.6595
154,30.0432,17.8827,17.3485,20.3930,42.5927,39.1536,41.4364,40.5279
155,32.5842,18.5569,17.6146,20.5013,42.5282,39.0207,41.2827,40.3987
156,33.6164,19.6066,19.1324,23.2670,42.4710,38.8962,41.1407,40.2889
157,34.7525,20.3095,18.1805,23.4166,42.4219,38.7778,40.9945,40.1814
158,35.1454,21.1987,19.0889,24.2861,42.3758,38.6666,40.8558,40.0808
159,30.7690,19.3955,19.2740,25.1870,42.3028,38.5454,40.7201,39.9871
160,30.7690,19.3955,19.0492,24.7072,42.2307,38.4257,40.5847,39.8916
161,31.2893,18.7699,18.1446,22.5077,42.1628,38.3036,40.4453,39.7836
162,35.2618,21.0920,19.5560,21.5528,42.1202,38.1974,40.3163,39.6711
163,33.1189,19.8759,19.2087,20.7618,42.0650,38.0850,40.1868,39.5551
164,34.8046,20.1430,19.9082,19.7884,42.0207,37.9756,40.0632,39.4346
165,34.2045,19.4469,19.6657,19.3107,41.9733,37.8633,39.9396,39.3126
166,34.5732,20.6942,20.2452,20.0434,41.9287,37.7598,39.8209,39.1965
167,35.0353,20.6603,21.0193,19.9401,41.8875,37.6574,39.7083,39.0812
168,34.6849,21.9499,22.8164,21.2683,41.8446,37.5639,39.6078,38.9752
169,35.0900,21.7074,22.8873,22.0002,41.8046,37.4701,39.5088,38.8747
170,33.0518,18.7778,21.8433,20.9374,41.7531,37.3602,39.4049,38.7692
171,32.6792,17.4928,22.5212,20.8812,41.7001,37.2440,39.3062,38.6646
172,33.2734,19.4475,20.9120,19.9893,41.6511,37.1405,39.1993,38.5560
173,32.3879,20.1000,21.2815,19.8291,41.5975,37.0420,39.0957,38.4478
174,38.1825,25.7247,29.1937,20.2853,41.5779,36.9770,39.0388,38.3434
175,37.6290,27.7237,29.9638,20.7876,41.5553,36.9241,38.9869,38.2431
176,48.7981,28.0771,32.8655,21.4333,41.5965,36.8738,38.9521,38.1476
177,52.7591,40.8630,43.3399,24.9791,41.6596,36.8964,38.9769,38.0732
178,60.1763,53.6233,57.5650,32.1482,41.7636,36.9903,39.0814,38.0399
179,60.4511,58.3364,60.6154,39.7917,41.8680,37.1096,39.2017,38.0497
180,69.5464,66.5733,65.9305,49.5575,42.0218,37.2733,39.3502,38.1136
181,69.1392,68.5013,68.4765,63.0540,42.1716,37.4458,39.5111,38.2514
182,49.1586,41.2583,43.9469,58.4297,42.2100,37.4668,39.5354,38.3623
183,53.8243,43.9064,46.6307,57.3483,42.2734,37.5019,39.5742,38.4660
184,46.0652,34.7096,39.6263,50.3212,42.2940,37.4868,39.5745,38.5305
185,35.2752,36.6696,35.8787,40.2884,42.2561,37.4823,39.5545,38.5400
186,35.3626,34.0964,35.8946,33.1799,42.2190,37.4641,39.5348,38.5111
187,33.7097,33.4034,35.4949,29.6492,42.1735,37.4424,39.5132,38.4638
188,35.9956,36.1131,35.9677,31.9824,42.1407,37.4354,39.4944,38.4293
189,44.8021,44.6772,44.7913,33.9783,42.1548,37.4737,39.5224,38.4057
190,39.6155,41.9306,41.2461,34.0094,42.1414,37.4971,39.5315,38.3826
191,34.8696,32.4814,33.3778,35.2076,42.1033,37.4709,39.4993,38.3660
192,35.5072,32.6078,33.3640,35.4556,42.0690,37.4455,39.4673,38.3508
193,26.6308,25.4479,25.5116,31.3233,41.9890,37.3834,39.3950,38.3144
194,21.1386,20.6380,20.6436,25.4722,41.8815,37.2971,39.2983,38.2482
195,23.1846,21.1296,21.2049,22.4518,41.7856,37.2142,39.2056,38.1672
196,23.2899,21.2646,21.3382,20.7108,41.6913,37.1328,39.1144,38.0781
197,25.9511,20.3474,21.0820,22.8256,41.6114,37.0476,39.0229,38.0007
198,27.3187,16.1947,18.2187,20.3928,41.5392,36.9423,38.9178,37.9118
199,29.1824,23.5170,24.9636,18.6576,41.4771,36.8748,38.8477,37.8150
200,32.7149,18.0822,21.5008,17.9408,41.4333,36.7808,38.7609,37.7157
201,36.8857,19.9022,24.7481,18.6919,41.4106,36.6969,38.6912,37.6210
202,42.2720,21.5562,27.5964,20.1536,41.4149,36.6219,38.6363,37.5345
203,46.1392,23.4601,33.5916,21.0052,41.4382,36.5571,38.6114,37.4531
204,43.4015,22.3183,33.0897,25.8336,41.4478,36.4873,38.5844,37.3962
205,19.7198,18.7734,19.3473,26.0089,41.3418,36.4009,38.4905,37.3406
206,20.6841,19.3651,20.3778,27.6272,41.2415,36.3182,38.4026,37.2935
207,19.9498,18.3563,19.3952,19.5361,41.1387,36.2314,38.3108,37.2077
208,21.9962,19.9866,21.8058,20.8487,41.0466,36.1533,38.2314,37.1290
209,21.4040,19.4016,21.3565,20.7571,40.9527,36.0731,38.1507,37.0507
210,21.3667,19.4876,21.2898,20.9572,40.8594,35.9942,38.0704,36.9741
211,18.6139,17.0811,18.9191,18.6835,40.7540,35.9045,37.9796,36.8874
212,18.9249,17.3315,19.2491,18.8206,40.6510,35.8169,37.8913,36.8021
213,18.9497,17.5014,19.5738,18.8246,40.5491,35.7309,37.8053,36.7177
214,20.0235,18.7363,20.4766,19.7609,40.4532,35.6515,37.7243,36.6385
215,21.9525,19.7389,21.8756,20.3909,40.3671,35.5775,37.6506,36.5629
216,21.8390,15.1543,17.3690,17.4824,40.2814,35.4829,37.5567,36.4746
217,22.1707,13.7019,15.8943,15.6738,40.1979,35.3826,37.4569,36.3787
218,21.7192,19.6904,18.4251,19.6283,40.1131,35.3106,37.3696,36.3019
219,20.8017,18.1265,18.2082,23.1137,40.0250,35.2321,37.2821,36.2417
220,20.3533,17.4761,18.3866,23.0679,39.9355,35.1514,37.1962,36.1818
221,16.2056,11.6835,13.1669,22.3464,39.8282,35.0452,37.0875,36.1192
222,16.3368,11.1603,13.9955,20.8665,39.7224,34.9376,36.9834,36.0505
223,16.9323,11.6658,14.8879,20.3764,39.6202,34.8333,36.8844,35.9802
224,16.1844,12.0983,21.7259,21.1217,39.5155,34.7318,36.8167,35.9139
225,16.1844,12.0983,21.7259,21.4222,39.4118,34.6312,36.7496,35.8495
226,15.7251,12.2771,15.8901,23.1574,39.3070,34.5323,36.6573,35.7933
227,15.5931,13.0491,17.0472,23.7074,39.2026,34.4376,36.5709,35.7401
228,15.9878,17.3040,22.2243,24.9121,39.1007,34.3625,36.5080,35.6926
229,16.4044,19.9601,24.4587,26.3757,39.0016,34.2996,36.4554,35.6519
230,16.3803,19.4771,26.3164,26.9676,38.9033,34.2352,36.4113,35.6141
231,16.1708,19.4539,24.7037,27.4906,38.8049,34.1712,36.3606,35.5790
232,16.0361,20.3317,25.8453,28.5373,38.7067,34.1115,36.3153,35.5486
233,15.9111,20.4189,27.0808,29.1614,38.6089,34.0527,36.2757,35.5212
234,15.9707,16.8702,22.3373,29.6787,38.5121,33.9793,36.2161,35.4962
235,15.9672,23.0243,23.0952,29.3149,38.4162,33.9327,36.1603,35.4699
236,14.6762,19.3259,23.1937,31.6950,38.3156,33.8708,36.1053,35.4539
237,13.5824,19.1260,23.5683,32.7217,38.2113,33.8086,36.0524,35.4424
238,12.8756,18.4046,24.1625,33.4833,38.1048,33.7439,36.0025,35.4342
239,12.8626,18.8099,24.9511,35.1080,37.9992,33.6814,35.9562,35.4328
240,13.1351,19.9014,26.4691,38.8646,37.8956,33.6240,35.9167,35.4471
241,10.9751,22.1700,28.6898,43.2894,37.7839,33.5764,35.8867,35.4796
242,14.0765,45.1548,52.5866,50.7160,37.6859,33.6243,35.9557,35.5426
243,17.2176,60.3781,61.3104,58.9314,37.6017,33.7344,36.0601,35.6389
244,45.1626,68.0390,69.2175,65.4074,37.6327,33.8750,36.1960,35.7609
245,46.4905,79.0107,82.0292,76.9661,37.6688,34.0592,36.3830,35.9290
246,64.3673,87.2874,89.7589,87.2228,37.7774,34.2756,36.6000,36.1376
247,63.0125,83.5799,95.4940,97.6397,37.8795,34.4752,36.8384,36.3866
248,51.2303,77.8575,79.4131,92.3189,37.9334,34.6501,37.0101,36.6121
249,51.9163,79.1051,80.8627,85.9161,37.9895,34.8287,37.1862,36.8101
250,54.4824,77.9948,81.9808,79.7559,38.0555,35.0013,37.3654,36.9819
251,58.0912,90.4728,94.9621,83.1209,38.1353,35.2223,37.5949,37.1657
252,57.7413,80.7635,83.1701,84.8582,38.2131,35.4030,37.7757,37.3550
253,57.1773,78.3676,80.6928,83.2250,38.2881,35.5729,37.9454,37.5363
254,57.2463,77.8563,79.8133,83.5316,38.3627,35.7393,38.1102,37.7173
255,57.8350,76.7607,80.6285,84.1894,38.4391,35.9002,38.2769,37.8996
256,56.5762,75.5684,79.4115,82.7892,38.5099,36.0552,38.4376,38.0749
257,57.6585,76.1738,80.6410,82.8229,38.5844,36.2113,38.6018,38.2491
258,57.4877,70.5262,78.7996,81.4327,38.6577,36.3443,38.7576,38.4164
259,59.0114,71.3916,79.8016,81.4696,38.7363,36.4796,38.9161,38.5827
260,58.9809,72.3261,80.1402,81.1145,38.8141,36.6174,39.0747,38.7462
261,60.4357,72.3287,80.5278,81.0756,38.8970,36.7543,39.2335,38.9084
262,61.2578,78.7035,84.5670,81.8586,38.9823,36.9144,39.4065,39.0724
263,61.4213,76.3635,81.3125,79.3198,39.0677,37.0644,39.5658,39.2254
264,60.0422,72.6949,80.6861,79.6281,39.1471,37.1993,39.7216,39.3784
265,60.5772,71.0719,77.2141,79.0360,39.2280,37.3272,39.8631,39.5281
266,59.0232,54.0145,59.6904,73.0342,39.3024,37.3899,39.9376,39.6540
267,59.0232,54.0145,59.6904,67.6002,39.3762,37.4522,40.0116,39.7587
268,57.0609,36.7526,45.9129,60.1094,39.4422,37.4496,40.0336,39.8346
269,61.9715,42.0884,49.1604,54.9304,39.5260,37.4668,40.0676,39.8908
270,53.3405,35.3888,42.3479,48.2077,39.5772,37.4591,40.0760,39.9216
271,52.2299,46.4653,49.1823,44.6439,39.6238,37.4923,40.1096,39.9390
272,47.1625,35.6644,38.4911,42.2524,39.6516,37.4856,40.1037,39.9475
273,52.9500,29.9191,46.1104,47.1415,39.7003,37.4579,40.1257,39.9739
274,37.6665,25.6799,28.5147,42.7438,39.6928,37.4149,40.0833,39.9840
275,51.1865,45.7678,46.4170,45.7257,39.7346,37.4453,40.1063,40.0048
276,38.9777,34.0035,37.0562,41.5065,39.7319,37.4328,40.0953,40.0103
277,31.3309,29.5038,30.5878,32.5670,39.7016,37.4042,40.0609,39.9834
278,12.8410,12.9874,13.1021,13.3849,39.6050,37.3164,39.9640,39.8877
279,25.1123,27.1531,27.8954,13.7283,39.5530,37.2799,39.9207,39.7940
280,15.0716,15.5649,16.0980,14.3833,39.4656,37.2024,39.8356,39.7032
281,15.2704,15.3064,15.9973,14.7327,39.3795,37.1245,39.7508,39.6144
282,12.8262,12.7982,13.6328,12.3479,39.2853,37.0382,39.6582,39.5177
283,11.8803,10.8096,11.4798,11.0819,39.1885,36.9455,39.5586,39.4172
284,12.2204,11.2063,12.5829,12.1473,39.0935,36.8549,39.4636,39.3212
285,11.3592,8.5317,11.4871,8.8915,38.9962,36.7555,39.3655,39.2144
286,14.3614,11.7624,14.1275,9.2163,38.9101,36.6681,39.2772,39.1095
287,14.0749,11.6410,13.8525,10.6827,38.8235,36.5809,39.1886,39.0105
288,17.9161,15.4860,17.0104,13.1772,38.7509,36.5077,39.1116,38.9208
289,16.9036,12.8166,16.2806,10.9755,38.6753,36.4257,39.0326,38.8241
290,14.8077,12.5547,13.1472,12.0261,38.5930,36.3434,38.9434,38.7317
291,26.8730,20.7740,25.2428,1.9852,38.5528,36.2899,38.8963,38.6054
