Frame,MSE_DefMean,MSE_Ours_BayF,MSE_Ours_KF,MSE_Ideal,MSE_BestHist,Avg_DefMean,Avg_Ours_BayF,Avg_Ours_KF,Avg_Ideal,Avg_BestHist
1,72.3333,72.3333,72.4613,69.3011,73.0676,72.3333,72.3333,72.4613,69.3011,73.0676
2,75.2348,75.1617,75.3257,72.4730,72.4730,73.7840,73.7475,73.8935,70.8871,72.7703
3,79.0734,79.0055,79.1549,76.5082,76.5082,75.5471,75.5001,75.6473,72.7608,74.0163
4,78.8750,78.8071,78.9537,76.3081,76.3081,76.3791,76.3269,76.4739,73.6476,74.5892
5,78.8750,78.8071,78.9509,76.3081,76.3081,76.8783,76.8229,76.9693,74.1797,74.9330
6,78.3749,78.3073,78.4480,75.8218,75.8218,77.1277,77.0703,77.2157,74.4534,75.0811
7,79.6466,79.6310,80.4160,78.2591,78.2591,77.4876,77.4361,77.6729,74.9971,75.5351
8,101.3109,101.0181,80.8231,99.4513,102.2719,80.4655,80.3839,78.0667,78.0538,78.8772
9,103.5000,103.1961,87.1893,102.1268,103.9973,83.0249,82.9186,79.0803,80.7286,81.6684
10,100.7785,100.4125,90.7448,98.4463,103.0338,84.8002,84.6680,80.2468,82.5004,83.8049
11,100.8568,100.4828,94.9752,100.0664,100.0664,86.2599,86.1057,81.5857,84.0973,85.2832
12,95.6441,95.5064,100.0134,94.5674,94.7113,87.0419,86.8891,83.1214,84.9698,86.0689
13,95.9441,95.7353,98.7534,95.4703,95.4703,87.7267,87.5695,84.3238,85.7775,86.7921
14,95.3636,95.1526,95.8894,95.0752,95.5474,88.2722,88.1112,85.1499,86.4417,87.4175
15,100.9980,100.7145,96.6879,99.0459,99.8272,89.1206,88.9514,85.9191,87.2819,88.2448
16,102.4216,102.2679,97.8544,101.8843,102.0685,89.9519,89.7837,86.6651,88.1946,89.1088
17,104.8777,104.7198,101.1942,103.4879,103.4879,90.8299,90.6623,87.5197,89.0942,89.9546
18,103.9384,104.0382,101.8552,102.3466,103.8671,91.5581,91.4054,88.3162,89.8304,90.7275
19,103.8303,104.1057,103.6537,101.4208,103.2027,92.2041,92.0738,89.1234,90.4405,91.3841
20,107.0624,106.6426,105.2229,102.6291,103.9520,92.9470,92.8023,89.9284,91.0499,92.0125
21,101.1819,101.0084,105.2647,97.7458,98.9630,93.3391,93.1930,90.6587,91.3687,92.3435
22,104.6820,104.4723,103.9749,101.2169,101.9754,93.8547,93.7057,91.2639,91.8164,92.7813
23,103.6880,103.5535,104.1714,103.0419,104.3140,94.2822,94.1339,91.8251,92.3045,93.2827
24,104.5486,104.3603,103.9699,104.0656,104.9385,94.7100,94.5600,92.3312,92.7945,93.7684
25,77.0850,77.0983,81.3410,77.0158,77.0158,94.0050,93.8615,91.8916,92.1633,93.0983
26,71.0069,70.9736,73.2394,71.3129,71.6332,93.1204,92.9812,91.1742,91.3614,92.2727
27,64.4261,64.3969,65.1669,64.4528,64.7384,92.0577,91.9225,90.2109,90.3648,91.2529
28,64.2453,64.2624,64.6069,64.6235,64.6235,91.0644,90.9347,89.2965,89.4455,90.3018
29,62.8940,62.8382,63.3272,62.3964,62.7973,90.0930,89.9658,88.4010,88.5127,89.3534
30,62.3847,62.3227,63.6270,62.3527,62.4693,89.1694,89.0444,87.5752,87.6407,88.4573
31,60.7899,60.7613,61.9341,61.4973,61.7098,88.2539,88.1320,86.7481,86.7974,87.5945
32,61.2145,61.2318,61.7898,62.1760,62.3273,87.4089,87.2914,85.9681,86.0280,86.8049
33,61.8041,61.8154,61.6842,62.5160,62.5160,86.6330,86.5194,85.2323,85.3155,86.0688
34,61.5876,61.5649,60.8446,60.6353,63.3949,85.8964,85.7855,84.5150,84.5896,85.4019
35,61.7346,61.7326,61.0337,61.6310,61.6310,85.2061,85.0982,83.8441,83.9337,84.7228
