Frame,MSE_DefMean,MSE_BestEnvelope,MSE_Ours_BayF,MSE_Ours_KF
1,44.1847,43.8823,44.1847,44.8768
2,43.3775,43.2368,43.5116,43.5667
3,43.3775,43.2368,43.5116,43.5501
4,40.3467,40.5176,40.3636,40.9553
5,40.4499,40.3844,40.3637,40.7366
6,41.3589,40.5344,40.6077,41.5777
7,42.7810,41.2779,41.9154,42.1650
8,44.3939,42.4447,43.2058,42.4055
9,47.7021,39.4569,44.0477,40.0053
10,50.9792,39.1717,47.0469,40.0129
11,51.6956,40.7206,47.7630,41.1080
12,49.4016,39.6836,45.8649,43.0541
13,44.5944,38.4300,43.3339,43.6851
14,47.8576,41.1676,47.2073,43.8427
15,43.0888,42.2449,42.9573,43.1879
16,45.9394,44.0853,45.6647,44.1488
17,45.1234,38.1251,43.3144,46.1482
18,41.9845,37.9575,40.4001,44.1165
19,46.8662,45.9027,46.8787,45.0719
20,41.2422,39.8587,41.2513,42.6427
21,32.7047,31.2823,32.8618,37.6917
22,30.6750,29.7619,30.8477,32.5645
23,38.2040,37.6965,38.2997,32.9954
24,32.5433,30.4153,32.5680,30.6965
25,29.7395,29.4071,30.0285,28.0252
26,21.1529,19.1850,21.1527,24.4695
27,22.5602,20.4648,22.5773,24.3511
28,27.2020,27.3141,27.2002,22.3393
29,29.2931,25.2041,29.3210,22.0403
30,48.0506,42.7348,48.0787,23.2652
31,38.1348,33.1807,38.1331,28.0282
32,30.6661,21.9489,30.6619,30.3088
33,41.2980,32.1926,41.2921,35.5061
34,37.3305,29.4993,37.3251,38.4741
35,44.5910,41.9829,44.5824,41.5412
36,57.8461,53.7003,57.8342,52.6462
37,91.9600,76.2114,91.9268,89.8198
38,120.0934,105.2286,120.0249,84.8525
39,141.2126,140.1365,141.2135,84.3868
40,109.2343,109.2343,109.2343,85.3007
41,61.8454,56.8005,59.6976,76.0968
