Frame,MSE_DefMean,MSE_Ours_BayF,MSE_Ours_KF,MSE_Ideal,MSE_BestHist,Avg_DefMean,Avg_Ours_BayF,Avg_Ours_KF,Avg_Ideal,Avg_BestHist
1,54.7387,54.7387,57.7042,45.6468,64.0060,54.7387,54.7387,57.7042,45.6468,64.0060
2,56.4808,56.4808,59.4159,47.8322,47.8322,55.6097,55.6097,58.5600,46.7395,55.9191
3,56.7309,56.7290,59.3276,49.9609,49.9609,55.9835,55.9828,58.8159,47.8133,53.9330
4,56.7309,56.7290,59.3270,49.9609,49.9609,56.1703,56.1694,58.9437,48.3502,52.9400
5,56.7309,56.7290,59.3265,49.9609,49.9609,56.2824,56.2813,59.0202,48.6724,52.3442
6,64.2693,64.2639,57.4611,48.7216,48.7216,57.6136,57.6117,58.7604,48.6806,51.7404
7,59.1909,59.1849,54.1768,44.1287,44.1287,57.8389,57.8365,58.1056,48.0303,50.6530
8,58.9555,58.5471,54.1212,43.8628,43.8628,57.9785,57.9253,57.6075,47.5094,49.8043
9,53.3339,52.1365,50.3972,44.8736,44.8736,57.4624,57.2821,56.8064,47.2165,49.2564
10,50.1072,48.6488,53.6699,41.4230,41.4230,56.7269,56.4188,56.4928,46.6371,48.4731
11,47.0514,46.5951,51.3991,38.6542,40.5723,55.8473,55.5257,56.0297,45.9114,47.7548
12,57.7887,56.9614,54.2171,49.1012,49.4128,56.0091,55.6454,55.8786,46.1772,47.8930
13,51.0118,49.4465,54.5235,43.5782,43.5782,55.6247,55.1685,55.7744,45.9773,47.5611
14,43.3599,42.2647,51.9955,35.9364,35.9364,54.7486,54.2468,55.5045,45.2601,46.7307
15,40.9480,40.0744,47.4076,36.5092,36.5092,53.8286,53.3020,54.9647,44.6767,46.0493
16,39.4501,38.4539,44.1924,30.3296,30.3296,52.9299,52.3740,54.2914,43.7800,45.0668
17,36.1138,35.0280,37.5480,36.0401,36.9107,51.9407,51.3536,53.3065,43.3247,44.5870
18,35.7928,35.0195,33.1064,35.2637,36.9889,51.0436,50.4462,52.1843,42.8769,44.1649
19,54.9267,54.6339,34.1222,51.6418,55.4453,51.2480,50.6666,51.2337,43.3382,44.7586
20,54.9267,54.6339,38.2039,51.6418,55.4453,51.4319,50.8650,50.5822,43.7534,45.2930
21,55.7137,55.2403,41.6272,53.6556,59.1494,51.6358,51.0733,50.1557,44.2249,45.9528
22,55.5452,55.2123,46.3672,52.9634,54.7501,51.8135,51.2614,49.9835,44.6221,46.3527
23,53.6734,53.7585,50.2818,51.0094,53.3581,51.8944,51.3700,49.9965,44.8998,46.6573
24,54.8690,54.3676,47.1035,50.9801,59.3101,52.0183,51.4949,49.8760,45.1532,47.1845
25,48.8825,48.6057,43.6226,44.5333,52.5618,51.8929,51.3793,49.6258,45.1284,47.3995
26,53.4277,52.9578,44.1779,52.4902,53.6042,51.9519,51.4401,49.4163,45.4115,47.6382
27,48.1022,47.5489,42.2294,45.1746,54.1058,51.8094,51.2959,49.1501,45.4027,47.8777
28,47.0680,46.2767,37.6456,45.8312,47.9560,51.6400,51.1167,48.7392,45.4180,47.8805
29,47.1933,46.2104,37.5206,46.0081,46.0081,51.4867,50.9475,48.3524,45.4384,47.8160
30,47.5558,46.0010,38.7224,43.8420,43.8420,51.3557,50.7826,48.0314,45.3852,47.6835
31,45.7873,44.5584,38.9637,44.6177,44.6177,51.1760,50.5818,47.7389,45.3604,47.5846
32,44.0399,42.8469,42.5101,42.8241,42.8241,50.9530,50.3401,47.5755,45.2812,47.4358
33,44.1905,43.2436,43.5247,42.5039,46.4223,50.7481,50.1251,47.4527,45.1970,47.4051
34,43.3547,43.1030,43.9201,41.2496,41.2496,50.5307,49.9185,47.3488,45.0809,47.2241
35,44.0025,43.6803,44.2943,44.9333,44.9333,50.3441,49.7403,47.2616,45.0767,47.1586
36,43.5849,43.3041,44.2638,44.5682,44.5682,50.1564,49.5615,47.1783,45.0626,47.0867
37,44.9217,44.7825,45.4110,46.3267,46.3916,50.0149,49.4324,47.1305,45.0967,47.0679
38,44.9671,45.2037,45.6466,46.5939,46.5939,49.8821,49.3211,47.0915,45.1361,47.0554
39,44.7345,45.0520,45.5691,47.1503,47.1503,49.7501,49.2116,47.0524,45.1878,47.0578
40,45.1033,45.5750,46.2218,47.9715,47.9715,49.6339,49.1207,47.0317,45.2574,47.0807
41,44.5234,44.9826,46.0806,47.4159,47.4159,49.5093,49.0198,47.0085,45.3100,47.0889
42,36.9208,37.7820,44.5324,32.9161,32.9161,49.2095,48.7522,46.9495,45.0149,46.7514
43,36.2732,37.8128,40.7381,35.1352,35.1352,48.9087,48.4978,46.8051,44.7852,46.4813
44,42.1479,42.6079,39.8657,43.9919,44.8405,48.7550,48.3639,46.6474,44.7671,46.4440
45,40.7790,41.7051,38.7812,42.5080,45.2903,48.5778,48.2160,46.4725,44.7169,46.4183
46,26.2123,27.8432,31.5363,27.9520,28.0911,48.0916,47.7731,46.1478,44.3525,46.0199
47,30.4990,31.1713,28.3295,26.4837,26.4837,47.7173,47.4198,45.7687,43.9723,45.6043
48,26.1351,27.7720,24.9733,27.2332,28.2709,47.2676,47.0105,45.3355,43.6236,45.2431
49,24.9470,26.3001,23.2234,26.8079,27.6126,46.8121,46.5879,44.8842,43.2804,44.8833
50,25.7195,26.3048,24.1547,26.2424,26.7420,46.3903,46.1822,44.4696,42.9396,44.5205
51,23.6754,24.0851,24.3916,25.5601,27.7107,45.9449,45.7489,44.0759,42.5988,44.1909
52,23.7121,24.1452,24.1979,25.6604,27.7830,45.5173,45.3335,43.6937,42.2731,43.8754
53,22.9821,22.9715,23.4185,24.4869,24.6680,45.0921,44.9115,43.3111,41.9375,43.5130
54,22.9821,22.9715,23.2065,24.4869,24.6680,44.6827,44.5052,42.9388,41.6144,43.1640
55,21.6193,22.2117,21.6701,24.0102,24.0960,44.2634,44.0999,42.5521,41.2943,42.8173
56,25.1878,25.5312,25.4838,26.6638,30.3623,43.9227,43.7683,42.2473,41.0330,42.5949
57,24.7613,25.5620,25.4837,26.3225,29.4025,43.5866,43.4489,41.9532,40.7749,42.3634
58,22.5115,24.9753,24.5807,24.3493,29.2039,43.2232,43.1304,41.6537,40.4917,42.1365
59,22.4264,26.1739,24.7205,22.2043,30.3109,42.8707,42.8430,41.3667,40.1818,41.9361
60,27.1856,27.8068,25.2750,28.6357,32.5568,42.6093,42.5924,41.0985,39.9894,41.7798
61,26.3766,30.6650,24.6758,29.7556,38.3696,42.3432,42.3969,40.8293,39.8216,41.7239
62,27.7656,30.7806,26.3905,31.8360,35.2299,42.1081,42.2095,40.5964,39.6928,41.6191
63,28.6741,31.7682,28.7441,33.2085,36.2610,41.8948,42.0438,40.4083,39.5899,41.5341
64,37.2889,40.2880,32.5634,39.6702,47.9608,41.8228,42.0163,40.2857,39.5911,41.6345
65,33.4846,36.2428,31.6931,33.6392,41.3788,41.6946,41.9275,40.1535,39.4995,41.6306
66,31.4849,34.7683,30.0779,33.1493,44.7206,41.5399,41.8190,40.0008,39.4033,41.6774
67,31.0655,34.0672,30.8858,32.2355,43.5361,41.3835,41.7033,39.8648,39.2964,41.7051
68,30.7210,33.5996,32.8667,32.1635,42.6339,41.2267,41.5842,39.7619,39.1915,41.7188
69,30.2526,32.8782,33.0029,31.8726,42.3413,41.0677,41.4580,39.6639,39.0854,41.7278
70,31.5781,34.4585,32.7466,32.7792,43.1959,40.9321,41.3580,39.5651,38.9953,41.7488
71,30.5029,33.0000,32.0812,32.0651,42.0192,40.7852,41.2403,39.4597,38.8977,41.7526
72,30.4895,31.3387,32.2686,31.8836,39.7191,40.6422,41.1028,39.3598,38.8003,41.7244
73,30.6224,29.9851,31.7429,31.8665,35.9614,40.5050,40.9505,39.2555,38.7053,41.6454
74,27.2085,25.2693,30.7427,27.5679,30.5006,40.3253,40.7386,39.1404,38.5548,41.4948
75,26.8156,25.0313,28.5486,21.9868,29.7495,40.1452,40.5291,38.9992,38.3339,41.3382
76,24.1045,23.6812,25.4485,22.3557,24.2884,39.9341,40.3074,38.8209,38.1236,41.1139
77,20.3413,18.4474,21.4113,20.7729,22.1423,39.6797,40.0235,38.5948,37.8983,40.8675
78,21.6350,18.3571,19.4899,20.4187,22.3517,39.4483,39.7458,38.3499,37.6742,40.6301
79,26.7454,24.6987,19.0433,26.5721,28.3426,39.2875,39.5553,38.1055,37.5337,40.4746
80,23.5943,21.7107,18.1640,22.2815,22.8910,39.0914,39.3322,37.8562,37.3430,40.2548
81,27.9538,25.9742,18.7917,25.7167,28.7785,38.9539,39.1673,37.6209,37.1995,40.1131
82,25.9881,25.3171,20.6553,23.5112,24.5783,38.7957,38.9984,37.4140,37.0326,39.9236
83,26.0791,23.6401,22.5636,24.4346,24.9178,38.6425,38.8134,37.2350,36.8808,39.7428
84,26.0065,25.6087,22.4550,24.3731,25.2789,38.4921,38.6562,37.0591,36.7319,39.5707
85,26.1711,23.6894,23.2356,24.4625,24.4625,38.3471,38.4801,36.8965,36.5875,39.3929
86,27.5674,26.4986,24.8170,25.8164,25.8164,38.2218,38.3408,36.7560,36.4623,39.2350
87,28.4987,28.2053,25.1240,27.5403,27.5403,38.1100,38.2243,36.6223,36.3597,39.1006
88,28.5384,28.5239,25.2122,28.1975,28.1975,38.0013,38.1141,36.4926,36.2670,38.9767
89,27.8655,27.7179,26.2698,28.2436,28.5114,37.8874,37.9972,36.3778,36.1768,38.8591
90,28.9416,28.2913,26.6168,28.2059,28.2059,37.7880,37.8894,36.2693,36.0883,38.7408
91,29.6639,28.3269,26.9127,26.9358,28.8578,37.6987,37.7843,36.1665,35.9877,38.6322
92,29.5198,28.4205,26.9414,27.4013,29.4676,37.6098,37.6825,36.0662,35.8944,38.5325
93,30.2476,29.5255,27.8992,29.8699,29.8699,37.5306,37.5948,35.9784,35.8296,38.4394
94,30.2223,29.6184,28.7130,30.8271,31.2065,37.4529,37.5100,35.9011,35.7764,38.3625
95,30.7520,30.6385,29.1869,31.5188,31.7883,37.3824,37.4376,35.8304,35.7315,38.2933
96,33.6071,32.6625,31.3328,33.2381,33.4639,37.3430,37.3879,35.7836,35.7056,38.2429
97,38.5367,37.5362,33.7798,35.5991,35.5991,37.3553,37.3894,35.7629,35.7045,38.2157
98,37.0461,36.8197,36.0964,37.5103,38.3690,37.3522,37.3836,35.7663,35.7229,38.2173
99,41.5101,40.7621,39.5818,40.1052,40.1296,37.3942,37.4177,35.8049,35.7672,38.2366
100,32.9168,30.1513,39.9255,25.8070,29.1724,37.3494,37.3451,35.8461,35.6676,38.1459
101,34.4807,33.6162,39.0217,31.4630,31.9933,37.3210,37.3082,35.8775,35.6259,38.0850
102,39.4380,38.5621,38.7986,34.3308,34.6448,37.3418,37.3205,35.9062,35.6132,38.0513
103,35.1911,34.1879,37.7979,31.5537,31.6543,37.3209,37.2900,35.9245,35.5738,37.9892
104,35.4473,35.2451,38.2658,30.7150,30.7150,37.3029,37.2704,35.9470,35.5271,37.9192
105,38.1442,37.7678,38.9524,32.2500,32.2500,37.3109,37.2751,35.9757,35.4959,37.8652
106,36.7422,37.1071,38.2635,32.4664,32.4664,37.3055,37.2735,35.9972,35.4673,37.8143
107,34.7165,34.7469,36.9225,30.0029,30.0029,37.2813,37.2499,36.0059,35.4162,37.7413
108,40.4130,39.7762,38.2299,32.2328,32.2328,37.3103,37.2733,36.0265,35.3868,37.6903
109,46.5032,45.8182,44.2611,38.1497,38.1497,37.3947,37.3517,36.1020,35.4121,37.6945
