Frame,MSE_DefMean,MSE_Ours_BayF,MSE_Ours_KF,MSE_Ideal,MSE_BestHist,Avg_DefMean,Avg_Ours_BayF,Avg_Ours_KF,Avg_Ideal,Avg_BestHist
60,23.1677,23.0045,20.5588,22.4731,22.8852,26.3312,26.0406,25.1924,24.8887,25.7925
61,21.7993,21.1694,20.5571,19.3868,19.3868,26.2569,25.9607,25.1164,24.7986,25.6875
62,21.4743,17.8446,20.7463,19.6307,19.6307,26.1798,25.8298,25.0459,24.7152,25.5898
63,23.6996,19.9232,21.3484,20.9540,20.9540,26.1404,25.7361,24.9873,24.6555,25.5163
64,24.1585,20.2573,20.7963,19.4732,19.4732,26.1095,25.6505,24.9218,24.5745,25.4218
65,28.3678,25.5316,22.0470,26.3764,26.3764,26.1442,25.6486,24.8775,24.6022,25.4365
66,31.1091,28.7195,24.3038,29.1129,29.1129,26.2194,25.6952,24.8689,24.6706,25.4922
67,33.6534,31.2021,27.4813,33.3140,33.7158,26.3304,25.7774,24.9078,24.7996,25.6150
68,36.7288,33.9457,31.3518,36.4451,36.4451,26.4833,25.8975,25.0026,24.9709,25.7742
69,42.4557,39.9959,37.5568,41.7250,41.7250,26.7148,26.1018,25.1846,25.2137,26.0054
70,44.9139,44.9502,39.8616,43.2539,43.9014,26.9748,26.3711,25.3942,25.4714,26.2611
71,50.1106,48.2516,43.1924,40.0954,40.0954,27.3006,26.6792,25.6449,25.6774,26.4559
72,56.4251,56.0734,48.3132,46.1966,46.1966,27.7051,27.0875,25.9597,25.9623,26.7301
73,35.9516,35.7217,43.5514,30.0040,30.0040,27.8181,27.2058,26.2007,26.0177,26.7749
74,40.1260,38.6119,42.9875,33.2028,33.2028,27.9844,27.3599,26.4276,26.1148,26.8618
75,37.9618,36.6203,39.5431,28.3406,28.3406,28.1175,27.4834,26.6024,26.1445,26.8815
76,38.9128,38.1240,38.5055,34.3792,34.3792,28.2595,27.6234,26.7591,26.2528,26.9802
77,47.8210,45.9652,37.9667,42.6156,42.6156,28.5135,27.8616,26.9046,26.4653,27.1832
78,39.1428,38.9046,37.5183,34.2636,34.2636,28.6498,28.0032,27.0407,26.5653,27.2740
79,40.0092,39.9760,38.8068,36.4670,36.4670,28.7936,28.1547,27.1896,26.6907,27.3904
80,39.4280,39.3243,40.2515,32.4421,32.4421,28.9265,28.2943,27.3529,26.7625,27.4535
81,43.0998,43.1512,42.7963,36.2405,36.2405,29.1015,28.4778,27.5436,26.8796,27.5620
82,45.3217,46.1601,46.5338,39.2945,39.2945,29.2993,28.6934,27.7751,27.0310,27.7051
83,47.6788,44.0655,48.3424,39.1058,40.4861,29.5208,28.8786,28.0229,27.1764,27.8591
84,49.6931,46.2431,50.3952,42.5891,42.8604,29.7609,29.0853,28.2893,27.3599,28.0376
85,52.1888,48.8062,53.2326,44.6718,45.7472,30.0248,29.3173,28.5827,27.5636,28.2460
86,57.2477,51.2144,56.1521,46.0206,46.0206,30.3413,29.5720,28.9033,27.7782,28.4527
87,56.1560,51.7313,56.6845,47.4265,47.8914,30.6380,29.8267,29.2226,28.0041,28.6761
88,58.2851,52.9034,57.9300,48.3946,48.3946,30.9522,30.0889,29.5489,28.2358,28.9002
89,46.8779,39.1399,53.7990,33.9900,42.1664,31.1311,30.1906,29.8213,28.3004,29.0492
90,44.4874,37.1286,48.0898,32.1322,40.5660,31.2795,30.2677,30.0243,28.3430,29.1772
91,42.8313,35.0559,42.5187,32.3870,39.3974,31.4065,30.3203,30.1616,28.3874,29.2895
92,42.3773,34.4439,38.6707,30.5434,37.9063,31.5257,30.3651,30.2541,28.4109,29.3832
93,36.0396,32.1282,31.8760,35.3743,35.9363,31.5743,30.3841,30.2715,28.4857,29.4536
94,34.4197,30.8736,27.3911,34.6811,35.4139,31.6045,30.3893,30.2409,28.5517,29.5170
95,32.4962,29.0987,25.7785,27.8891,33.0834,31.6139,30.3757,30.1939,28.5447,29.5546
96,31.3201,28.1431,25.9778,27.0935,32.5264,31.6109,30.3524,30.1500,28.5296,29.5855
97,39.0132,33.3781,27.3749,25.7231,35.2028,31.6872,30.3836,30.1214,28.5006,29.6435
98,50.5457,39.9418,28.7344,42.2488,42.5758,31.8796,30.4812,30.1072,28.6409,29.7754
99,62.5600,53.8432,31.4254,53.6342,53.6342,32.1895,30.7172,30.1206,28.8934,30.0164
100,64.1072,56.9904,37.4849,53.9833,55.1209,32.5087,30.9799,30.1942,29.1443,30.2675
101,55.6598,42.5411,44.5741,41.5760,41.5760,32.7379,31.0944,30.3366,29.2674,30.3794
102,44.1413,41.2865,47.7386,37.4615,44.3603,32.8497,31.1943,30.5072,29.3477,30.5165
103,41.7901,37.9652,45.2532,32.5398,43.8521,32.9365,31.2600,30.6504,29.3787,30.6460
104,71.1720,68.0388,47.9597,64.7629,64.7629,33.3042,31.6137,30.8168,29.7189,30.9740
105,69.5489,69.9618,49.1953,67.0344,71.0377,33.6493,31.9789,30.9918,30.0743,31.3556
106,61.0160,64.7282,54.9548,52.3644,69.2507,33.9075,32.2878,31.2179,30.2846,31.7131
107,77.9030,74.8527,65.9104,71.2869,71.2869,34.3187,32.6856,31.5421,30.6678,32.0829
108,79.9540,76.3698,78.3053,72.2688,72.2688,34.7412,33.0901,31.9751,31.0530,32.4550
109,80.2437,71.5198,79.1159,66.7469,66.7469,35.1587,33.4427,32.4076,31.3804,32.7696
110,28.8143,26.7884,64.7225,9.0000,26.4731,35.1010,33.3822,32.7014,31.1770,32.7124
111,49.3330,50.5226,58.0182,23.3864,54.4694,35.2292,33.5366,32.9294,31.1068,32.9084
112,29.3493,28.0422,42.9897,17.8014,35.4146,35.1767,33.4876,33.0193,30.9880,32.9308
113,38.3521,36.6349,34.1030,15.3584,45.9932,35.2048,33.5154,33.0289,30.8497,33.0464
