Frame,MSE_KF,Avg_MSE_KF
1,18.3653,18.3653
2,18.5043,18.4348
3,18.3901,18.4199
4,18.6406,18.4751
5,19.1729,18.6147
6,19.4415,18.7525
7,18.9990,18.7877
8,18.8557,18.7962
9,17.9347,18.7005
10,17.4056,18.5710
11,16.7312,18.4037
12,15.6979,18.1782
13,15.0455,17.9373
14,14.6229,17.7005
15,15.4005,17.5472
16,16.3599,17.4730
17,19.1601,17.5722
18,20.3163,17.7247
19,21.5069,17.9237
20,22.8337,18.1692
21,22.4257,18.3719
22,20.9627,18.4897
23,20.2130,18.5646
24,20.4993,18.6452
25,19.9588,18.6978
26,20.3674,18.7620
27,19.2511,18.7801
28,19.1103,18.7919
29,16.7346,18.7210
30,16.9690,18.6626
31,14.6883,18.5344
32,14.6763,18.4138
33,14.4969,18.2951
34,14.4394,18.1817
35,14.8327,18.0860
36,14.5117,17.9867
37,13.7913,17.8733
38,13.7272,17.7642
39,14.5340,17.6814
40,14.2725,17.5962
41,15.5514,17.5463
42,13.9236,17.4601
43,12.4950,17.3446
44,11.4010,17.2095
45,11.8694,17.0908
46,12.2518,16.9856
47,13.2353,16.9058
48,12.3812,16.8116
49,11.6497,16.7062
50,11.6545,16.6052
51,11.8620,16.5122
52,14.1529,16.4668
53,15.5987,16.4505
54,17.4671,16.4693
55,19.5621,16.5255
56,19.7743,16.5835
57,21.2820,16.6660
58,26.6069,16.8374
59,30.0005,17.0605
60,31.0195,17.2931
61,32.5389,17.5430
62,33.6918,17.8035
63,34.8110,18.0735
64,36.1290,18.3556
65,33.4859,18.5884
66,29.0307,18.7466
67,27.5778,18.8784
68,26.5305,18.9909
69,25.6633,19.0876
70,21.2881,19.1190
71,16.7143,19.0852
72,13.8922,19.0131
73,10.8521,18.9013
74,11.5265,18.8016
75,12.4734,18.7172
76,15.6771,18.6772
77,19.1583,18.6835
78,13.0247,18.6109
79,12.2212,18.5300
80,12.7111,18.4573
81,13.0244,18.3902
82,18.6064,18.3929
83,16.2850,18.3675
84,16.4957,18.3452
85,16.1325,18.3192
86,19.6755,18.3349
87,21.9453,18.3764
88,20.9978,18.4062
89,20.2062,18.4264
90,20.2471,18.4467
91,20.7078,18.4715
92,20.9190,18.4981
93,21.1629,18.5268
94,21.5309,18.5587
95,21.6768,18.5916
96,21.6918,18.6238
97,21.2644,18.6511
98,21.1083,18.6761
99,20.9629,18.6992
100,20.9619,18.7219
101,21.9593,18.7539
102,18.4232,18.7507
103,15.9425,18.7234
104,14.0782,18.6788
105,14.2426,18.6365
106,17.4725,18.6255
107,25.5463,18.6902
108,14.6831,18.6531
109,11.8101,18.5903
110,13.1916,18.5412
111,10.2935,18.4669
112,9.0665,18.3830
113,9.0679,18.3006
114,9.0981,18.2198
115,9.9565,18.1480
116,10.2331,18.0798
117,10.6571,18.0163
118,11.3615,17.9599
119,13.6900,17.9240
120,15.8804,17.9070
121,18.0042,17.9078
122,22.9429,17.9491
123,27.9012,18.0300
