Frame,MSE_DefMean,MSE_BestEnvelope,MSE_Ours_BayF,MSE_Ours_KF
1,52.1045,41.5416,52.1045,55.1727
2,54.5679,44.6386,54.5679,57.5433
3,54.5679,44.6386,54.5679,57.5433
4,53.5778,48.4253,53.5765,55.7319
5,61.6308,49.7768,61.7729,53.1671
6,50.9022,42.5627,49.9511,45.9790
7,53.3722,49.7059,52.9530,44.4001
8,49.3577,39.9798,49.2435,43.2745
9,52.8488,45.7415,52.8435,46.0149
10,49.0492,38.8797,47.0317,43.7129
11,49.7652,41.7891,49.1765,41.4704
12,47.1086,47.5471,46.9511,41.2751
13,49.0749,46.8872,48.9493,40.6074
14,53.7342,54.3260,53.7012,43.3273
15,55.5033,52.1534,55.7438,48.2574
16,49.2052,45.1557,49.4923,47.7407
17,49.0412,50.0669,48.0214,43.9650
18,49.9910,50.7319,48.6520,44.6397
19,48.2667,48.0575,46.9875,45.0573
20,45.8902,45.5917,45.6487,45.1747
21,44.9058,42.4794,44.2104,46.0183
22,44.7262,42.9269,44.2181,46.4422
23,44.4014,44.2948,43.9033,46.1635
24,43.8973,43.8160,43.1320,46.0769
25,40.9908,42.0609,40.4052,43.9156
26,35.9927,30.4114,35.4115,42.6013
27,35.9927,30.4114,35.4115,42.0104
28,36.2361,37.1052,36.1495,37.7665
29,25.7367,25.9655,25.5121,33.2040
30,25.6358,26.3633,25.0059,30.1823
31,24.1234,26.1723,23.9220,26.9989
32,23.3649,26.2922,23.9090,25.5425
33,25.1364,27.1463,24.6648,25.0796
34,24.6702,25.9013,24.2579,23.8936
35,24.2691,26.9735,25.1635,24.4004
36,24.9696,27.7065,25.5087,25.0763
37,23.9620,26.1038,26.4345,25.7894
38,27.9972,32.0241,29.2989,25.7571
39,28.7471,32.6571,31.6158,24.2757
40,25.0266,29.8255,27.0941,23.0597
41,24.3773,29.5343,26.3709,23.6919
42,25.3772,26.1252,24.8964,25.9521
43,23.3526,23.1404,21.5048,26.5264
44,23.1062,21.9999,21.4197,24.9473
45,25.7271,23.9756,24.0941,24.0601
46,26.3099,27.1894,26.1509,23.6091
47,23.1344,23.5404,22.3642,22.7476
48,24.6696,24.2347,24.4070,23.1415
49,25.2100,25.8543,25.2274,24.5063
50,26.5586,25.5345,25.4378,24.3339
51,23.6181,24.8727,23.7253,25.1030
52,22.4546,23.9027,21.0170,25.8894
53,22.2435,22.9445,20.5119,26.5965
54,23.4909,24.4130,23.0278,27.5694
55,22.5649,22.1530,19.1666,28.3616
56,30.8278,28.4049,25.0623,30.0819
57,27.0312,22.3212,20.7723,28.8541
58,29.1402,22.8681,28.6042,28.5763
59,28.8500,24.8247,28.2886,28.2999
60,32.5356,28.9484,31.7418,29.4382
61,33.9632,29.6716,33.6147,31.3983
62,33.3606,27.2858,32.4294,31.6163
63,48.4785,46.1656,47.8465,41.8637
64,50.6958,45.1205,48.9850,44.5261
