Frame,MSE_DefMean,MSE_BestEnvelope,MSE_Ours_BayF,MSE_Ours_KF
1,68.1356,55.4773,67.3744,71.3222
2,68.1356,55.4773,67.3744,71.1615
3,67.0565,54.3518,66.2658,69.9541
4,68.5187,54.9800,66.9719,70.2043
5,65.3226,53.4746,64.6513,69.3698
6,69.6955,52.0727,68.8263,67.5987
7,72.1750,54.7687,69.6930,67.3728
8,72.3258,57.4617,71.2884,71.2437
9,73.3487,53.3364,72.2533,71.4264
10,65.9308,50.1628,64.5722,67.2931
11,65.2866,49.7546,63.4499,60.4464
12,70.6450,52.9810,66.9476,60.1666
13,81.0729,60.9579,80.1023,54.5383
14,97.1128,76.9477,95.2210,56.0537
15,103.2672,92.9797,102.4890,65.7284
16,97.4949,84.4563,96.5185,74.6066
17,94.7865,85.7080,94.1722,84.5667
18,94.2151,84.7998,93.0105,91.2943
19,82.4766,74.3935,81.4697,79.8400
20,71.3180,64.9306,70.3595,69.9028
21,72.4605,65.7568,71.0978,71.0076
22,65.0613,49.9283,61.8526,65.4757
23,51.0844,42.5782,50.1288,58.5111
24,37.8407,34.5869,37.7670,46.0825
25,40.3092,36.9765,40.0454,41.2760
26,39.6106,37.0511,39.2260,38.6554
27,39.6106,37.0511,39.2260,38.4976
28,28.0866,24.5464,28.0638,32.5063
29,28.0866,24.5464,28.0638,30.6849
30,27.9960,27.3496,27.8881,28.0768
31,26.8870,26.6736,26.8450,27.3913
32,26.8757,26.6751,26.7209,26.6287
33,23.0474,22.4062,22.8498,25.1496
34,23.6182,22.7270,23.4191,24.5389
35,24.2273,23.7197,24.0852,24.3222
36,25.2533,24.1074,24.7670,24.5595
37,27.5379,25.2508,26.0519,24.7576
38,27.5775,25.6778,26.0730,25.2660
39,27.4587,25.7011,26.0620,25.9566
40,26.9971,25.0719,25.3214,26.8918
41,25.7433,23.5602,24.2259,26.1542
42,24.6720,22.6902,22.7492,25.3735
43,27.8558,22.0735,23.8388,26.7225
44,24.4524,21.8124,23.5423,25.6685
45,21.4268,19.0660,20.4956,23.6598
46,17.8016,17.3560,17.4872,19.8224
47,24.6059,17.5208,24.1587,17.7359
48,20.4317,16.7378,19.7434,17.3469
49,24.1743,24.4255,24.2838,17.8672
50,16.8754,17.7835,17.1578,17.7383
51,15.5070,15.0191,15.9253,17.2297
52,16.3072,16.0017,16.3678,17.0498
53,16.6782,16.3330,16.8671,17.2844
54,17.2318,16.8691,17.3361,17.5485
55,17.1280,16.8367,17.1631,17.5268
56,17.5008,17.1816,17.5786,17.8893
57,17.1872,16.9044,17.2875,17.7196
58,17.4107,17.2041,17.6107,17.9565
59,17.4886,17.3339,17.9209,18.1196
60,17.4886,17.3339,17.9209,18.0586
61,17.7568,17.6001,18.3758,18.4487
62,18.9106,18.8192,19.7494,19.8382
63,18.5674,18.3798,19.5233,19.6169
64,18.9428,18.8553,19.8856,19.7680
65,18.7894,18.6336,19.9892,19.8926
66,18.8487,18.7173,20.2372,19.9609
67,19.3601,19.4188,20.5057,20.2868
68,19.2529,19.5975,20.1375,20.2261
69,18.8400,18.8705,19.7819,20.3103
70,32.9441,25.8780,25.7259,19.2449
71,33.5612,25.0647,26.0831,20.5410
72,31.5508,26.3563,26.7962,23.1675
73,29.4667,25.4099,25.6125,26.0583
74,33.9300,32.4003,33.6797,29.8726
75,21.5045,23.0695,21.7691,26.4986
76,22.8191,23.5613,22.4422,25.8827
77,24.1218,24.5625,23.1577,25.5201
78,34.5453,36.3148,34.1293,25.2221
79,36.3302,40.2334,36.8427,26.4550
80,26.7822,24.6068,22.8648,29.5522
81,26.7822,24.6068,22.8648,33.1545
82,30.7030,33.9354,31.0394,32.8369
83,29.8628,30.9474,29.6336,30.6276
84,24.6488,19.9923,21.0842,23.8890
85,37.2361,26.3210,30.5139,20.3442
86,33.9725,24.8179,31.1491,22.5749
87,33.1485,24.9025,29.4108,23.4942
88,31.1878,21.3738,27.6454,24.0958
89,37.8148,24.3282,33.4906,25.9735
90,36.8866,24.0626,32.4393,27.9671
91,55.0756,39.1286,50.3450,34.5135
92,50.3925,35.9599,47.1985,38.6041
