Frame,MSE_KF,Avg_MSE_KF
1,29.7835,29.7835
2,29.9985,29.8910
3,29.9836,29.9219
4,29.9836,29.9373
5,29.9756,29.9450
6,30.2890,30.0023
7,30.6395,30.0933
8,31.3127,30.2458
9,32.1819,30.4609
10,33.5093,30.7657
11,33.5934,31.0228
12,33.5473,31.2332
13,33.5619,31.4123
14,33.0629,31.5302
15,32.5569,31.5986
16,32.0621,31.6276
17,32.5291,31.6806
18,32.9360,31.7504
19,32.8886,31.8103
20,31.8751,31.8135
21,31.4869,31.7980
22,30.8335,31.7541
23,29.5006,31.6562
24,28.5681,31.5275
25,29.6021,31.4505
26,29.3571,31.3700
27,30.0046,31.3194
28,30.5498,31.2919
29,31.0990,31.2853
30,32.1768,31.3150
31,32.1091,31.3406
32,32.3508,31.3722
33,31.3047,31.3701
34,28.8411,31.2957
35,26.3628,31.1548
36,25.3272,30.9929
37,24.6789,30.8223
38,24.5374,30.6569
39,24.6237,30.5022
40,24.8606,30.3611
41,25.1294,30.2335
42,23.0352,30.0621
43,19.7192,29.8216
44,18.4169,29.5624
45,18.6570,29.3201
46,19.5744,29.1082
47,21.4417,28.9451
48,23.6707,28.8352
49,24.9644,28.7562
50,25.0831,28.6827
51,25.2635,28.6157
52,24.7911,28.5422
53,25.0180,28.4757
54,24.5990,28.4039
55,23.7818,28.3198
56,23.7302,28.2379
57,22.7251,28.1412
58,22.4326,28.0427
59,22.5288,27.9493
60,24.2028,27.8868
61,25.4471,27.8468
62,26.4396,27.8241
63,25.9609,27.7946
64,26.1888,27.7695
65,26.2041,27.7454
66,24.1890,27.6915
67,24.5860,27.6452
68,23.0658,27.5778
69,20.8659,27.4805
70,19.6579,27.3688
71,20.1511,27.2671
72,21.1496,27.1822
73,27.1089,27.1812
74,28.1979,27.1949
75,30.2805,27.2360
76,29.1388,27.2611
77,27.6493,27.2661
78,25.5358,27.2439
79,24.7098,27.2119
80,23.7513,27.1686
81,21.5447,27.0992
82,21.1550,27.0267
83,21.0658,26.9549
84,22.1472,26.8976
85,23.8969,26.8623
86,22.2954,26.8092
87,20.3497,26.7350
88,15.8977,26.6118
89,14.2610,26.4731
90,14.6166,26.3413
91,13.4620,26.1998
92,13.5450,26.0622
93,14.7323,25.9404
94,16.4589,25.8395
95,17.0888,25.7474
96,18.3029,25.6699
97,19.1333,25.6025
98,20.7315,25.5528
99,22.0274,25.5172
100,22.4546,25.4865
101,23.7535,25.4694
102,25.2243,25.4670
103,26.4099,25.4761
104,27.3544,25.4942
105,27.4059,25.5124
106,29.6066,25.5510
107,23.4441,25.5313
108,20.2626,25.4826
109,20.8659,25.4402
110,20.5993,25.3962
111,21.3280,25.3595
112,20.3825,25.3151
113,20.9777,25.2767
114,20.8892,25.2382
115,21.1508,25.2027
116,20.3229,25.1606
117,20.3031,25.1191
118,21.6662,25.0898
119,24.6766,25.0864
120,27.2607,25.1045
121,27.8218,25.1269
122,21.8110,25.0998
123,19.6219,25.0552
124,18.6062,25.0032
125,19.6632,24.9605
126,21.2364,24.9309
127,21.0262,24.9002
128,20.5828,24.8665
129,20.1957,24.8303
130,19.7680,24.7913
131,19.3058,24.7495
132,19.7113,24.7113
133,16.9378,24.6528
134,15.4013,24.5838
135,15.3813,24.5156
136,17.4675,24.4638
137,19.9755,24.4310
138,20.6643,24.4037
139,21.8596,24.3854
140,22.5232,24.3721
141,22.9788,24.3623
142,23.0392,24.3529
143,23.8017,24.3491
144,23.9454,24.3463
145,23.7399,24.3421
146,23.7639,24.3381
147,21.8729,24.3214
148,21.8861,24.3049
149,21.8255,24.2883
150,22.0268,24.2732
151,21.9860,24.2581
152,22.5134,24.2466
153,22.3754,24.2343
154,22.4033,24.2225
155,22.0348,24.2083
156,22.0221,24.1943
157,22.4284,24.1831
158,19.8621,24.1557
159,18.1749,24.1181
160,18.1527,24.0808
161,19.9261,24.0550
162,20.7726,24.0348
163,21.7777,24.0209
164,23.2005,24.0159
165,24.4067,24.0183
166,22.9541,24.0119
167,21.5314,23.9970
168,19.4957,23.9702
169,18.4617,23.9376
170,16.6558,23.8948
171,16.5753,23.8520
172,15.5730,23.8039
173,17.2785,23.7661
174,19.6798,23.7427
175,19.9293,23.7209
176,21.5768,23.7087
177,19.8756,23.6870
178,18.4693,23.6577
179,18.6791,23.6299
180,16.9280,23.5927
181,15.4430,23.5476
182,13.7359,23.4937
183,14.8400,23.4464
184,12.9033,23.3891
185,14.4290,23.3407
186,11.8883,23.2791
187,14.7390,23.2335
188,15.0018,23.1897
189,15.9063,23.1511
190,21.4555,23.1422
191,22.6134,23.1395
192,23.6794,23.1423
193,19.9890,23.1259
194,16.4714,23.0916
195,13.3944,23.0419
196,14.6689,22.9992
197,15.2659,22.9599
198,16.3661,22.9266
199,17.7676,22.9007
200,18.2288,22.8773
201,16.2096,22.8442
202,16.5277,22.8129
203,16.1111,22.7799
204,16.8271,22.7507
205,17.7273,22.7262
206,17.8705,22.7026
207,17.9174,22.6795
208,17.5613,22.6549
209,16.8064,22.6269
210,16.8064,22.5992
211,21.5355,22.5942
212,19.9859,22.5819
213,17.5955,22.5584
214,17.6721,22.5356
215,17.2408,22.5110
216,17.5013,22.4878
217,17.3386,22.4641
218,17.3386,22.4406
219,17.4770,22.4179
220,17.4770,22.3954
221,18.7970,22.3791
222,18.7462,22.3628
223,16.3034,22.3356
224,13.8489,22.2977
225,15.4082,22.2671
226,17.9451,22.2480
227,18.4467,22.2312
228,23.8181,22.2382
229,27.0107,22.2590
230,28.0633,22.2843
231,27.4344,22.3066
232,22.4226,22.3071
233,32.3591,22.3502
234,33.1399,22.3963
235,32.3311,22.4386
236,32.9374,22.4831
237,33.5116,22.5296
238,34.1514,22.5784
239,34.9481,22.6302
240,34.9776,22.6816
241,34.2092,22.7295
242,34.2172,22.7769
243,34.0655,22.8234
244,33.9911,22.8692
245,34.2427,22.9156
246,34.6262,22.9632
247,34.6372,23.0105
248,34.6769,23.0575
249,33.3499,23.0988
250,33.3715,23.1399
251,33.6756,23.1819
252,33.3526,23.2223
253,33.5021,23.2629
254,33.6390,23.3037
255,33.2599,23.3428
256,33.1693,23.3812
257,33.0534,23.4188
258,32.4232,23.4537
259,32.4204,23.4883
260,33.1492,23.5255
261,33.9143,23.5653
262,34.4616,23.6069
263,34.6564,23.6489
264,34.6337,23.6905
265,36.1055,23.7374
266,37.3911,23.7887
267,39.6113,23.8479
268,40.1934,23.9089
269,40.9317,23.9722
270,41.3513,24.0366
271,41.6773,24.1017
272,41.9261,24.1672
273,40.7383,24.2279
274,38.5078,24.2800
275,40.2493,24.3381
276,33.8106,24.3724
277,28.5954,24.3877
278,25.0878,24.3902
279,23.7946,24.3880
280,18.6227,24.3675
281,17.7500,24.3439
282,17.2834,24.3189
283,17.5206,24.2948
284,18.6618,24.2750
285,18.4196,24.2545
286,20.8685,24.2426
287,27.7753,24.2549
288,31.5249,24.2802
289,32.1648,24.3075
290,34.2102,24.3416
291,24.1217,24.3409
292,22.1014,24.3332
293,14.6826,24.3002
294,12.4273,24.2599
295,11.4353,24.2164
296,8.8191,24.1644
297,9.8714,24.1162
298,8.3987,24.0635
299,9.2529,24.0140
300,7.4311,23.9587
301,3.2461,23.8899
302,3.2439,23.8215
303,21.5513,23.8140
304,21.9182,23.8078
305,21.9954,23.8018
306,18.9143,23.7859
307,15.9941,23.7605
308,10.3778,23.7170
309,13.1804,23.6829
310,13.1186,23.6489
311,15.2169,23.6218
312,21.3116,23.6143
313,21.3523,23.6071
314,21.8962,23.6017
315,21.9253,23.5963
316,21.9649,23.5912
317,21.4950,23.5846
318,21.4689,23.5779
319,21.4512,23.5713
320,21.4398,23.5646
321,21.4429,23.5580
322,21.4501,23.5514
323,21.4576,23.5450
324,21.4507,23.5385
325,21.4367,23.5320
326,21.2489,23.5250
327,21.2739,23.5181
328,21.3352,23.5115
329,21.1870,23.5044
330,21.1251,23.4972
331,21.0812,23.4899
332,21.0237,23.4825
333,21.1591,23.4755
334,21.0925,23.4684
335,21.1774,23.4615
336,21.1488,23.4546
337,21.0925,23.4476
338,21.0433,23.4405
339,21.0026,23.4333
340,20.5176,23.4248
341,20.4474,23.4160
342,20.3421,23.4070
343,18.4113,23.3925
344,18.3783,23.3779
345,17.7414,23.3616
346,17.4323,23.3444
347,17.5710,23.3278
348,17.4525,23.3109
349,16.2754,23.2907
350,15.4458,23.2683
351,15.1181,23.2451
352,14.9111,23.2214
353,16.0545,23.2011
354,17.1609,23.1841
355,16.1599,23.1643
356,17.6117,23.1487
357,16.8239,23.1310
358,17.5273,23.1153
359,19.4762,23.1052
360,18.9467,23.0936
361,19.2910,23.0831
362,18.5688,23.0706
363,19.2867,23.0602
364,18.8921,23.0487
365,18.7970,23.0371
366,19.1672,23.0265
367,19.5510,23.0171
368,20.3366,23.0098
369,20.8717,23.0040
370,20.9361,22.9984
371,20.9140,22.9928
372,20.9693,22.9873
373,21.0612,22.9822
374,19.3377,22.9724
375,19.5487,22.9633
