Frame,MSE_KF,Avg_MSE_KF,MSE_P0,Avg_MSE_P0,MSE_P1,Avg_MSE_P1,MSE_P2,Avg_MSE_P2,MSE_P3,Avg_MSE_P3,MSE_P4,Avg_MSE_P4,MSE_P5,Avg_MSE_P5,MSE_P6,Avg_MSE_P6,MSE_P7,Avg_MSE_P7,MSE_P8,Avg_MSE_P8,MSE_P9,Avg_MSE_P9,MSE_P10,Avg_MSE_P10,MSE_P11,Avg_MSE_P11,MSE_P12,Avg_MSE_P12,MSE_P13,Avg_MSE_P13,MSE_P14,Avg_MSE_P14,MSE_P15,Avg_MSE_P15
1,7.5333,7.5333,8.3707,8.3707,11.4929,11.4929,16.6218,16.6218,8.0008,8.0008,6.8735,6.8735,8.4072,8.4072,8.3615,8.3615,14.1926,14.1926,8.1306,8.1306,8.4126,8.4126,10.9209,10.9209,13.1921,13.1921,8.2155,8.2155,8.2484,8.2484,8.3309,8.3309,8.3996,8.3996
2,7.2310,7.3822,7.8747,8.1227,14.1607,12.8268,19.8197,18.2207,8.2446,8.1227,8.2585,7.5660,7.9113,8.1592,8.3734,8.3674,17.7783,15.9854,7.2199,7.6753,8.5711,8.4918,12.3054,11.6132,17.7482,15.4702,8.3422,8.2789,6.8352,7.5418,7.4463,7.8886,8.3589,8.3792
3,8.4865,7.7503,10.9084,9.0512,13.6239,13.0925,18.5512,18.3309,11.4789,9.2415,9.3410,8.1577,10.2867,8.8684,11.5822,9.4390,13.6221,15.1976,10.8344,8.7283,11.6409,9.5415,14.3944,12.5402,18.2830,16.4078,11.6691,9.4089,9.5471,8.2103,10.9131,8.8968,11.0550,9.2711
4,9.3461,8.1492,14.5178,10.4179,17.0154,14.0732,26.3818,20.3436,13.3619,10.2716,16.9142,10.3468,15.9903,10.6489,13.6449,10.4905,20.4299,16.5057,13.7275,9.9781,13.6841,10.5772,17.0308,13.6629,26.4163,18.9099,13.5751,10.4505,16.9692,10.4000,14.3684,10.2647,13.7439,10.3893
5,12.6608,9.0515,17.9694,11.9282,20.4567,15.3499,27.7529,21.8255,16.4003,11.4973,19.6193,12.2013,19.8589,12.4909,16.6087,11.7141,25.8997,18.3845,16.5402,11.2905,16.5450,11.7708,21.8985,15.3100,27.4739,20.6227,16.5797,11.6763,19.7464,12.2693,16.9059,11.5929,16.7147,11.6544
6,14.7305,9.9980,20.7122,13.3922,21.8442,16.4323,32.7160,23.6405,18.6947,12.6969,22.0121,13.8364,21.4795,13.9890,19.1711,12.9570,30.4638,20.3977,21.2575,12.9517,19.1401,12.9990,21.8494,16.3999,32.1231,22.5395,18.9409,12.8871,21.7890,13.8559,20.8987,13.1439,19.8516,13.0206
7,16.1697,10.8797,24.2664,14.9457,29.6218,18.3165,30.8483,24.6702,19.3442,13.6465,26.0611,15.5828,27.4754,15.9156,21.7496,14.2131,29.9313,21.7597,22.9041,14.3735,23.5199,14.5020,28.6474,18.1496,30.5323,23.6813,19.5491,13.8388,26.0844,15.6028,23.7769,14.6629,23.7586,14.5546
8,13.4325,11.1988,16.8221,15.1802,21.3207,18.6920,23.7942,24.5607,16.8223,14.0435,17.7956,15.8594,17.1531,16.0703,16.8360,14.5409,21.5025,21.7275,16.7926,14.6759,17.2325,14.8433,20.1255,18.3966,21.6026,23.4215,16.5553,14.1784,16.9448,15.7706,16.9323,14.9466,17.2227,14.8881
9,14.3814,11.5524,22.2242,15.9629,22.0720,19.0676,29.2731,25.0843,18.8610,14.5788,21.3240,16.4666,24.8205,17.0425,21.3930,15.3023,27.0480,22.3187,21.9131,15.4800,22.3008,15.6719,20.9354,18.6786,27.2253,23.8441,19.5995,14.7807,23.2286,16.5992,21.9720,15.7272,22.1927,15.6997
10,13.2201,11.7192,22.3711,16.6037,21.8333,19.3442,22.4616,24.8220,15.5774,14.6786,20.5622,16.8761,22.6309,17.6014,18.0066,15.5727,22.3719,22.3240,18.8086,15.8129,18.5943,15.9641,21.5532,18.9661,22.2451,23.6842,16.8342,14.9861,19.8038,16.9197,21.4258,16.2970,21.2542,16.2552
