Frame,MSE_DefMean,MSE_Ours_BayF,MSE_Ours_KF,MSE_Ideal,MSE_BestHist,Avg_DefMean,Avg_Ours_BayF,Avg_Ours_KF,Avg_Ideal,Avg_BestHist
60,15.1210,14.1514,16.3617,15.8938,15.8938,17.2649,16.9412,17.0275,19.4180,20.7076
61,10.8281,13.7023,16.0523,15.9095,16.6675,17.1594,16.8881,17.0115,19.3605,20.6413
62,13.1579,13.8945,15.5387,15.9243,16.5495,17.0948,16.8398,16.9877,19.3051,20.5753
63,14.9024,13.8435,15.2801,15.3701,15.7634,17.0600,16.7922,16.9606,19.2426,20.4990
64,15.5708,14.6893,14.7090,15.6548,16.1472,17.0368,16.7594,16.9254,19.1865,20.4310
65,15.3404,14.7063,14.1741,14.9331,15.4137,17.0107,16.7278,16.8831,19.1211,20.3538
66,15.2873,15.1999,14.6185,16.1820,17.3955,16.9845,16.7046,16.8488,19.0766,20.3090
67,15.6368,14.4743,14.4064,14.7927,16.8792,16.9644,16.6714,16.8124,19.0126,20.2578
68,15.5663,14.9320,15.2992,16.1787,17.4829,16.9439,16.6458,16.7901,18.9710,20.2170
69,16.8471,15.7274,14.3971,16.8163,17.1568,16.9425,16.6325,16.7554,18.9397,20.1726
70,14.9491,15.7885,14.5543,16.4469,16.7134,16.9140,16.6204,16.7240,18.9041,20.1232
71,15.7116,14.8237,14.3732,15.6664,16.1064,16.8971,16.5951,16.6909,18.8585,20.0666
72,16.7658,16.3001,14.8459,18.0322,18.8435,16.8952,16.5910,16.6652,18.8470,20.0496
73,16.9044,15.8879,16.1624,17.2179,17.8530,16.8954,16.5814,16.6583,18.8247,20.0195
74,20.1136,16.7199,16.9017,17.5452,19.4713,16.9388,16.5832,16.6616,18.8074,20.0121
75,20.9561,15.1369,16.3077,16.9152,18.0072,16.9924,16.5640,16.6569,18.7822,19.9854
76,21.4060,16.3487,17.1552,17.0398,19.2760,17.0505,16.5611,16.6635,18.7593,19.9761
77,26.5058,15.3020,16.7653,16.9442,18.4424,17.1733,16.5448,16.6648,18.7357,19.9562
78,23.0820,14.6116,14.6676,15.7032,17.0600,17.2490,16.5200,16.6392,18.6968,19.9190
79,22.9849,13.1695,13.4874,13.8892,15.9353,17.3216,16.4776,16.5993,18.6360,19.8686
80,18.3835,10.7636,13.1314,11.7665,14.1859,17.3349,16.4062,16.5559,18.5501,19.7976
81,23.3455,12.2278,13.3246,12.6415,13.3477,17.4091,16.3546,16.5161,18.4772,19.7179
82,25.8665,11.8779,13.4559,11.7657,12.9153,17.5123,16.3000,16.4787,18.3953,19.6350
83,21.9569,8.8363,13.1287,10.0507,11.0532,17.5658,16.2101,16.4384,18.2948,19.5316
84,22.5437,8.3950,12.5628,10.1928,11.0543,17.6251,16.1170,16.3922,18.1983,19.4307
85,17.8144,9.5743,11.1634,10.1166,11.0907,17.6273,16.0400,16.3307,18.1032,19.3325
86,20.2997,9.7376,10.1720,10.3961,11.4303,17.6584,15.9668,16.2591,18.0136,19.2407
87,16.6273,9.9467,9.0645,10.2268,10.9881,17.6465,15.8976,16.1764,17.9241,19.1458
88,20.1345,10.3042,9.1775,10.5709,10.8278,17.6748,15.8340,16.0969,17.8406,19.0513
89,20.4236,10.5401,9.9720,10.4120,10.4120,17.7057,15.7745,16.0281,17.7571,18.9542
90,18.6233,10.3627,9.8907,10.0725,11.9489,17.7159,15.7144,15.9599,17.6717,18.8764
91,22.3291,13.8406,11.4329,13.5273,13.5273,17.7666,15.6938,15.9101,17.6262,18.8176
92,18.7311,15.0579,12.6061,15.0394,15.5338,17.7771,15.6869,15.8742,17.5980,18.7819
93,18.4330,15.1666,13.3018,14.5861,15.4081,17.7841,15.6813,15.8465,17.5657,18.7456
94,18.5989,15.6028,14.9507,15.2708,15.9122,17.7928,15.6805,15.8370,17.5412,18.7155
