Frame,MSE_DefMean,MSE_BestEnvelope,MSE_Ours_BayF,MSE_Ours_KF
144,39.1234,35.2125,35.3554,37.5991
145,38.6233,34.4624,35.3166,38.3535
146,41.9622,35.7787,39.3682,40.3262
147,39.6071,38.1223,38.8526,38.1651
148,38.6005,34.3087,36.2644,37.2058
149,37.6433,33.7030,35.5751,36.6575
150,35.5246,30.0148,32.3736,36.2370
151,33.5742,29.9141,31.6512,34.2637
152,32.5151,29.4347,30.2148,32.3409
153,26.8277,27.2483,25.9809,30.8216
154,28.8419,28.9150,29.6659,28.8737
155,23.2392,23.7541,24.5970,25.1217
156,23.7316,23.6208,24.2261,25.1607
157,25.0048,22.1729,22.0711,23.2788
158,26.8549,21.6560,22.6821,22.1239
159,27.1836,21.2341,21.8428,21.0008
160,24.1975,21.0053,21.3709,20.3499
161,28.4579,25.3109,25.1603,25.8737
162,24.1257,13.9185,15.6148,23.2202
163,25.6323,14.9934,16.7972,18.1740
164,26.1466,16.2469,17.6474,14.5778
165,26.2126,15.6903,16.7597,13.6861
166,26.9490,15.8341,17.3859,14.6250
167,26.8752,18.0894,19.6336,17.9043
168,26.7078,17.9613,19.8185,19.0376
169,26.5603,19.1288,20.8174,19.8829
170,24.4994,20.3719,22.3530,18.5008
171,24.4047,22.6130,23.9820,19.6271
172,26.6356,26.7461,26.9789,21.1581
173,26.9585,27.3152,27.1320,23.1184
174,26.2482,26.6725,27.5647,25.8802
175,26.3725,28.0069,27.8607,26.5541
176,25.9644,27.7243,27.5152,27.3432
177,25.1078,26.8594,27.0467,26.3928
178,25.2243,25.7331,25.9156,26.6151
179,26.9774,28.7654,28.9809,26.3669
180,21.1257,18.4891,18.1601,20.7041
181,17.3463,21.0521,21.1293,18.5359
182,22.8837,27.8998,28.6181,16.5202
183,33.0093,32.4869,32.1726,16.4622
184,25.6376,25.2697,25.4152,19.0693
185,25.1415,24.0581,25.0023,21.6472
186,26.7054,26.2557,26.6578,24.8255
187,27.9760,26.7126,28.1944,23.5542
