Frame,MSE_KF,Avg_MSE_KF
1,22.5472,22.5472
2,22.5472,22.5472
3,21.6401,22.2449
4,20.7644,21.8748
5,20.7644,21.6527
6,21.1986,21.5770
7,22.3431,21.6864
8,18.8599,21.3331
9,18.5670,21.0258
10,16.8586,20.6091
11,16.9278,20.2744
12,17.0731,20.0076
13,17.1449,19.7874
14,16.9923,19.5878
15,17.1568,19.4257
16,17.7375,19.3202
17,17.8183,19.2318
18,17.9792,19.1622
19,18.2153,19.1124
20,22.4508,19.2793
21,22.4467,19.4302
22,23.7235,19.6253
23,24.1500,19.8220
24,23.1220,19.9595
25,21.8437,20.0349
26,20.4737,20.0518
27,19.7096,20.0391
28,20.3702,20.0509
29,21.0809,20.0864
30,22.5945,20.1700
31,22.0035,20.2292
32,19.0567,20.1926
33,17.4599,20.1097
34,16.8832,20.0148
35,16.4494,19.9130
36,15.7423,19.7971
37,15.0786,19.6696
38,14.6242,19.5368
39,14.5215,19.4082
40,14.6932,19.2903
41,15.6155,19.2007
42,16.6556,19.1401
43,17.4361,19.1005
44,19.1176,19.1009
45,20.6678,19.1357
46,23.1213,19.2223
47,22.6362,19.2950
48,22.2586,19.3567
49,19.4681,19.3590
50,18.0371,19.3326
51,18.7385,19.3209
52,20.1164,19.3362
53,21.8482,19.3836
54,23.1956,19.4542
55,23.6245,19.5300
56,22.5452,19.5839
57,19.8269,19.5881
58,18.5471,19.5702
59,17.7233,19.5389
60,18.6544,19.5241
61,18.0476,19.4999
62,19.7608,19.5041
63,20.8229,19.5251
64,24.3353,19.6002
65,27.0511,19.7149
66,28.5754,19.8491
67,27.6979,19.9662
68,28.3773,20.0899
69,28.1341,20.2065
70,27.0202,20.3039
71,28.4081,20.4180
72,30.6766,20.5605
73,37.7963,20.7966
74,37.1333,21.0174
75,32.5392,21.1710
76,27.8091,21.2583
77,27.2562,21.3362
78,27.9810,21.4214
79,28.5568,21.5117
80,29.0927,21.6065
81,30.6966,21.7187
82,31.2957,21.8355
83,31.8435,21.9561
84,31.9123,22.0746
85,31.9752,22.1911
86,33.9471,22.3278
87,35.7076,22.4816
88,35.2383,22.6265
89,34.7796,22.7631
90,35.4470,22.9040
91,34.4251,23.0306
92,33.3478,23.1428
93,34.4469,23.2643
94,35.1941,23.3912
95,36.6632,23.5309
96,37.5770,23.6773
97,37.2554,23.8172
98,36.6419,23.9481
99,35.8397,24.0682
100,30.8569,24.1361
101,27.6396,24.1708
102,27.3794,24.2022
103,25.6207,24.2160
104,29.2861,24.2648
105,29.5673,24.3153
106,27.8426,24.3485
107,26.3893,24.3676
108,28.0316,24.4015
109,28.3693,24.4379
110,28.0090,24.4704
111,26.9621,24.4929
112,27.9556,24.5238
113,31.2899,24.5837
114,31.1492,24.6412
115,31.4896,24.7008
116,33.9218,24.7803
117,34.7230,24.8653
118,35.0274,24.9514
119,34.8954,25.0350
120,34.2513,25.1118
121,35.4653,25.1973
122,35.0387,25.2780
123,40.1454,25.3989
124,43.2333,25.5427
125,61.0393,25.8267
126,56.7857,26.0724
127,76.2426,26.4674
128,75.6786,26.8519
129,79.0130,27.2562
130,85.6580,27.7055
131,77.0922,28.0825
132,78.7567,28.4664
133,85.1535,28.8926
134,87.8929,29.3329
135,85.0852,29.7459
136,85.1658,30.1534
137,83.3075,30.5413
138,81.2034,30.9085
139,76.9284,31.2395
140,56.7050,31.4214
141,55.2691,31.5906
142,55.2041,31.7569
143,53.3690,31.9080
144,54.9695,32.0681
145,53.3641,32.2150
146,55.9335,32.3775
147,59.1816,32.5598
148,60.6337,32.7495
149,66.7646,32.9778
150,72.3852,33.2405
151,77.2941,33.5322
152,72.1647,33.7864
153,67.4595,34.0065
154,48.8199,34.1027
155,48.7691,34.1973
156,29.6167,34.1679
157,30.1220,34.1422
158,31.3132,34.1243
159,31.3098,34.1066
160,32.1898,34.0946
161,32.2912,34.0834
162,32.2329,34.0720
163,32.2747,34.0609
164,32.0614,34.0487
165,31.6640,34.0343
166,32.6584,34.0260
167,31.7666,34.0125
168,32.1630,34.0015
169,34.7079,34.0056
170,34.8161,34.0104
171,34.0865,34.0109
172,34.0706,34.0112
173,32.3218,34.0014
174,32.1586,33.9909
175,31.9910,33.9794
176,31.8040,33.9671
177,31.4442,33.9528
178,32.4065,33.9441
179,32.3366,33.9351
180,32.0759,33.9248
