Frame,MSE_DefMean,MSE_Ours_BayF,MSE_Ours_KF,MSE_Ideal,MSE_BestHist,Avg_DefMean,Avg_Ours_BayF,Avg_Ours_KF,Avg_Ideal,Avg_BestHist
1,31.4900,31.0626,31.3310,31.1455,31.2320,31.4900,31.0626,31.3310,31.1455,31.2320
2,29.7654,29.1271,29.4182,29.2070,29.8628,30.6277,30.0948,30.3746,30.1762,30.5474
3,29.4183,28.6959,29.0251,28.6726,28.6726,30.2245,29.6285,29.9248,29.6750,29.9225
4,29.4183,28.6959,28.9892,28.6726,28.6726,30.0230,29.3953,29.6909,29.4244,29.6100
5,30.9353,28.8735,29.4032,27.7520,28.1734,30.2054,29.2910,29.6333,29.0899,29.3227
6,30.4237,28.6101,29.4904,27.4279,28.4372,30.2418,29.1775,29.6095,28.8129,29.1751
7,28.1967,25.4652,28.4042,20.7564,28.4533,29.9497,28.6472,29.4373,27.6620,29.0720
8,21.7604,19.9729,26.1403,17.9691,17.9691,28.9260,27.5629,29.0252,26.4504,27.6841
9,14.2215,14.2595,18.1647,13.6938,13.7215,27.2922,26.0847,27.8185,25.0330,26.1327
10,15.6811,15.5779,15.6304,14.8768,15.4121,26.1311,25.0341,26.5997,24.0173,25.0607
11,20.2675,15.6552,13.8904,10.6469,15.8454,25.5980,24.1814,25.4443,22.8018,24.2229
12,40.0351,37.8981,17.1184,32.5052,33.8058,26.8011,25.3245,24.7505,23.6105,25.0215
13,44.5516,39.3864,22.0703,24.0989,38.2999,28.1665,26.4062,24.5443,23.6480,26.0429
14,37.0563,31.8722,30.4124,16.9530,36.5183,28.8015,26.7966,24.9634,23.1698,26.7911
15,33.0195,31.1181,31.6467,18.8168,18.8168,29.0827,27.0847,25.4090,22.8796,26.2595
16,34.5343,32.0799,29.9430,26.9079,29.8538,29.4234,27.3969,25.6924,23.1314,26.4842
17,45.3756,41.7525,29.5002,32.1372,32.1372,30.3618,28.2414,25.9164,23.6611,26.8167
18,32.1639,30.4625,28.6143,26.0988,26.0988,30.4619,28.3648,26.0662,23.7966,26.7768
19,29.3449,29.4520,26.6600,23.8342,23.8342,30.4031,28.4220,26.0975,23.7985,26.6219
20,26.4475,26.6396,26.2062,24.9336,24.9336,30.2053,28.3329,26.1029,23.8553,26.5375
21,20.6477,21.0818,20.7889,20.3514,20.3514,29.7502,27.9876,25.8499,23.6884,26.2429
22,20.9766,20.2789,19.9843,18.8073,18.8451,29.3514,27.6372,25.5833,23.4666,25.9067
23,23.9850,22.7103,19.6936,21.4676,21.4676,29.1181,27.4230,25.3272,23.3797,25.7137
24,19.9674,20.0087,19.3847,19.5976,21.7235,28.7368,27.1140,25.0796,23.2221,25.5474
25,20.1086,21.0211,19.5739,19.3416,20.3275,28.3917,26.8703,24.8594,23.0669,25.3386
26,20.3786,20.5456,18.8701,17.7749,17.7749,28.0835,26.6271,24.6290,22.8633,25.0477
27,16.3106,16.5373,17.7773,16.3350,16.3350,27.6474,26.2534,24.3752,22.6215,24.7250
28,15.2259,12.4401,14.2915,11.5469,11.5469,27.2038,25.7600,24.0151,22.2260,24.2544
29,15.4785,11.6644,12.9873,11.2850,11.2850,26.7995,25.2740,23.6348,21.8487,23.8072
30,25.6823,25.1746,15.1140,23.9392,26.3706,26.7623,25.2707,23.3508,21.9184,23.8926
31,29.2691,28.7446,17.7222,29.2469,30.6206,26.8431,25.3827,23.1692,22.1548,24.1096
32,33.4948,31.9445,25.4787,34.3211,34.5232,27.0510,25.5878,23.2414,22.5350,24.4351
33,42.8564,39.1606,34.5377,41.8165,43.0122,27.5299,25.9991,23.5837,23.1193,24.9980
34,68.1477,53.0533,51.9828,52.5890,54.9529,28.7246,26.7948,24.4190,23.9861,25.8790
35,75.4493,57.2767,56.2978,55.9158,56.8392,30.0596,27.6657,25.3298,24.8983,26.7636
36,42.2469,30.6683,39.8456,23.5186,23.5186,30.3981,27.7491,25.7330,24.8600,26.6735
37,45.5984,32.8861,35.1354,30.5442,30.5442,30.8089,27.8879,25.9871,25.0136,26.7781
38,49.4417,44.3384,34.8758,35.4945,35.4945,31.2993,28.3209,26.2211,25.2895,27.0075
39,37.7332,37.5975,31.1333,35.9429,38.9104,31.4642,28.5587,26.3470,25.5626,27.3127
40,37.8274,38.7160,36.2157,36.9585,41.5371,31.6233,28.8126,26.5937,25.8475,27.6683
41,35.7716,35.7068,36.0172,36.5057,39.8709,31.7245,28.9808,26.8236,26.1075,27.9659
42,26.3833,27.2159,33.5488,26.3786,34.4442,31.5973,28.9388,26.9837,26.1139,28.1201
43,31.5289,31.9839,35.8752,31.5062,38.2163,31.5957,29.0096,27.1905,26.2393,28.3549
44,27.5246,25.8519,32.8572,30.5982,30.9814,31.5032,28.9378,27.3193,26.3384,28.4146
45,32.3447,32.5620,31.0200,33.4384,37.8355,31.5219,29.0184,27.4015,26.4962,28.6240
46,32.4496,30.0250,29.8382,28.7236,28.7236,31.5421,29.0402,27.4545,26.5446,28.6261
47,34.3857,33.8591,30.7038,33.1566,33.1566,31.6026,29.1428,27.5236,26.6853,28.7225
48,25.6466,25.5583,27.8490,23.7195,27.5986,31.4785,29.0681,27.5304,26.6235,28.6991
49,26.7884,26.3927,26.2832,22.2091,28.3238,31.3828,29.0135,27.5049,26.5334,28.6915
50,22.7936,23.1402,24.1733,22.6661,23.4220,31.2110,28.8960,27.4383,26.4561,28.5861
51,31.4372,30.9430,26.2262,26.9382,31.3379,31.2154,28.9362,27.4145,26.4655,28.6400
52,45.5938,45.8560,38.8017,38.3231,48.1264,31.4919,29.2615,27.6335,26.6935,29.0148
53,48.8774,49.1120,44.2470,44.0361,50.7505,31.8200,29.6361,27.9470,27.0208,29.4249
54,47.6780,47.8442,49.0819,41.3177,49.5042,32.1136,29.9733,28.3384,27.2855,29.7967
55,47.7259,47.6480,55.6126,32.2195,57.1202,32.3975,30.2946,28.8343,27.3752,30.2935
56,53.8504,53.7748,63.4149,37.3583,60.4090,32.7806,30.7139,29.4518,27.5535,30.8313
57,16.8393,18.0008,46.1052,12.9139,21.5650,32.5009,30.4909,29.7439,27.2967,30.6687
58,22.5243,21.6423,36.9354,11.3885,34.9946,32.3289,30.3383,29.8679,27.0224,30.7433
59,21.1169,20.3160,24.9790,10.7513,32.3446,32.1389,30.1685,29.7851,26.7466,30.7704
60,22.0534,21.4709,22.6624,10.7250,33.5374,31.9708,30.0235,29.6664,26.4796,30.8166
61,21.5007,21.1284,21.9709,10.5264,32.9466,31.7991,29.8777,29.5402,26.2180,30.8515
62,17.0126,17.7702,19.9266,9.6509,21.5690,31.5606,29.6824,29.3851,25.9508,30.7018
63,16.5932,17.1385,18.4441,8.6838,20.8062,31.3231,29.4833,29.2115,25.6768,30.5447
64,15.1998,13.6733,16.6863,7.9210,19.6516,31.0711,29.2362,29.0158,25.3993,30.3745
65,17.0786,16.1170,16.4410,9.5951,21.7577,30.8559,29.0344,28.8223,25.1562,30.2419
66,16.8384,12.2737,16.6046,10.3953,20.5250,30.6435,28.7805,28.6372,24.9325,30.0947
67,10.8704,11.5269,17.1373,11.3044,11.3044,30.3484,28.5229,28.4656,24.7291,29.8142
68,13.7893,14.8161,17.2229,14.7812,15.6103,30.1048,28.3214,28.3002,24.5828,29.6054
69,15.4325,15.6843,14.7039,15.3949,16.4346,29.8922,28.1382,28.1032,24.4497,29.4145
70,34.9664,26.3618,13.5204,26.4457,37.2448,29.9647,28.1129,27.8948,24.4782,29.5263
71,17.1464,17.4380,15.7119,17.6097,17.6097,29.7841,27.9625,27.7233,24.3814,29.3585
72,17.8499,18.0964,15.9680,17.8126,17.8126,29.6184,27.8255,27.5600,24.2902,29.1981
