Frame,MSE_KF,Avg_MSE_KF,MSE_P0,Avg_MSE_P0,MSE_P1,Avg_MSE_P1,MSE_P2,Avg_MSE_P2,MSE_P3,Avg_MSE_P3,MSE_P4,Avg_MSE_P4,MSE_P5,Avg_MSE_P5,MSE_P6,Avg_MSE_P6,MSE_P7,Avg_MSE_P7,MSE_P8,Avg_MSE_P8,MSE_P9,Avg_MSE_P9,MSE_P10,Avg_MSE_P10,MSE_P11,Avg_MSE_P11,MSE_P12,Avg_MSE_P12,MSE_P13,Avg_MSE_P13,MSE_P14,Avg_MSE_P14,MSE_P15,Avg_MSE_P15
1,7.5517,7.5517,8.1564,8.1564,11.6538,11.6538,17.1023,17.1023,7.9665,7.9665,7.3146,7.3146,8.1972,8.1972,8.3280,8.3280,14.7942,14.7942,8.0280,8.0280,8.2486,8.2486,11.0754,11.0754,13.8951,13.8951,8.1603,8.1603,8.0500,8.0500,8.1181,8.1181,8.2103,8.2103
2,7.6546,7.6031,6.6287,7.3926,17.1741,14.4139,16.7176,16.9099,9.1557,8.5611,7.9865,7.6505,6.6020,7.3996,8.4837,8.4058,14.1593,14.4767,6.5448,7.2864,8.9519,8.6002,12.7783,11.9268,14.2480,14.0716,9.1323,8.6463,6.9593,7.5046,6.5681,7.3431,6.3113,7.2608
3,8.6495,7.9519,11.9716,8.9189,15.7134,14.8471,21.7193,18.5130,11.4237,9.5153,10.5845,8.6285,13.7306,9.5099,11.6816,9.4978,17.7177,15.5571,11.3299,8.6342,11.8400,9.6802,14.8048,12.8861,21.6014,16.5815,11.5629,9.6185,12.6628,9.2240,11.6786,8.7883,11.8292,8.7836
4,9.5666,8.3556,12.8556,9.9031,16.2432,15.1961,25.1901,20.1823,12.4234,10.2423,13.9736,9.9648,14.7110,10.8102,12.8953,10.3471,19.1852,16.4641,12.4615,9.5910,13.6054,10.6615,15.6847,13.5858,20.8458,17.6476,12.7340,10.3974,13.7934,10.3664,12.5928,9.7394,13.2304,9.8953
5,11.1661,8.9177,13.9035,10.7032,15.5697,15.2709,25.1871,21.1833,13.2056,10.8350,17.0927,11.3904,17.4838,12.1449,13.8468,11.0471,21.5517,17.4816,13.2195,10.3167,14.0990,11.3490,15.6798,14.0046,22.6671,18.6515,13.5368,11.0252,15.9156,11.4762,13.3644,10.4644,13.9716,10.7106
6,14.9564,9.9242,18.0613,11.9295,19.0474,15.9003,31.5402,22.9094,17.9862,12.0268,19.0868,12.6731,18.3832,13.1846,18.0540,12.2149,24.2689,18.6128,18.0223,11.6010,18.1755,12.4867,18.7092,14.7887,30.1781,20.5726,18.0070,12.1889,18.1159,12.5828,17.8742,11.6994,18.0981,11.9418
7,15.2198,10.6807,19.8171,13.0563,20.7262,16.5897,28.2391,23.6708,16.9585,12.7314,21.3450,13.9120,21.8803,14.4269,18.7609,13.1500,26.3817,19.7227,18.8296,12.6337,19.1169,13.4339,19.7815,15.5019,25.9082,21.3348,17.9427,13.0108,21.2093,13.8152,19.6814,12.8397,19.7957,13.0638
8,16.8421,11.4509,20.5013,13.9870,23.1776,17.4132,25.8601,23.9445,21.3363,13.8070,23.3231,15.0884,21.4594,15.3059,21.5772,14.2034,25.4115,20.4338,20.7855,13.6526,21.6048,14.4553,22.4818,16.3744,27.5458,22.1112,21.2167,14.0366,21.7377,14.8055,20.7334,13.8264,21.2016,14.0810
9,18.8135,12.2689,23.8572,15.0837,24.5397,18.2050,25.9387,24.1660,26.3825,15.2043,25.7666,16.2748,23.9654,16.2681,24.4802,15.3453,25.1037,20.9526,24.1267,14.8164,24.3338,15.5529,25.3658,17.3735,25.6475,22.5041,25.9826,15.3639,24.2795,15.8582,23.9294,14.9489,23.7138,15.1513
10,19.3568,12.9777,23.6176,15.9370,26.9835,19.0829,28.8187,24.6313,23.7998,16.0638,26.5539,17.3027,25.4718,17.1885,23.1141,16.1222,27.8370,21.6411,22.3211,15.5669,24.2920,16.4268,26.4273,18.2789,27.8979,23.0435,24.1647,16.2440,27.1260,16.9849,22.8524,15.7393,24.3328,16.0695
11,19.9034,13.6073,28.4858,17.0778,23.0769,19.4460,31.4894,25.2548,26.4441,17.0075,25.7981,18.0750,27.8272,18.1556,28.6165,17.2580,29.7587,22.3790,28.6275,16.7542,28.5765,17.5313,24.6064,18.8541,30.2985,23.7030,28.2910,17.3392,27.2923,17.9220,28.5352,16.9025,28.5789,17.2067
12,12.7703,13.5376,14.0748,16.8276,14.1782,19.0070,16.5115,24.5262,13.1841,16.6889,13.9608,17.7322,15.0572,17.8974,14.1843,17.0019,15.7594,21.8274,14.0128,16.5258,14.2987,17.2619,14.2541,18.4708,15.8572,23.0492,13.9905,17.0601,14.2974,17.6199,13.9364,16.6554,14.2083,16.9568
13,22.2045,14.2043,23.0947,17.3097,21.9150,19.2307,22.3264,24.3570,21.4677,17.0565,22.3038,18.0838,23.2842,18.3118,22.3077,17.4100,22.6180,21.8882,22.1423,16.9578,23.0648,17.7083,21.1093,18.6737,22.6114,23.0155,21.7720,17.4226,22.6550,18.0072,22.7830,17.1267,23.2332,17.4396
