Frame,MSE_DefMean,MSE_BestEnvelope,MSE_Ours_BayF,MSE_Ours_KF
1,58.6252,56.1244,58.6252,58.8151
2,58.5808,54.9070,57.7313,58.6040
3,62.0195,51.2827,61.4403,62.6062
4,51.1141,44.1902,50.6213,51.5503
5,44.4360,41.1158,43.9166,43.6011
6,44.3710,40.3906,43.7489,42.8865
7,43.3891,42.0328,43.7223,41.0275
8,42.3719,41.0903,42.8292,40.2293
9,40.6242,39.2036,40.3043,40.6398
10,40.4431,37.1509,40.0598,38.5169
11,36.4532,37.3763,37.2360,37.7613
12,42.2478,36.4490,40.6725,37.3642
13,44.4690,36.2407,42.4838,38.8572
14,43.7387,32.1740,40.9888,40.1731
15,44.2907,32.6154,40.9132,39.7411
16,43.7631,33.9469,38.8781,40.2467
17,46.9464,35.3662,42.5922,39.3203
18,48.8735,35.5163,44.5151,38.2862
19,48.3532,33.0999,45.9495,36.5973
20,46.6272,31.7113,44.7813,36.3434
21,46.6468,31.7822,44.7856,36.0759
22,45.6075,31.0460,43.6168,37.5126
23,46.7597,31.6889,43.3519,39.6059
24,46.6927,31.5900,43.2732,39.0652
25,47.2204,31.5151,43.5987,39.2201
26,46.2588,30.6682,42.5442,38.6981
27,45.5699,30.4722,41.6085,37.8946
28,46.3758,30.5637,42.6388,38.2091
29,48.6528,32.2883,43.8704,39.5900
30,48.4297,32.2350,43.3817,40.5287
31,48.7292,33.1128,44.0028,42.2690
32,49.2020,33.2958,44.4962,43.3135
33,49.0351,34.2993,44.7217,43.7409
34,49.0351,34.2993,44.7217,43.7818
35,48.2169,34.2404,44.2135,43.6113
36,48.8426,34.4552,38.7718,44.0940
37,50.2042,37.8618,40.7432,44.3478
38,37.7935,33.9917,33.6168,35.2630
39,31.5894,29.4841,31.8370,33.7026
40,29.9592,28.9029,32.0868,33.8169
41,34.3626,32.3888,36.2267,34.9591
42,34.7887,32.6295,36.5312,35.0612
43,35.1777,32.8926,36.3877,34.2223
44,36.6706,34.2637,37.1382,34.4679
45,33.5961,31.8437,33.4647,34.3358
46,32.0197,29.8257,31.3142,33.5013
47,36.0546,33.1202,35.9325,36.1301
48,36.3693,33.6463,36.7601,36.5229
49,34.3495,32.0705,33.2300,34.4961
50,36.0453,35.0682,36.1754,35.2431
51,39.6524,38.8181,40.5155,37.6191
52,44.2206,43.4980,47.0894,40.4362
53,37.5641,35.2376,38.6641,41.4374
54,60.8818,59.6341,60.0630,40.8973
55,46.0801,46.2824,47.0959,40.4339
56,44.3002,44.6612,45.0233,37.7497
57,36.3336,36.4250,37.4549,34.3335
58,37.3386,36.6842,37.4531,33.5372
59,36.4167,36.3127,37.2264,34.4966
60,33.2224,32.0837,33.9769,36.5233
61,30.4420,28.2693,32.2381,37.1098
62,33.2554,31.4898,35.2670,36.7911
63,32.2174,28.6846,32.0304,29.5433
64,41.6975,34.7407,38.9226,23.2001
65,41.6975,34.7407,38.9226,25.5410
66,16.3729,16.2614,16.7419,16.8207
67,14.4817,14.3873,14.5142,14.2130
68,12.9424,12.9187,12.9470,12.6708
69,14.7121,14.1301,14.8748,15.2657
70,19.2284,18.3666,19.0153,16.9304
71,17.0540,16.6508,16.9254,15.8443
72,21.3624,19.7558,21.0454,16.4471
73,21.7385,19.9855,21.5160,18.8419
74,20.3527,20.2696,20.7205,20.4161
75,20.5009,19.7887,20.8550,19.7100
76,18.9564,19.3619,19.2326,19.8769
77,18.9307,19.2270,19.0913,19.1818
78,18.3073,18.4976,18.6445,19.5151
79,18.4084,19.1711,18.9660,19.4129
80,19.9904,19.9556,20.8934,19.7708
81,21.6164,22.0316,21.8862,21.4809
82,21.0884,21.0884,21.0884,20.2940
83,21.0664,21.0664,21.0664,20.3001
84,19.6363,19.6363,19.6363,19.1220
