Frame,MSE_KF,Avg_MSE_KF
1,19.9008,19.9008
2,19.9995,19.9502
3,20.3048,20.0684
4,20.0894,20.0736
5,19.6847,19.9958
6,19.4275,19.9011
7,19.5935,19.8572
8,19.2245,19.7781
9,18.1566,19.5979
10,17.5028,19.3884
11,17.4571,19.2128
12,16.5173,18.9882
13,17.2204,18.8522
14,17.3549,18.7453
15,17.9634,18.6932
16,17.3025,18.6062
17,17.3653,18.5332
18,16.7141,18.4322
19,16.9236,18.3528
20,17.5622,18.3133
21,17.9155,18.2943
22,18.4243,18.3002
23,16.8138,18.2356
24,16.7697,18.1745
25,16.4897,18.1071
26,16.7188,18.0537
27,17.0449,18.0164
28,17.7472,18.0067
29,18.2772,18.0161
30,18.3084,18.0258
31,17.5927,18.0119
32,17.7932,18.0050
33,18.1327,18.0089
34,18.0882,18.0112
35,17.4365,17.9948
36,15.9145,17.9370
37,14.7604,17.8512
38,13.9911,17.7496
39,13.7733,17.6476
40,13.3697,17.5407
41,13.3361,17.4381
42,13.2697,17.3389
43,12.6845,17.2306
44,11.6010,17.1027
45,11.6700,16.9820
46,11.5745,16.8644
47,12.1484,16.7641
48,14.0623,16.7078
49,15.5721,16.6846
50,19.1721,16.7344
51,23.2249,16.8616
52,28.5938,17.0872
53,29.3147,17.3179
54,31.3604,17.5780
55,32.0110,17.8404
56,32.2585,18.0979
57,35.2898,18.3995
58,34.2012,18.6719
59,33.7884,18.9281
60,34.9553,19.1953
61,34.0992,19.4396
62,34.7561,19.6866
63,33.6725,19.9086
64,30.0638,20.0673
65,24.4327,20.1345
66,20.6043,20.1416
67,16.3838,20.0855
68,15.1479,20.0129
69,13.8322,19.9233
70,14.6325,19.8477
71,16.1087,19.7951
72,18.8702,19.7822
73,21.4070,19.8045
74,18.8882,19.7921
75,17.5933,19.7628
76,17.9779,19.7393
77,18.4634,19.7227
78,20.1485,19.7282
79,22.8100,19.7672
80,22.6702,19.8035
81,23.6062,19.8504
82,25.1038,19.9145
83,25.3500,19.9800
84,26.7627,20.0607
85,28.1477,20.1559
86,28.0876,20.2481
87,28.8879,20.3474
88,30.4335,20.4620
89,32.7641,20.6002
90,35.0158,20.7604
91,34.6292,20.9128
92,34.6875,21.0625
93,33.5571,21.1969
94,33.1928,21.3245
95,33.0219,21.4476
96,31.6661,21.5541
97,32.7931,21.6699
98,35.5289,21.8114
99,35.0995,21.9456
100,36.7796,22.0939
101,34.4327,22.2161
102,33.6232,22.3279
103,32.2795,22.4245
104,32.5696,22.5221
105,33.5776,22.6274
106,34.6750,22.7410
107,32.0455,22.8280
108,27.9750,22.8757
109,27.5117,22.9182
110,28.2477,22.9666
111,30.5497,23.0350
112,30.1043,23.0981
113,31.0353,23.1683
114,28.9007,23.2186
115,29.3833,23.2722
116,31.3017,23.3414
117,29.5597,23.3946
118,26.9017,23.4243
119,25.2483,23.4396
120,23.4339,23.4396
121,21.5436,23.4239
122,21.1240,23.4051
123,21.4343,23.3890
124,23.6023,23.3908
125,23.9628,23.3953
126,26.4077,23.4192
127,30.9062,23.4782
128,32.5361,23.5490
129,29.0366,23.5915
130,26.9312,23.6172
131,26.8832,23.6421
132,25.0420,23.6527
133,26.8848,23.6770
134,25.8100,23.6929
135,27.0838,23.7181
136,25.7311,23.7329
137,24.8638,23.7411
138,25.2557,23.7521
139,25.0821,23.7617
140,24.9357,23.7700
141,23.9987,23.7717
142,23.5504,23.7701
143,23.3364,23.7671
144,23.0004,23.7618
145,26.9060,23.7834
146,30.5106,23.8295
147,46.0311,23.9805
148,53.0898,24.1772
149,61.1321,24.4252
150,61.1222,24.6699
151,54.6549,24.8685
152,60.0593,25.1000
153,47.2641,25.2449
154,29.4039,25.2719
155,107.6959,25.8036
156,104.8719,26.3105
157,106.4454,26.8209
158,111.0943,27.3543
159,116.1285,27.9126
160,125.4968,28.5225
161,127.2137,29.1355
162,125.0909,29.7278
163,123.7286,30.3045
164,128.2864,30.9019
165,131.1044,31.5092
166,126.6155,32.0822
167,121.5601,32.6180
168,121.9082,33.1494
169,96.1409,33.5222
170,95.5580,33.8871
171,95.0580,34.2448
172,80.4344,34.5134
173,60.0328,34.6609
174,60.4523,34.8091
175,57.1511,34.9368
176,57.1970,35.0632
177,55.7815,35.1803
178,52.4597,35.2774
179,52.5387,35.3738
180,52.4267,35.4685
181,50.9909,35.5543
182,41.8295,35.5888
183,34.8969,35.5850
184,35.0751,35.5822
185,35.8376,35.5836
186,37.5680,35.5943
187,34.5157,35.5885
188,35.3176,35.5871
189,34.4164,35.5809
190,33.2629,35.5687
191,31.8689,35.5493
192,31.8389,35.5300
193,31.0293,35.5067
194,29.5673,35.4760
195,27.5035,35.4352
196,27.6341,35.3954
197,26.2097,35.3487
198,26.1057,35.3020
199,26.0405,35.2555
200,25.9638,35.2091
201,26.1197,35.1638
202,25.4815,35.1159
203,20.3756,35.0433
204,16.0059,34.9500
205,17.3558,34.8641
206,17.3678,34.7792
207,17.6378,34.6964
208,18.3728,34.6179
209,19.4822,34.5455
210,20.5558,34.4789
211,22.1692,34.4205
212,23.6348,34.3697
213,23.0514,34.3165
214,17.5347,34.2381
215,16.5265,34.1557
216,21.1715,34.0956
217,22.6724,34.0430
218,24.6327,33.9998
219,22.1321,33.9456
