Frame,MSE_KF,Avg_MSE_KF,MSE_P0,Avg_MSE_P0,MSE_P1,Avg_MSE_P1,MSE_P2,Avg_MSE_P2,MSE_P3,Avg_MSE_P3,MSE_P4,Avg_MSE_P4,MSE_P5,Avg_MSE_P5,MSE_P6,Avg_MSE_P6,MSE_P7,Avg_MSE_P7,MSE_P8,Avg_MSE_P8,MSE_P9,Avg_MSE_P9,MSE_P10,Avg_MSE_P10,MSE_P11,Avg_MSE_P11,MSE_P12,Avg_MSE_P12,MSE_P13,Avg_MSE_P13,MSE_P14,Avg_MSE_P14,MSE_P15,Avg_MSE_P15
1,10.6630,10.6630,11.5415,11.5415,11.9802,11.9802,14.9446,14.9446,12.4292,12.4292,11.1749,11.1749,11.2144,11.2144,11.7469,11.7469,10.7883,10.7883,11.3721,11.3721,11.8777,11.8777,11.9213,11.9213,14.3274,14.3274,12.0760,12.0760,11.0401,11.0401,11.4880,11.4880,11.6829,11.6829
2,8.0588,9.3609,9.2273,10.3844,7.6224,9.8013,18.0705,16.5076,10.5338,11.4815,8.8005,9.9877,8.7791,9.9968,10.9022,11.3245,7.7110,9.2497,8.5378,9.9550,11.2402,11.5590,7.2366,9.5789,13.7586,14.0430,10.6602,11.3681,8.4591,9.7496,9.2471,10.3676,11.1923,11.4376
3,6.2087,8.3102,11.0601,10.6096,8.0978,9.2334,14.6950,15.9034,11.4367,11.4666,9.0005,9.6586,9.4250,9.8062,11.4198,11.3563,6.5974,8.3656,11.4902,10.4667,11.5394,11.5524,8.0199,9.0593,10.2277,12.7712,11.3317,11.3560,9.8299,9.7764,11.6685,10.8012,11.9288,11.6013
4,6.0076,7.7345,12.2507,11.0199,12.5371,10.0594,20.8742,17.1461,11.8196,11.5548,13.0980,10.5185,12.0338,10.3631,11.7786,11.4619,15.1953,10.0730,12.1854,10.8964,10.1949,11.2130,13.0327,10.0526,15.3930,13.4267,11.9487,11.5042,12.7580,10.5218,11.7785,11.0455,11.2810,11.5212
5,8.1913,7.8259,11.9735,11.2106,13.9628,10.8401,23.1956,18.3560,10.7826,11.4004,11.9807,10.8109,11.9735,10.6852,11.2925,11.4280,14.5121,10.9608,11.9735,11.1118,10.5678,11.0840,13.1049,10.6631,18.5811,14.4576,10.6254,11.3284,11.9735,10.8121,11.9735,11.2311,11.8410,11.5852
6,13.1205,8.7083,15.7374,11.9651,15.8687,11.6782,26.0833,19.6439,13.4686,11.7451,15.8862,11.6568,16.8266,11.7087,13.4854,11.7709,19.7434,12.4246,15.4616,11.8368,13.4782,11.4830,16.1537,11.5782,22.1195,15.7346,13.4779,11.6867,16.0878,11.6914,15.6518,11.9679,13.5355,11.9102
7,14.8289,9.5827,18.6421,12.9189,19.8542,12.8462,29.0206,20.9834,14.2554,12.1037,21.1254,13.0095,19.4212,12.8105,14.1601,12.1122,26.3909,14.4198,15.6562,12.3824,14.7921,11.9557,19.9412,12.7729,26.7175,17.3035,14.2910,12.0587,19.6175,12.8237,17.1809,12.7126,15.3371,12.3998
8,14.3388,10.1772,14.6614,13.1367,16.0516,13.2469,25.7277,21.5764,11.1578,11.9855,15.6473,13.3392,15.1223,13.0995,14.0212,12.3508,21.5004,15.3048,14.8775,12.6943,14.3257,12.2520,17.1301,13.3176,23.1740,18.0373,12.8241,12.1544,15.4034,13.1461,14.8241,12.9766,14.5426,12.6676
9,17.3357,10.9726,22.2211,14.1461,21.9017,14.2085,26.8723,22.1649,21.8920,13.0862,23.8277,14.5046,23.3528,14.2388,24.2046,13.6679,26.5719,16.5567,24.6370,14.0213,24.7750,13.6434,23.2296,14.4189,23.3303,18.6255,22.2273,13.2736,23.9184,14.3431,24.0543,14.2074,24.0069,13.9276
10,21.3433,12.0096,24.0255,15.1341,27.3616,15.5238,26.0894,22.5573,28.5509,14.6327,25.9223,15.6464,26.0388,15.4188,25.7972,14.8808,26.5913,17.5602,24.8340,15.1025,24.9055,14.7696,26.6549,15.6425,25.4326,19.3062,27.7069,14.7169,25.8729,15.4961,24.1599,15.2027,24.1655,14.9514
11,16.8316,12.4480,24.9209,16.0238,27.1669,16.5823,29.3852,23.1780,28.4548,15.8892,25.7359,16.5636,25.0914,16.2981,27.2311,16.0036,26.8338,18.4033,26.4922,16.1380,26.5405,15.8397,27.2919,16.7015,25.4517,19.8649,29.0844,16.0230,25.2532,16.3831,26.1725,16.1999,25.6177,15.9210
12,15.8904,12.7349,21.3701,16.4693,20.3793,16.8987,23.7120,23.2225,17.9440,16.0604,21.4058,16.9671,22.6818,16.8301,17.6177,16.1381,22.3758,18.7343,18.1354,16.3044,17.4873,15.9770,20.9161,17.0527,22.9262,20.1200,18.1122,16.1971,21.0746,16.7740,19.1828,16.4485,18.8959,16.1689
