Frame,MSE_KF,Avg_MSE_KF
1,20.2793,20.2793
2,21.5058,20.8926
3,20.9679,20.9177
4,20.9062,20.9148
5,23.4377,21.4194
6,23.8872,21.8307
7,24.5937,22.2254
8,25.2948,22.6091
9,26.6561,23.0588
10,26.9191,23.4448
11,24.9498,23.5816
12,25.5701,23.7473
13,25.6656,23.8949
14,26.1595,24.0566
15,26.0135,24.1871
16,27.1929,24.3750
17,26.7833,24.5166
18,26.5959,24.6321
19,26.3007,24.7200
20,26.3965,24.8038
21,29.4316,25.0242
22,29.7072,25.2370
23,30.8353,25.4804
24,30.3287,25.6824
25,29.5144,25.8357
26,28.9601,25.9559
27,28.1144,26.0358
28,29.5681,26.1620
29,29.9665,26.2932
30,29.3428,26.3948
31,27.5828,26.4332
32,26.7956,26.4445
33,25.8882,26.4276
34,25.0994,26.3886
35,25.1712,26.3538
36,24.7001,26.3078
37,24.0419,26.2466
38,22.8448,26.1571
39,22.0412,26.0515
40,21.0550,25.9266
41,19.3588,25.7664
42,16.6191,25.5486
43,14.7937,25.2985
44,16.7998,25.1054
45,15.1355,24.8838
46,15.3771,24.6772
47,17.0053,24.5139
48,17.0622,24.3587
49,17.7964,24.2248
50,18.9599,24.1195
51,18.6884,24.0130
52,18.3286,23.9037
53,18.1658,23.7954
54,16.5403,23.6610
55,15.5244,23.5131
56,14.9928,23.3610
57,15.6100,23.2250
58,16.4492,23.1082
59,16.7760,23.0008
60,17.3488,22.9066
61,17.8279,22.8234
62,18.0775,22.7468
63,17.6720,22.6663
64,16.4038,22.5684
65,15.1615,22.4545
66,14.4325,22.3329
67,13.3704,22.1992
68,14.4306,22.0849
69,16.2567,22.0004
70,17.9718,21.9429
71,18.7201,21.8975
72,19.0888,21.8585
73,18.7579,21.8160
74,19.0995,21.7793
75,20.7217,21.7652
76,19.6959,21.7380
77,19.7015,21.7115
78,17.7795,21.6611
79,19.9522,21.6395
80,20.5131,21.6254
81,21.6916,21.6262
82,20.1784,21.6086
83,18.8902,21.5758
84,19.2816,21.5485
85,21.9076,21.5527
86,23.2830,21.5728
87,23.2083,21.5916
88,23.0323,21.6080
89,23.0164,21.6238
90,23.0535,21.6397
91,23.5545,21.6608
92,23.8680,21.6848
93,24.9899,21.7203
94,23.4657,21.7389
95,22.4972,21.7468
96,22.0830,21.7503
97,22.0419,21.7534
98,22.2934,21.7589
99,22.4467,21.7658
100,22.8751,21.7769
101,22.9045,21.7881
102,22.4081,21.7941
103,22.4030,21.8001
104,21.9674,21.8017
105,21.6825,21.8005
106,21.5978,21.7986
107,21.4823,21.7957
108,22.4845,21.8020
109,24.0986,21.8231
110,24.1894,21.8446
111,25.8332,21.8806
112,26.1040,21.9183
113,26.0213,21.9546
114,26.4274,21.9938
115,25.3216,22.0228
116,22.3347,22.0254
117,21.4788,22.0208
118,20.4639,22.0076
119,19.9654,21.9904
120,18.4234,21.9607
121,17.5504,21.9242
122,16.8722,21.8828
123,17.4864,21.8471
124,19.3536,21.8270
125,20.1337,21.8134
126,23.7137,21.8285
127,25.8812,21.8604
128,26.1644,21.8940
129,28.6514,21.9464
130,28.5124,21.9969
131,29.6971,22.0557
132,30.8549,22.1224
133,32.5316,22.2006
134,36.6892,22.3088
135,41.8887,22.4538
136,44.2022,22.6137
137,46.3624,22.7871
138,49.0805,22.9776
139,54.7675,23.2063
140,56.8797,23.4468
141,65.1137,23.7423
142,76.1432,24.1114
143,95.0444,24.6074
144,97.4838,25.1135
145,99.5217,25.6266
146,104.4417,26.1665
147,101.8848,26.6816
148,93.5156,27.1331
149,87.3269,27.5371
150,77.1103,27.8676
151,45.1383,27.9820
152,40.5257,28.0645
153,34.8250,28.1087
154,35.1552,28.1545
155,35.2051,28.1999
156,33.8650,28.2363
157,27.7398,28.2331
158,25.7406,28.2173
159,26.0080,28.2034
160,25.8495,28.1887
161,24.3648,28.1650
162,23.9237,28.1388
163,24.1087,28.1141
164,24.0498,28.0893
165,23.1584,28.0594
166,22.5124,28.0260
167,22.8897,27.9952
168,22.4427,27.9622
169,22.6103,27.9305
170,22.8271,27.9005
171,22.8346,27.8709
172,22.5480,27.8399
173,22.5803,27.8095
174,22.6338,27.7798
175,22.6010,27.7502
176,22.5862,27.7208
177,22.4601,27.6911
178,21.5899,27.6568
179,21.3809,27.6218
180,21.3310,27.5868
181,21.2520,27.5518
182,21.8656,27.5206
183,21.5356,27.4879
184,21.4724,27.4552
185,18.8326,27.4086
186,18.5672,27.3610
187,17.6029,27.3089
188,18.7643,27.2634
189,20.0842,27.2254
190,23.5359,27.2060
191,24.5261,27.1920
192,30.3398,27.2084
193,31.6203,27.2312
194,33.3757,27.2629
195,36.3263,27.3094
196,54.4039,27.4476
197,60.5318,27.6156
198,66.5724,27.8123
199,70.2059,28.0253
