Frame,MSE_KF,Avg_MSE_KF,MSE_P0,Avg_MSE_P0,MSE_P1,Avg_MSE_P1,MSE_P2,Avg_MSE_P2,MSE_P3,Avg_MSE_P3,MSE_P4,Avg_MSE_P4,MSE_P5,Avg_MSE_P5,MSE_P6,Avg_MSE_P6,MSE_P7,Avg_MSE_P7,MSE_P8,Avg_MSE_P8,MSE_P9,Avg_MSE_P9,MSE_P10,Avg_MSE_P10,MSE_P11,Avg_MSE_P11,MSE_P12,Avg_MSE_P12,MSE_P13,Avg_MSE_P13,MSE_P14,Avg_MSE_P14,MSE_P15,Avg_MSE_P15
1,9.2573,9.2573,10.9738,10.9738,10.6991,10.6991,19.9997,19.9997,12.5839,12.5839,9.0737,9.0737,9.6877,9.6877,12.1810,12.1810,10.5466,10.5466,11.7206,11.7206,12.2898,12.2898,10.4077,10.4077,17.7090,17.7090,12.3699,12.3699,9.1993,9.1993,11.3788,11.3788,12.1805,12.1805
2,9.1358,9.1965,12.0513,11.5125,12.2380,11.4686,20.4831,20.2414,12.9598,12.7719,10.3367,9.7052,10.7609,10.2243,12.7476,12.4643,12.0958,11.3212,12.7695,12.2450,12.8784,12.5841,11.1496,10.7787,18.3522,18.0306,12.7805,12.5752,10.8872,10.0432,12.4458,11.9123,12.9253,12.5529
3,7.1039,8.4990,11.6016,11.5422,11.1491,11.3621,14.4293,18.3040,12.7978,12.7805,8.2952,9.2352,8.0189,9.4892,12.6907,12.5398,10.6288,11.0904,11.6729,12.0543,12.5081,12.5587,9.6736,10.4103,12.7619,16.2744,12.7668,12.6391,9.1486,9.7450,11.6705,11.8317,11.9685,12.3581
4,17.7330,10.8075,18.8025,13.3573,20.4589,13.6363,27.4727,20.5962,17.8195,14.0403,19.0149,11.6801,21.0153,12.3707,17.9657,13.8963,23.9069,14.2945,17.6175,13.4451,18.8934,14.1424,19.9055,12.7841,25.8025,18.6564,17.7275,13.9112,20.8365,12.5179,18.1201,13.4038,18.7593,13.9584
5,17.8247,12.2109,21.7305,15.0319,25.8266,16.0743,30.6311,22.6032,21.5871,15.5496,23.6165,14.0674,23.3575,14.5680,21.6291,15.4428,28.7262,17.1809,21.6026,15.0766,21.6502,15.6440,24.2994,15.0872,28.3440,20.5939,21.6115,15.4512,23.4200,14.6983,21.6187,15.0468,21.6807,15.5029
6,17.8277,13.1471,21.9058,16.1776,25.6214,17.6655,30.1355,23.8586,20.7882,16.4227,22.9173,15.5424,22.6366,15.9128,21.0266,16.3735,28.0517,18.9927,20.9791,16.0604,21.2215,16.5735,24.1916,16.6046,27.8990,21.8115,20.9623,16.3698,22.6716,16.0272,21.2859,16.0866,21.3448,16.4765
7,18.4737,13.9080,21.8303,16.9851,25.8380,18.8330,28.8920,24.5776,20.6245,17.0230,24.9807,16.8907,24.7748,17.1788,20.7336,16.9963,27.5570,20.2162,20.7507,16.7304,20.9989,17.2057,25.5262,17.8791,27.0651,22.5620,20.7112,16.9900,24.7158,17.2684,20.9425,16.7803,21.3244,17.1691
8,19.8754,14.6539,21.7588,17.5818,25.4428,19.6592,28.6954,25.0923,22.5316,17.7116,20.7793,17.3768,20.3490,17.5751,21.7668,17.5926,28.4590,21.2465,22.1013,17.4018,21.4304,17.7338,24.2357,18.6737,28.0745,23.2510,22.1448,17.6343,20.4410,17.6650,21.6906,17.3941,21.7690,17.7441
9,9.7295,14.1068,11.1303,16.8650,12.0740,18.8164,11.5678,23.5896,9.2158,16.7676,11.4634,16.7197,11.0704,16.8523,10.9392,16.8534,11.5162,20.1654,11.2811,16.7217,9.6321,16.8336,11.6400,17.8921,11.2348,21.9159,10.2603,16.8150,11.2323,16.9502,11.1700,16.7025,10.9815,16.9927
10,15.9793,14.2940,17.6614,16.9446,23.7857,19.3134,20.7427,23.3049,17.4179,16.8326,19.7401,17.0218,18.4969,17.0168,17.7339,16.9414,21.7163,20.3205,17.7617,16.8257,17.6595,16.9162,22.2414,18.3271,19.5419,21.6785,17.6639,16.8999,18.8581,17.1410,17.6865,16.8009,17.6539,17.0588
11,17.2597,14.5636,18.1092,17.0505,23.8790,19.7284,20.8324,23.0802,18.5066,16.9848,20.0098,17.2934,18.8424,17.1828,18.1545,17.0517,21.8921,20.4633,18.1970,16.9504,18.1153,17.0252,22.5011,18.7065,19.5863,21.4883,18.0329,17.0029,19.2101,17.3291,18.1430,16.9229,18.1166,17.1550
12,17.7550,14.8296,17.7381,17.1078,23.3198,20.0277,20.2374,22.8433,18.9058,17.1449,19.5778,17.4838,18.5057,17.2930,17.8000,17.1141,21.4167,20.5428,17.8383,17.0244,17.7703,17.0873,21.9969,18.9807,19.1581,21.2941,17.7223,17.0628,18.8059,17.4522,17.7702,16.9936,17.7285,17.2027
13,17.6736,15.0484,17.7085,17.1540,23.5513,20.2987,19.8282,22.6113,18.2360,17.2288,19.7790,17.6603,17.8932,17.3392,17.9584,17.1790,21.3445,20.6045,17.8327,17.0866,17.9220,17.1515,22.1735,19.2263,18.9614,21.1147,17.9308,17.1296,18.6483,17.5442,17.7777,17.0539,17.8594,17.2533
