Frame,MSE_KF,Avg_MSE_KF
1,24.3475,24.3475
2,19.1317,21.7396
3,18.8084,20.7625
4,18.5815,20.2173
5,16.9895,19.5717
6,16.2382,19.0161
7,16.2715,18.6241
8,16.0934,18.3077
9,16.1341,18.0662
10,15.8575,17.8453
11,15.8374,17.6628
12,15.1550,17.4538
13,15.2677,17.2856
14,15.5052,17.1585
15,15.7989,17.0678
16,15.5931,16.9757
17,15.5942,16.8944
18,16.2438,16.8583
19,16.4431,16.8364
20,16.9411,16.8416
21,16.5795,16.8292
22,14.8019,16.7370
23,14.2451,16.6287
24,14.0694,16.5220
25,14.1656,16.4278
26,15.2250,16.3815
27,15.0982,16.3340
28,15.7362,16.3126
29,14.7595,16.2591
30,14.4353,16.1983
31,17.1221,16.2281
32,19.2329,16.3220
33,19.1558,16.4079
34,19.4967,16.4987
35,20.1699,16.6036
36,20.3049,16.7064
37,20.4454,16.8075
38,18.2562,16.8456
39,16.8644,16.8461
40,17.9669,16.8741
41,18.1821,16.9060
42,17.2372,16.9139
43,16.0888,16.8947
44,14.0793,16.8307
45,14.6802,16.7829
46,16.3512,16.7735
47,17.1484,16.7815
48,18.5988,16.8194
49,16.3725,16.8102
50,17.4125,16.8223
51,17.7576,16.8406
52,17.7304,16.8577
53,17.9133,16.8777
54,17.9665,16.8978
55,17.8883,16.9158
56,18.0432,16.9360
57,18.0054,16.9547
58,18.8192,16.9869
59,18.9298,17.0198
60,21.6394,17.0968
61,21.6578,17.1716
62,21.8217,17.2466
63,19.8873,17.2885
64,14.0043,17.2372
65,13.7776,17.1839
66,15.9601,17.1654
67,14.5330,17.1261
68,15.0801,17.0960
69,13.6125,17.0455
70,18.9785,17.0732
71,23.3114,17.1610
72,29.8069,17.3367
73,29.8187,17.5076
74,30.5711,17.6842
75,30.2548,17.8518
76,28.8707,17.9968
77,29.7673,18.1496
78,29.8795,18.3000
79,30.0340,18.4485
80,29.9331,18.5921
81,30.1986,18.7354
82,29.6307,18.8683
83,29.6248,18.9979
84,29.6041,19.1241
85,30.7421,19.2608
86,30.7348,19.3942
87,30.4145,19.5209
88,30.3683,19.6442
89,30.3686,19.7647
90,30.3449,19.8822
91,30.0403,19.9938
92,30.0407,20.1030
93,23.6177,20.1408
94,23.4852,20.1764
95,23.3979,20.2103
96,19.0027,20.1977
97,18.9467,20.1849
98,17.9417,20.1620
99,17.6173,20.1363
100,17.0359,20.1053
101,17.4806,20.0793
102,17.1923,20.0510
103,15.9283,20.0109
104,15.7857,19.9703
105,16.0586,19.9331
106,13.7269,19.8745
107,11.8653,19.7997
108,11.1023,19.7191
109,11.7769,19.6463
110,11.4455,19.5717
111,11.4399,19.4984
112,12.9005,19.4395
113,13.5567,19.3875
114,14.3844,19.3436
115,13.8773,19.2961
116,13.9494,19.2500
117,14.3530,19.2081
118,17.4491,19.1932
119,17.3208,19.1775
120,15.9962,19.1510
121,15.4973,19.1208
122,14.8626,19.0859
123,15.5408,19.0570
124,14.8916,19.0234
125,14.4562,18.9869
126,13.9673,18.9471
127,14.9795,18.9158
128,14.9839,18.8851
129,15.7757,18.8610
130,15.9596,18.8387
131,15.8791,18.8161
132,15.4779,18.7908
133,15.8448,18.7687
134,15.9277,18.7475
135,15.2943,18.7219
136,14.7754,18.6929
137,15.3694,18.6686
138,18.7976,18.6695
139,17.6402,18.6621
140,20.3081,18.6739
141,22.8492,18.7035
142,24.9603,18.7476
143,23.4076,18.7801
144,27.2330,18.8388
145,32.6237,18.9339
146,36.6077,19.0550
147,39.1921,19.1920
148,42.3485,19.3484
149,41.3829,19.4963
150,34.6054,19.5970
151,26.9962,19.6460
152,26.7201,19.6926
153,24.8673,19.7264
154,22.2630,19.7429
155,18.5358,19.7351
156,19.5143,19.7337
157,20.8103,19.7405
158,19.2880,19.7377
159,19.4846,19.7361
160,19.1621,19.7325
161,18.1172,19.7224
162,17.9880,19.7117
163,19.4566,19.7102
164,19.8817,19.7112
165,20.2982,19.7148
166,19.3306,19.7125
167,19.3006,19.7100
168,22.0290,19.7238
169,22.5875,19.7407
170,25.0442,19.7719
171,30.1565,19.8327
172,36.8027,19.9313
173,40.5772,20.0507
174,37.1966,20.1492
175,33.8912,20.2277
176,35.5651,20.3149
177,32.6654,20.3847
178,30.6038,20.4421
179,31.0950,20.5016
180,30.4865,20.5571
181,29.7442,20.6078
182,31.6359,20.6684
183,33.1655,20.7367
184,33.1050,20.8039
185,36.7965,20.8904
186,35.8480,20.9708
187,34.6405,21.0439
188,36.4852,21.1260
189,42.0932,21.2370
190,49.8867,21.3877
191,43.6248,21.5042
192,31.6335,21.5569
193,29.1526,21.5963
194,29.2016,21.6355
195,31.3746,21.6854
196,32.8239,21.7423
197,32.9537,21.7992
198,33.4649,21.8581
199,34.3572,21.9209
200,34.4486,21.9835
201,34.4908,22.0458
202,35.0644,22.1102
203,35.0300,22.1738
204,35.1097,22.2373
205,35.7450,22.3032
206,35.7596,22.3685
207,35.6891,22.4328
208,35.3996,22.4952
209,35.5480,22.5576
210,35.2228,22.6179
211,33.8353,22.6711
212,33.6094,22.7227
213,32.6642,22.7694
214,32.5824,22.8152
215,32.6123,22.8608
216,32.5560,22.9057
217,31.7625,22.9465
218,31.7731,22.9870
219,32.2030,23.0291
