Frame,MSE_DefMean,MSE_BestEnvelope,MSE_Ours_BayF,MSE_Ours_KF,Avg_DefMean,Avg_BestEnvelope,Avg_Ours_BayF,Avg_Ours_KF
1,54.7387,45.6468,54.7387,57.7042,54.7387,45.6468,54.7387,57.7042
2,57.5909,49.6600,57.5909,60.3757,56.1648,47.6534,56.1648,59.0399
3,57.9025,50.3604,57.9006,60.5970,56.7440,48.5557,56.7434,59.5589
4,57.9025,50.3604,57.9006,60.5964,57.0337,49.0069,57.0327,59.8183
5,55.9252,49.6086,55.9234,58.4247,56.8120,49.1272,56.8108,59.5396
6,55.9252,49.6086,55.9234,58.4243,56.6642,49.2075,56.6629,59.3537
7,59.1909,44.1287,59.1849,54.7871,57.0251,48.4819,57.0232,58.7013
8,59.7663,44.3759,59.5288,53.8872,57.3678,47.9687,57.3364,58.0996
9,58.9555,43.8628,58.5471,52.8786,57.5442,47.5125,57.4709,57.5195
10,57.1688,45.9639,55.9109,51.7613,57.5067,47.3576,57.3149,56.9436
11,53.5248,41.6780,52.1767,53.9530,57.1447,46.8413,56.8478,56.6718
12,55.4486,46.1153,55.0825,47.7983,57.0033,46.7808,56.7007,55.9323
13,57.7887,49.1012,56.9614,49.3049,57.0637,46.9593,56.7208,55.4225
14,53.6858,43.8562,53.1715,51.0148,56.8225,46.7376,56.4672,55.1077
15,50.9586,43.3762,49.4336,49.3056,56.4315,46.5135,55.9983,54.7209
16,43.3599,35.9364,42.2647,46.5975,55.6146,45.8525,55.1400,54.2132
17,40.9480,36.5092,40.0744,40.5355,54.7518,45.3029,54.2538,53.4086
18,39.6467,30.1546,38.6457,35.9047,53.9126,44.4613,53.3867,52.4362
19,33.2625,34.0062,32.4451,31.3062,52.8258,43.9110,52.2845,51.3241
20,35.7928,35.2637,35.0195,27.9282,51.9741,43.4787,51.4212,50.1543
21,54.9267,51.6418,54.6339,29.5065,52.1147,43.8674,51.5742,49.1710
22,54.9267,51.6418,54.6339,33.6060,52.2426,44.2208,51.7133,48.4635
23,55.7137,53.6556,55.2403,37.5168,52.3935,44.6310,51.8666,47.9876
24,56.0711,54.0453,55.7128,42.9637,52.5467,45.0232,52.0269,47.7783
25,53.6734,51.0094,53.7585,50.5087,52.5918,45.2627,52.0962,47.8875
26,52.9137,50.5030,53.0128,49.6229,52.6042,45.4642,52.1314,47.9542
27,54.8690,50.9801,54.3676,50.3585,52.6881,45.6685,52.2142,48.0433
28,48.8825,44.5333,48.6057,48.7850,52.5521,45.6280,52.0854,48.0698
29,53.4277,52.4902,52.9578,48.8471,52.5823,45.8646,52.1154,48.0966
30,48.1022,45.1746,47.5489,46.6776,52.4330,45.8416,51.9632,48.0493
31,47.6359,46.3217,46.8356,43.9831,52.2782,45.8571,51.7978,47.9181
32,48.6318,49.4660,47.8721,43.0829,52.1643,45.9699,51.6751,47.7670
33,47.1933,46.0081,46.2104,42.6950,52.0137,45.9710,51.5095,47.6133
34,47.5558,43.8420,46.0010,43.9975,51.8825,45.9084,51.3475,47.5070
35,45.3328,43.5157,44.0808,44.3626,51.6954,45.8400,51.1399,47.4171
36,45.7654,44.7920,44.6165,44.8939,51.5307,45.8109,50.9587,47.3470
37,43.5131,41.2047,42.3895,44.5358,51.3140,45.6864,50.7271,47.2710
38,44.1645,42.4581,43.2548,44.2274,51.1259,45.6015,50.5305,47.1909
39,42.8769,40.6657,42.6038,44.1889,50.9143,45.4749,50.3272,47.1140
40,44.2092,42.9103,43.9463,44.9933,50.7467,45.4108,50.1677,47.0610
41,44.0025,44.9333,43.6803,45.0564,50.5822,45.3992,50.0095,47.0121
42,44.5134,46.3722,44.5106,46.1710,50.4377,45.4223,49.8785,46.9920
43,44.5820,46.6372,44.9276,46.2334,50.3015,45.4506,49.7634,46.9744
44,44.6737,47.0532,45.0949,46.3260,50.1736,45.4870,49.6573,46.9597
45,45.1033,47.9715,45.5750,46.5452,50.0610,45.5422,49.5666,46.9504
46,36.9263,32.8054,37.7711,44.2948,49.7754,45.2653,49.3102,46.8927
47,36.3024,35.1387,37.8437,40.8870,49.4888,45.0499,49.0662,46.7649
48,42.0538,43.8779,42.5264,39.8931,49.3339,45.0255,48.9299,46.6218
49,40.7113,42.4247,41.6252,38.9164,49.1579,44.9724,48.7809,46.4645
50,40.4778,42.4882,41.3505,38.1718,48.9843,44.9227,48.6323,46.2987
51,26.2670,28.0696,27.9082,32.5946,48.5389,44.5922,48.2259,46.0300
52,30.4990,26.4837,31.1713,29.9196,48.1919,44.2440,47.8979,45.7201
53,26.8162,27.2179,28.1488,25.5012,47.7886,43.9228,47.5253,45.3387
54,25.6516,26.6267,26.8436,24.0381,47.3787,43.6025,47.1423,44.9442
55,24.7546,26.0444,25.5826,24.3906,46.9673,43.2832,46.7503,44.5705
56,23.6754,25.5601,24.0851,24.7453,46.5514,42.9667,46.3456,44.2165
57,23.7121,25.6604,24.1452,24.3586,46.1507,42.6631,45.9561,43.8681
58,24.3750,26.5105,24.8982,24.3691,45.7753,42.3846,45.5930,43.5319
59,22.9821,24.4869,22.9715,23.6560,45.3889,42.0813,45.2096,43.1950
60,21.6193,24.0102,22.2117,22.1402,44.9928,41.7801,44.8263,42.8441
61,24.5291,26.6599,25.5283,25.9503,44.6573,41.5322,44.5100,42.5672
62,25.1878,26.6638,25.5312,26.4178,44.3433,41.2924,44.2038,42.3067
63,23.2091,27.2439,25.8150,26.7818,44.0078,41.0694,43.9120,42.0603
64,22.5115,24.3493,24.9753,25.2986,43.6719,40.8082,43.6161,41.7984
65,26.4705,28.4179,28.0811,25.2340,43.4073,40.6175,43.3771,41.5435
66,25.7253,26.6235,27.4046,24.9956,43.1394,40.4055,43.1351,41.2928
67,28.5966,29.1770,29.2392,26.1376,42.9223,40.2379,42.9277,41.0666
68,26.2144,28.9552,30.0596,25.4463,42.6766,40.0720,42.7384,40.8369
69,27.7656,31.8360,30.7806,27.1890,42.4605,39.9526,42.5651,40.6391
70,28.6741,33.2085,31.7682,28.9441,42.2636,39.8563,42.4109,40.4720
71,30.7853,33.4727,34.8073,31.4262,42.1019,39.7664,42.3038,40.3446
72,35.2961,34.9421,38.2106,32.5283,42.0074,39.6994,42.2469,40.2361
73,33.4846,33.6392,36.2397,31.4510,41.8906,39.6164,42.1647,40.1157
74,31.9902,33.3919,35.4677,30.8365,41.7569,39.5322,42.0742,39.9903
75,30.7210,32.1635,33.5974,31.1085,41.6097,39.4340,41.9611,39.8719
76,31.5781,32.7792,34.4870,31.8726,41.4777,39.3464,41.8628,39.7666
77,31.3980,33.0629,34.7141,31.4856,41.3468,39.2648,41.7699,39.6591
78,30.5029,32.0651,33.1983,31.2033,41.2078,39.1725,41.6601,39.5507
79,30.4895,31.8836,31.3600,31.8459,41.0721,39.0803,41.5297,39.4532
80,30.6224,31.8665,30.0559,31.7876,40.9415,38.9901,41.3863,39.3573
81,27.2085,27.5679,25.2693,30.6802,40.7719,38.8491,41.1873,39.2502
82,26.8156,21.9868,25.0313,28.3685,40.6017,38.6434,40.9903,39.1175
83,24.1045,22.3557,23.6812,25.3385,40.4030,38.4472,40.7817,38.9515
84,20.3413,20.7729,18.4332,21.2854,40.1642,38.2368,40.5157,38.7412
85,21.6350,20.4187,18.3650,19.3882,39.9462,38.0272,40.2551,38.5135
86,26.7454,26.5721,24.7055,18.9097,39.7927,37.8940,40.0743,38.2856
87,26.8221,26.0997,24.7697,18.5394,39.6436,37.7584,39.8983,38.0586
88,27.9538,25.7167,26.0448,19.6495,39.5107,37.6216,39.7409,37.8494
89,28.6648,26.5503,28.3935,22.2019,39.3889,37.4972,39.6134,37.6736
90,25.5883,23.9510,23.7940,23.9558,39.2355,37.3467,39.4376,37.5212
91,26.8338,25.4438,26.2309,23.9460,39.0993,37.2159,39.2925,37.3720
92,26.0065,24.3731,25.6087,23.1680,38.9569,37.0763,39.1438,37.2176
93,26.1711,24.4625,25.7036,23.8812,38.8195,36.9406,38.9993,37.0742
94,28.6068,27.2419,28.4474,24.9560,38.7108,36.8374,38.8870,36.9453
95,28.4987,27.5403,28.2053,25.0865,38.6033,36.7396,38.7746,36.8204
96,28.5384,28.1975,28.5239,25.8408,38.4985,36.6506,38.6678,36.7061
97,29.0284,28.5755,28.4728,27.0190,38.4008,36.5674,38.5627,36.6062
98,29.8564,28.5244,28.6549,27.7418,38.3137,36.4853,38.4616,36.5157
99,29.9925,28.7274,28.8570,27.3347,38.2296,36.4069,38.3646,36.4230
