Frame,MSE_KF,Avg_MSE_KF,MSE_P0,Avg_MSE_P0,MSE_P1,Avg_MSE_P1,MSE_P2,Avg_MSE_P2,MSE_P3,Avg_MSE_P3,MSE_P4,Avg_MSE_P4,MSE_P5,Avg_MSE_P5,MSE_P6,Avg_MSE_P6,MSE_P7,Avg_MSE_P7,MSE_P8,Avg_MSE_P8,MSE_P9,Avg_MSE_P9,MSE_P10,Avg_MSE_P10,MSE_P11,Avg_MSE_P11,MSE_P12,Avg_MSE_P12,MSE_P13,Avg_MSE_P13,MSE_P14,Avg_MSE_P14,MSE_P15,Avg_MSE_P15
1,7.9505,7.9505,6.7156,6.7156,12.4738,12.4738,18.4282,18.4282,7.9023,7.9023,8.7570,8.7570,7.1009,7.1009,7.4579,7.4579,17.2413,17.2413,6.4640,6.4640,8.6433,8.6433,12.0814,12.0814,17.1444,17.1444,7.7955,7.7955,6.7035,6.7035,6.5981,6.5981,7.3904,7.3904
2,6.8451,7.3978,6.4512,6.5834,9.0100,10.7419,14.6364,16.5323,5.8684,6.8854,8.0790,8.4180,6.1750,6.6380,6.1976,6.8278,13.2084,15.2249,6.4553,6.4596,6.2662,7.4548,8.7278,10.4046,13.5642,15.3543,5.6904,6.7430,6.1913,6.4474,6.4673,6.5327,6.4862,6.9383
3,8.3128,7.7028,12.4879,8.5515,17.2751,12.9196,22.4744,18.5130,12.4857,8.7521,12.7955,9.8772,13.5388,8.9382,12.6564,8.7706,17.4197,15.9565,12.0914,8.3369,12.7867,9.2321,13.7708,11.5266,21.0076,17.2387,12.6296,8.7052,12.9855,8.6268,12.2615,8.4423,12.2693,8.7153
4,10.5565,8.4163,15.6892,10.3360,19.4870,14.5615,21.5552,19.2736,15.6947,10.4878,16.3834,11.5037,16.4170,10.8079,15.7644,10.5191,21.7163,17.3964,15.6908,10.1754,15.7395,10.8589,19.7480,13.5820,21.6362,18.3381,15.7680,10.4709,16.9106,10.6977,15.7012,10.2570,15.7018,10.4619
5,9.8011,8.6932,14.6292,11.1946,17.0620,15.0616,25.1905,20.4569,14.3200,11.2542,16.6978,12.5426,16.5559,11.9575,14.3065,11.2766,21.6665,18.2504,14.2944,10.9992,14.2961,11.5464,18.3740,14.5404,24.5427,19.5790,14.3147,11.2396,16.3166,11.8215,14.2796,11.0615,14.2823,11.2260
6,11.5754,9.1736,14.4461,11.7365,19.7267,15.8391,25.9719,21.3761,13.3224,11.5989,15.1739,12.9811,15.0549,12.4737,13.8348,11.7029,22.8860,19.0230,14.5137,11.5849,13.5159,11.8746,17.9471,15.1082,25.1344,20.5049,13.3310,11.5882,15.0302,12.3563,14.4025,11.6184,14.1331,11.7105
7,16.1907,10.1760,18.5746,12.7134,20.5120,16.5066,26.1666,22.0605,15.4822,12.1537,18.6397,13.7895,18.8627,13.3865,18.3371,12.6507,25.1714,19.9014,18.5836,12.5847,18.5067,12.8221,20.2793,15.8469,24.3289,21.0512,16.8511,12.3401,19.8117,13.4213,18.5979,12.6154,18.5247,12.6840
8,13.6788,10.6139,18.1930,13.3983,15.9646,16.4389,19.7231,21.7683,15.8480,12.6155,15.0233,13.9437,18.9620,14.0834,17.2252,13.2225,18.2917,19.7001,17.2894,13.1728,17.9975,13.4690,15.8101,15.8423,18.5685,20.7409,16.4312,12.8514,17.2424,13.8990,17.9373,13.2807,18.1461,13.3667
9,16.1231,11.2260,20.4636,14.1834,19.2758,16.7541,23.2195,21.9295,19.4548,13.3754,20.5094,14.6732,21.6910,14.9287,19.1194,13.8777,21.2460,19.8719,19.6154,13.8887,19.5855,14.1486,20.3099,16.3387,22.9101,20.9819,19.1193,13.5479,20.7398,14.6591,20.3657,14.0679,20.2738,14.1342
10,19.8316,12.0866,22.6755,15.0326,24.9251,17.5712,25.4956,22.2861,23.2294,14.3608,24.0328,15.6092,22.6296,15.6988,22.8348,14.7734,25.3131,20.4160,22.7346,14.7732,22.7426,15.0080,25.4562,17.2504,25.8080,21.4645,23.0842,14.5015,22.6013,15.4533,22.6714,14.9282,22.6907,14.9898
11,17.9747,12.6219,21.0473,15.5794,22.7344,18.0406,25.9236,22.6168,21.2554,14.9876,20.1113,16.0185,22.6790,16.3333,21.0258,15.3418,25.2424,20.8548,20.7599,15.3175,21.1249,15.5641,21.1320,17.6033,24.7528,21.7634,21.3398,15.1232,23.1171,16.1500,21.0661,15.4862,21.0976,15.5451
12,15.7168,12.8798,21.6799,16.0878,22.0236,18.3725,22.1885,22.5811,23.3747,15.6865,21.6695,16.4894,21.5607,16.7689,22.7786,15.9615,21.8234,20.9355,22.2945,15.8989,22.6091,16.1512,22.1565,17.9828,21.7832,21.7651,23.1934,15.7957,21.7048,16.6129,22.0085,16.0297,22.5275,16.1270
13,17.5678,13.2404,18.2571,16.2546,18.7257,18.3997,22.7800,22.5964,17.6691,15.8390,20.4702,16.7956,19.1947,16.9555,17.5870,16.0866,21.7120,20.9952,17.8770,16.0511,17.9775,16.2916,19.7265,18.1169,22.4280,21.8161,17.6617,15.9392,19.8623,16.8628,18.1185,16.1904,18.0288,16.2733
14,19.3426,13.6763,18.9726,16.4488,22.7867,18.7130,21.2531,22.5005,15.7231,15.8307,19.9438,17.0205,19.5631,17.1418,18.4421,16.2548,22.1324,21.0765,18.1310,16.1996,18.4922,16.4488,21.3363,18.3468,20.3008,21.7078,17.5494,16.0542,19.6337,17.0608,18.6686,16.3674,18.6030,16.4397
