Frame,MSE_DefMean,MSE_BestEnvelope,MSE_Ours_BayF,MSE_Ours_KF
1,49.7051,41.0502,49.7051,52.5751
2,52.2655,42.6553,52.2655,55.3986
3,55.6726,47.0712,55.6726,58.5422
4,56.8255,50.2891,56.8245,59.3415
5,59.7090,42.4911,59.7201,56.0369
6,60.8403,51.9083,60.7470,51.4715
7,54.1298,46.9064,53.6212,48.4065
8,49.5771,43.5908,48.8887,49.7445
9,48.8565,39.2230,47.5947,50.4113
10,43.7283,40.6041,42.8408,47.8987
11,45.6475,46.6165,44.8418,45.5395
12,41.1932,42.1185,40.5186,43.2613
13,42.7248,42.7227,42.4716,42.8807
14,41.4374,37.1974,41.3706,42.7692
15,44.3118,37.1250,44.1262,42.3149
16,43.4429,40.8217,43.5282,41.0295
17,39.3444,35.2281,38.7736,39.5836
18,37.2410,26.9231,35.1589,35.7458
19,36.2681,29.0217,34.8509,35.1958
20,37.9679,29.0896,36.6078,34.8348
21,38.2473,24.6479,37.0681,36.9556
22,34.5332,25.6275,33.1184,41.0751
23,37.8070,25.2052,37.2712,43.6339
24,40.1666,30.4376,39.8041,43.8391
25,41.0335,30.0810,40.5851,43.7411
26,40.5739,29.4881,40.0800,42.3762
27,27.8891,26.3050,27.1414,37.4870
28,27.2000,23.0691,26.7555,31.0579
29,36.4373,34.6978,36.7587,27.2361
30,27.6109,22.9640,26.5400,21.9031
31,26.7502,26.6550,25.7318,19.1901
32,24.1515,26.1063,23.8624,18.0626
33,33.8504,35.0398,33.9218,32.5047
34,34.2840,35.8521,33.7913,34.1402
35,33.1299,33.6139,32.9414,34.8571
36,34.7871,36.3157,33.1256,34.3715
37,31.9940,34.7027,32.6092,35.3328
38,33.3099,36.4071,33.9176,34.3683
39,32.4647,33.6951,34.4950,34.8179
40,36.5475,38.1123,37.6666,34.9997
41,42.4188,44.5037,43.3155,36.4307
42,39.2566,41.4866,39.9318,35.8218
43,36.5100,38.2738,37.3182,34.7679
44,36.7026,39.5499,38.4641,34.1056
45,30.6011,36.1521,29.4670,33.8304
46,26.0500,28.6994,24.6229,31.4354
47,26.7658,25.2244,25.4988,29.4545
48,21.2431,21.9597,20.1614,26.5501
49,22.0625,22.4064,20.6241,24.7552
50,21.9915,22.2798,20.4205,23.5244
51,22.0396,22.3353,20.4008,23.8500
52,22.2945,22.5555,20.6409,23.8822
53,22.7237,22.7480,20.9629,24.0633
54,22.0457,22.8410,20.3545,23.5803
55,22.0929,23.5302,20.4295,24.1863
56,23.4429,26.7457,21.2885,24.1569
57,30.6453,29.1112,30.6714,24.7902
58,24.1987,26.1536,25.2392,20.8113
59,23.9096,25.0208,23.8828,21.7104
60,18.8505,19.4992,19.2717,20.7382
61,25.2360,26.7101,25.8963,23.1829
62,26.3472,26.0643,26.3768,24.6961
63,26.3148,25.9131,27.3109,26.7651
64,25.9938,27.0814,28.0931,26.2123
65,22.1774,20.5670,21.5846,26.9121
66,20.8501,20.3721,21.0613,25.4441
67,19.2993,20.0947,19.0640,23.8600
68,26.2269,23.9483,24.7850,26.1618
69,35.9707,30.3947,34.5634,33.1172
70,45.6961,38.4020,42.8604,39.8696
71,43.7345,36.5364,41.4711,39.6868
72,44.6576,42.4932,43.9046,40.1057
73,44.9732,42.9217,44.4567,42.0523
74,60.9311,54.6900,58.8783,50.5260
75,61.7025,47.5895,58.9610,55.8699
76,60.3353,48.5726,57.6221,56.3834
77,57.3310,52.4629,56.1222,55.5986
78,53.1706,50.9831,52.1463,54.6928
79,59.0883,56.4038,56.9901,52.5763
80,57.0943,55.3788,55.8404,52.5653
81,57.0421,55.1587,55.8078,54.8576
82,55.9614,53.2541,54.8333,55.0303
83,56.1698,54.7669,54.4552,55.2219
84,68.4168,60.9469,66.4784,54.3242
85,53.0777,48.9466,51.9019,53.1975
86,54.0107,51.9334,53.1999,52.2836
87,59.5489,59.0752,58.7837,50.8273
88,52.4600,51.1758,51.1933,50.1048
89,44.9559,41.0534,43.1388,45.3389
90,50.5526,42.7672,46.8158,46.1955
91,50.9341,43.5761,49.8163,45.2091
92,46.6684,36.6760,47.4295,45.3158
93,51.7979,40.6975,50.5139,45.3591
94,68.0620,56.9023,63.2784,57.5041
95,79.4113,63.6608,71.6566,66.7023
96,43.2473,49.1918,47.7511,42.6113
97,21.7207,11.7008,11.6676,30.6444
98,24.3325,12.5468,15.5989,23.7114
99,24.2085,13.7456,16.6152,21.1753
100,27.3895,16.1218,17.6886,18.9223
101,27.3777,16.3979,16.8875,18.1849
102,28.7432,17.0555,17.6058,20.7117
103,30.9794,17.4743,18.7027,21.3633
104,29.6144,17.5386,18.4725,21.4220
105,28.2359,17.0031,17.6633,21.1356
106,28.7495,18.2851,18.0972,21.5686
107,34.4294,17.8205,20.0842,22.0671
108,33.5291,19.0924,21.1868,22.3728
109,33.4433,19.6914,21.4883,23.4534
