Frame,MSE_KF,Avg_MSE_KF,MSE_P0,Avg_MSE_P0,MSE_P1,Avg_MSE_P1,MSE_P2,Avg_MSE_P2,MSE_P3,Avg_MSE_P3,MSE_P4,Avg_MSE_P4,MSE_P5,Avg_MSE_P5,MSE_P6,Avg_MSE_P6,MSE_P7,Avg_MSE_P7,MSE_P8,Avg_MSE_P8,MSE_P9,Avg_MSE_P9,MSE_P10,Avg_MSE_P10,MSE_P11,Avg_MSE_P11,MSE_P12,Avg_MSE_P12,MSE_P13,Avg_MSE_P13,MSE_P14,Avg_MSE_P14,MSE_P15,Avg_MSE_P15
1,11.8448,11.8448,15.0886,15.0886,15.1957,15.1957,29.1458,29.1458,14.8740,14.8740,14.3009,14.3009,14.2856,14.2856,14.8322,14.8322,16.4362,16.4362,14.9566,14.9566,14.8189,14.8189,15.9895,15.9895,26.9346,26.9346,14.9880,14.9880,14.6261,14.6261,14.4555,14.4555,14.7772,14.7772
2,11.0607,11.4528,11.9475,13.5180,16.2893,15.7425,24.8128,26.9793,13.9902,14.4321,15.4263,14.8636,15.4934,14.8895,14.2716,14.5519,20.9279,18.6821,13.1425,14.0495,14.3680,14.5934,15.3316,15.6606,24.1583,25.5465,14.1391,14.5636,13.7159,14.1710,12.8078,13.6317,14.1709,14.4741
3,10.6583,11.1879,14.3626,13.7995,16.5962,16.0270,25.9451,26.6346,14.1687,14.3443,16.1147,15.2806,16.3369,15.3719,14.2715,14.4584,20.0003,19.1215,14.1468,14.0820,14.2610,14.4826,16.8801,16.0671,23.9859,25.0263,14.0487,14.3919,15.5486,14.6302,14.2096,13.8243,14.1342,14.3608
4,10.4281,10.9980,14.2443,13.9107,17.7295,16.4526,28.2190,27.0307,14.6468,14.4199,15.8620,15.4260,16.2290,15.5862,13.6199,14.2488,20.5817,19.4865,13.7636,14.0024,13.6459,14.2734,16.7930,16.2486,28.0265,25.7763,13.9641,14.2850,16.2763,15.0417,14.0145,13.8718,13.7965,14.2197
5,10.9349,10.9854,14.7457,14.0777,18.3136,16.8248,31.4374,27.9120,14.4347,14.4229,15.9807,15.5369,16.9226,15.8535,14.6891,14.3369,22.2412,20.0375,14.6894,14.1398,14.6891,14.3566,18.9869,16.7962,31.3227,26.8856,14.6060,14.3492,15.1804,15.0695,14.6935,14.0362,14.6891,14.3136
6,10.4854,10.9020,14.9333,14.2203,20.9112,17.5059,34.1084,28.9447,14.5015,14.4360,18.9544,16.1065,18.1736,16.2402,14.9330,14.4362,22.8946,20.5137,14.9346,14.2722,14.9292,14.4520,20.9698,17.4918,32.3650,27.7989,14.8230,14.4281,16.9474,15.3825,14.9339,14.1858,14.9342,14.4170
7,11.8539,11.0380,16.8602,14.5974,21.6657,18.1002,32.3477,29.4309,15.3430,14.5655,20.0808,16.6743,18.6723,16.5876,15.5090,14.5895,24.3650,21.0638,16.7053,14.6198,16.7147,14.7753,21.9545,18.1293,28.8286,27.9460,15.2771,14.5494,19.3096,15.9435,16.7685,14.5548,16.7084,14.7444
8,27.9579,13.1530,28.0179,16.2750,27.3438,19.2556,28.0082,29.2531,29.0976,16.3821,28.1937,18.1142,27.7268,17.9800,28.7533,16.3599,27.5838,21.8788,28.4559,16.3493,28.3943,16.4776,27.7303,19.3295,27.7879,27.9262,29.0099,16.3570,27.8227,17.4284,28.1853,16.2586,28.0950,16.4132
9,21.3830,14.0674,20.0867,16.6985,22.7245,19.6411,22.9064,28.5479,20.4387,16.8328,21.2131,18.4585,19.9349,18.1972,20.2740,16.7948,21.9262,21.8841,20.2474,16.7825,20.1453,16.8852,21.3387,19.5527,21.1227,27.1703,20.3030,16.7954,20.0466,17.7193,20.1668,16.6928,20.1401,16.8273
10,20.4761,14.7083,20.9297,17.1216,22.7661,19.9536,22.2863,27.9217,21.5439,17.3039,21.9869,18.8114,20.8408,18.4616,21.2097,17.2363,22.1143,21.9071,21.1191,17.2161,21.0374,17.3004,22.4314,19.8406,21.0881,26.5620,21.3664,17.2525,20.8827,18.0356,20.9954,17.1231,20.9930,17.2439
11,9.9210,14.2731,9.9264,16.4675,14.4534,19.4535,17.5259,26.9766,10.5989,16.6944,9.2624,17.9433,11.2304,17.8042,10.0456,16.5826,17.3167,21.4898,9.9345,16.5541,10.1140,16.6471,11.7261,19.1029,17.3548,25.7250,10.2418,16.6152,11.1447,17.4092,9.9278,16.4690,10.0043,16.5857
12,10.2109,13.9346,9.1699,15.8594,14.0806,19.0058,18.9836,26.3106,11.3186,16.2464,9.1054,17.2068,8.5612,17.0340,10.8645,16.1061,14.1091,20.8747,10.5482,16.0537,10.7828,16.1584,11.8326,18.4970,15.0284,24.8336,11.1144,16.1568,8.2483,16.6458,9.9388,15.9248,10.4246,16.0723
13,8.0541,13.4822,5.5526,15.0666,7.0138,18.0833,19.1722,25.7615,7.7868,15.5956,5.8999,16.3370,9.2960,16.4387,7.2548,15.4252,14.7487,20.4035,6.1511,15.2919,7.2282,15.4715,6.3893,17.5657,16.5736,24.1982,7.5403,15.4940,8.0284,15.9829,5.7110,15.1391,6.5975,15.3435
14,7.3374,13.0433,19.3935,15.3756,16.6464,17.9807,26.7929,25.8351,15.3366,15.5771,17.3598,16.4101,17.5906,16.5210,18.6101,15.6527,24.5843,20.7021,19.3874,15.5845,18.2099,15.6671,18.2222,17.6126,24.2041,24.1987,17.7063,15.6520,16.4760,16.0181,19.6097,15.4584,18.5852,15.5750
15,9.2182,12.7883,15.0793,15.3559,15.1435,17.7915,25.4229,25.8076,11.6642,15.3163,13.6714,16.2275,17.0891,16.5589,14.9763,15.6076,24.6501,20.9653,15.0781,15.5507,15.0772,15.6277,14.5121,17.4059,24.7611,24.2362,13.6554,15.5189,14.3889,15.9095,15.0789,15.4331,15.0794,15.5420
16,10.9972,12.6764,12.6237,15.1851,20.8705,17.9840,27.4068,25.9076,11.2087,15.0596,17.2016,16.2884,17.6866,16.6294,11.7362,15.3657,26.6714,21.3220,13.3421,15.4127,11.7003,15.3823,22.6234,17.7320,24.9507,24.2808,11.2003,15.2490,15.8790,15.9076,12.9407,15.2774,13.6288,15.4224
17,10.7615,12.5637,15.6648,15.2133,12.4475,17.6583,31.5212,26.2378,13.2167,14.9512,15.1572,16.2218,17.8226,16.6995,14.4660,15.3127,29.5838,21.8079,14.7573,15.3741,15.3524,15.3805,14.0413,17.5149,29.3480,24.5789,13.6184,15.1531,17.2128,15.9844,15.2616,15.2764,15.5424,15.4295
18,17.5119,12.8386,30.6180,16.0691,33.4568,18.5360,31.2879,26.5184,26.2921,15.5812,33.7668,17.1966,33.2252,17.6176,27.2184,15.9742,33.2023,22.4410,29.3106,16.1484,27.6268,16.0609,34.0865,18.4355,32.1709,25.0007,26.7125,15.7953,33.3992,16.9519,29.7728,16.0818,29.5015,16.2112
19,18.5581,13.1397,23.6346,16.4673,24.9870,18.8755,26.2927,26.5065,24.5019,16.0507,26.3193,17.6767,23.7045,17.9380,23.5196,16.3713,25.7649,22.6159,23.2179,16.5204,23.2617,16.4399,25.4831,18.8064,25.8404,25.0449,24.4426,16.2504,24.7169,17.3605,23.2548,16.4593,23.0364,16.5705
20,19.9061,13.4780,20.9372,16.6908,24.7153,19.1675,24.8763,26.4250,20.1064,16.2535,23.3745,17.9616,22.5239,18.1673,19.7841,16.5419,24.4112,22.7057,19.7596,16.6824,19.9093,16.6133,24.1026,19.0713,24.0417,24.9947,19.9117,16.4334,24.7509,17.7301,19.7494,16.6238,20.1790,16.7509
21,24.0271,13.9803,26.5019,17.1580,29.2896,19.6495,29.2697,26.5604,26.6039,16.7464,27.4864,18.4152,26.7027,18.5737,25.9371,16.9893,29.7194,23.0397,26.5185,17.1508,25.8680,17.0540,28.4511,19.5179,27.7411,25.1255,26.4202,16.9090,26.8885,18.1662,26.5609,17.0970,26.2114,17.2014
22,24.4038,14.4541,28.0398,17.6526,30.6318,20.1487,30.5880,26.7435,28.1286,17.2637,29.0580,18.8989,28.1485,19.0090,28.0715,17.4931,30.4771,23.3777,28.1238,17.6496,27.8247,17.5436,29.8800,19.9889,29.1207,25.3071,28.1197,17.4186,28.6862,18.6444,27.9712,17.5913,27.8063,17.6834
23,24.9461,14.9103,27.6478,18.0872,29.8129,20.5689,30.0496,26.8873,27.7121,17.7180,27.9791,19.2937,26.9906,19.3560,27.8997,17.9455,30.0758,23.6689,27.9862,18.0990,27.8964,17.9937,29.2260,20.3905,28.3926,25.4412,27.8061,17.8702,27.8073,19.0428,27.7549,18.0332,27.8764,18.1266
24,25.5193,15.3523,27.5240,18.4804,29.8927,20.9574,29.4922,26.9958,27.3022,18.1174,28.0180,19.6572,27.2149,19.6834,27.4486,18.3415,29.4945,23.9117,27.6160,18.4955,27.3749,18.3846,29.4109,20.7664,28.5791,25.5720,27.3678,18.2659,27.5560,19.3975,27.5096,18.4280,27.3917,18.5127
25,24.0567,15.7005,25.3180,18.7539,28.8383,21.2726,30.2441,27.1257,23.2249,18.3217,25.1767,19.8780,25.7838,19.9275,24.2786,18.5790,27.4930,24.0549,24.6165,18.7404,24.9255,18.6462,27.8780,21.0508,28.3760,25.6841,23.4302,18.4725,25.6773,19.6487,25.2756,18.7019,25.2548,18.7823
26,22.6763,15.9688,25.3063,19.0059,28.7430,21.5599,30.1484,27.2420,23.7277,18.5296,25.2523,20.0847,26.2577,20.1709,24.2133,18.7957,28.2197,24.2151,24.6145,18.9663,24.2001,18.8599,27.6869,21.3061,28.6434,25.7980,23.8939,18.6810,25.7807,19.8845,24.9022,18.9404,24.7714,19.0127
27,21.4162,16.1706,24.8273,19.2215,28.3183,21.8103,29.3239,27.3191,23.8116,18.7252,23.9438,20.2276,25.3996,20.3646,24.3927,19.0030,28.3005,24.3664,24.5873,19.1745,24.8012,19.0799,27.6152,21.5397,27.9963,25.8794,24.2045,18.8856,24.9244,20.0712,24.7236,19.1546,24.8814,19.2300
28,2.3703,15.6777,2.3997,18.6208,2.3563,21.1155,2.4287,26.4302,2.3178,18.1392,2.3817,19.5903,2.4281,19.7240,2.3845,18.4095,2.4114,23.5823,2.3673,18.5742,2.4153,18.4847,2.3655,20.8550,2.4287,25.0419,2.3576,18.2953,2.4046,19.4402,2.3887,18.5558,2.4070,18.6292
29,8.7718,15.4396,10.2166,18.3310,18.2316,21.0160,31.8147,26.6158,10.2638,17.8677,11.2782,19.3037,11.5849,19.4433,10.4840,18.1362,22.8073,23.5556,9.7255,18.2691,10.3397,18.2039,15.8415,20.6821,31.7042,25.2716,10.5975,18.0299,10.1413,19.1196,9.8796,18.2566,10.1432,18.3366
30,8.4997,15.2082,21.8908,18.4496,25.8293,21.1765,33.5844,26.8481,20.6500,17.9604,22.2834,19.4030,18.8242,19.4227,21.0649,18.2338,20.7707,23.4628,21.5571,18.3787,20.9129,18.2942,25.7444,20.8508,31.6443,25.4840,20.8354,18.1234,20.6718,19.1713,21.8091,18.3751,21.1402,18.4301
31,9.1528,15.0129,21.7025,18.5546,25.1297,21.3040,33.3234,27.0570,20.3502,18.0375,22.8632,19.5146,20.7292,19.4648,20.9861,18.3226,20.9619,23.3821,21.6350,18.4837,20.7014,18.3718,25.6926,21.0070,31.6019,25.6814,20.5636,18.2021,21.0659,19.2324,21.9114,18.4891,21.1264,18.5170
32,10.9824,14.8869,20.1649,18.6049,21.0351,21.2956,31.7108,27.2024,19.6525,18.0880,21.1409,19.5654,17.9231,19.4167,19.7613,18.3675,22.0094,23.3392,19.8414,18.5262,20.1416,18.4271,21.6959,21.0285,31.1419,25.8520,19.7752,18.2513,20.9136,19.2850,20.1251,18.5403,20.0583,18.5652
33,12.7797,14.8231,17.6150,18.5749,22.3036,21.3261,33.9701,27.4075,15.0650,17.9964,21.7680,19.6322,18.0397,19.3749,16.7423,18.3183,25.2221,23.3963,17.3451,18.4904,17.0319,18.3849,23.5497,21.1049,34.4816,26.1135,16.3635,18.1941,18.4994,19.2612,17.5703,18.5109,17.4945,18.5327
34,14.1923,14.8045,14.3209,18.4498,18.3640,21.2390,29.7198,27.4755,14.3618,17.8895,17.9135,19.5816,16.5345,19.2914,14.3630,18.2020,24.6485,23.4331,14.4571,18.3717,14.2929,18.2645,18.5817,21.0307,27.4101,26.1516,14.3652,18.0815,15.5417,19.1518,14.3570,18.3887,14.3071,18.4085
35,23.2946,15.0471,23.9771,18.6077,30.7287,21.5102,30.8301,27.5714,21.2846,17.9865,25.7401,19.7576,25.5786,19.4710,23.8898,18.3645,29.4038,23.6037,23.5041,18.5184,23.7523,18.4213,28.8879,21.2552,26.8689,26.1721,22.9341,18.2201,24.8295,19.3140,23.7634,18.5423,23.6052,18.5569
36,20.4929,15.1984,20.3162,18.6551,23.8867,21.5762,30.3369,27.6482,18.4799,18.0002,21.7735,19.8136,24.1032,19.5997,19.5000,18.3960,26.4790,23.6835,19.5751,18.5477,20.2502,18.4721,23.3532,21.3135,28.6253,26.2403,18.4877,18.2275,21.5951,19.3774,19.9711,18.5819,20.2032,18.6027
37,20.8070,15.3500,22.3893,18.7561,25.4923,21.6820,31.5630,27.7540,21.5833,18.0970,23.2276,19.9058,25.3237,19.7544,22.2294,18.4996,27.9290,23.7983,22.0439,18.6422,22.4790,18.5804,24.8061,21.4079,30.1469,26.3459,21.8909,18.3265,22.9216,19.4731,22.2027,18.6798,22.4288,18.7061
38,15.9640,15.3661,19.2068,18.7679,15.2144,21.5118,21.6560,27.5935,19.4935,18.1338,17.0602,19.8310,22.1465,19.8174,18.6768,18.5043,17.5432,23.6337,18.1341,18.6289,20.5130,18.6313,16.1025,21.2683,22.0454,26.2327,18.7055,18.3365,19.5801,19.4760,18.3950,18.6723,19.7148,18.7326
39,19.1216,15.4624,20.9030,18.8227,25.4962,21.6140,25.4594,27.5388,22.1942,18.2379,25.4909,19.9761,23.6844,19.9165,22.3445,18.6027,25.4628,23.6806,21.0573,18.6911,22.3624,18.7269,24.7947,21.3587,25.1779,26.2057,22.2353,18.4365,24.2984,19.5996,20.9651,18.7311,21.2576,18.7974
40,19.3524,15.5597,20.9030,18.8747,25.4962,21.7110,25.4594,27.4868,22.1942,18.3368,25.4909,20.1140,23.6844,20.0107,22.3445,18.6963,25.4628,23.7251,21.0573,18.7503,22.3624,18.8178,24.7947,21.4446,25.1779,26.1800,22.2353,18.5315,24.2984,19.7171,20.9651,18.7869,21.2576,18.8589
41,18.5904,15.6336,20.3564,18.9108,23.5855,21.7567,24.5631,27.4155,21.6547,18.4177,24.3071,20.2162,23.0007,20.0836,21.7602,18.7710,24.9117,23.7541,20.5203,18.7934,21.8507,18.8918,23.5791,21.4967,24.6308,26.1422,21.6581,18.6077,23.0677,19.7988,20.4209,18.8268,20.6242,18.9019
42,20.0355,15.7384,20.5097,18.9489,28.1813,21.9097,24.7106,27.3511,22.4435,18.5136,23.7477,20.3003,23.8492,20.1733,18.4456,18.7633,26.3558,23.8160,19.3057,18.8056,19.4696,18.9055,27.3799,21.6367,24.2695,26.0976,22.0723,18.6902,23.7440,19.8927,19.6521,18.8464,19.5276,18.9168
43,17.8602,15.7877,20.6746,18.9890,24.1141,21.9610,24.8445,27.2928,20.1641,18.5520,19.3856,20.2790,18.3727,20.1314,20.5716,18.8053,23.9299,23.8187,20.7502,18.8509,20.4978,18.9426,24.1294,21.6947,23.8001,26.0442,21.1600,18.7476,18.1870,19.8531,20.7194,18.8900,20.5039,18.9537
44,16.8663,15.8122,21.8358,19.0537,25.8506,22.0494,23.4811,27.2062,21.5738,18.6206,21.9168,20.3163,20.0760,20.1302,21.8699,18.8750,25.2143,23.8504,22.1473,18.9258,21.6179,19.0034,25.7329,21.7865,23.2306,25.9802,22.1074,18.8240,20.1116,19.8589,22.0854,18.9626,21.7806,19.0180
