Frame,MSE_DefMean,MSE_BestEnvelope,MSE_Ours_BayF,MSE_Ours_KF
1,52.4255,41.1159,52.4255,56.7859
2,52.4255,40.9084,50.4608,56.6539
3,52.0514,40.3307,50.0337,56.3116
4,52.0129,40.3211,50.0053,56.3084
5,51.3990,41.8790,49.3774,54.8211
6,46.0687,39.5168,46.5558,52.7199
7,49.2511,40.8448,49.3278,50.0808
8,52.3456,43.1037,51.9148,50.3844
9,50.1052,38.3789,49.9175,51.5710
10,46.5177,35.6321,47.2600,51.4622
11,45.9337,35.1807,42.9563,48.6322
12,45.8001,34.8434,43.4043,44.0371
13,51.4535,34.5548,49.5318,40.7896
14,56.6686,37.1069,55.1733,36.1001
15,58.9422,39.9824,55.2928,37.2377
16,61.9808,44.3369,59.7643,42.0885
17,67.9245,54.5379,63.9252,48.8029
18,62.8917,53.9094,60.0640,50.8210
19,55.7601,39.7903,51.3101,49.6013
20,55.0679,41.9809,51.2100,50.9735
21,55.1494,45.0115,51.8529,50.1254
22,50.2110,35.2835,49.3316,47.6074
23,51.8284,36.0814,49.8628,45.3600
24,57.3491,42.3464,53.1331,46.7899
25,53.5865,30.7126,48.4529,44.2726
26,40.5285,24.4216,33.8866,33.1747
27,37.3687,24.8086,33.1761,28.5667
28,34.6245,24.2475,30.4113,24.7502
29,35.1543,22.7646,31.0145,23.1302
30,30.0513,20.7953,27.6216,22.9873
31,30.0113,23.9647,29.0886,23.9992
32,37.1813,28.2584,32.9128,30.3389
33,35.1008,32.8905,34.8922,32.8586
34,38.8316,36.5153,38.5874,35.9520
35,39.6543,37.1710,38.8709,36.1466
36,39.5829,36.9612,38.6481,36.1639
37,39.3335,36.6184,38.9490,36.1057
38,39.2429,36.4446,38.7525,35.9913
39,37.4055,34.0039,36.5754,35.9955
40,38.3288,34.7861,38.6572,35.7743
41,40.5535,35.0832,38.5430,35.9923
42,62.2052,61.5335,62.2276,36.3212
43,45.3265,45.8813,48.1401,37.4851
44,48.7916,49.3804,50.2629,40.2566
45,51.3659,47.6361,50.4560,40.0408
46,44.7814,41.3923,43.5384,40.5893
47,40.9892,38.3352,39.8489,39.1763
48,42.5397,39.9566,41.2035,40.9111
49,44.7816,41.7295,43.3751,44.0202
50,44.0803,40.7039,42.3223,43.6610
51,46.0544,42.2192,44.0830,45.9903
52,45.0088,40.0667,42.9041,46.6593
53,45.5018,41.7839,44.3295,46.1246
54,36.3023,32.6792,34.9403,35.7864
