Frame,MSE_KF,Avg_MSE_KF,MSE_P0,Avg_MSE_P0,MSE_P1,Avg_MSE_P1,MSE_P2,Avg_MSE_P2,MSE_P3,Avg_MSE_P3,MSE_P4,Avg_MSE_P4,MSE_P5,Avg_MSE_P5,MSE_P6,Avg_MSE_P6,MSE_P7,Avg_MSE_P7,MSE_P8,Avg_MSE_P8,MSE_P9,Avg_MSE_P9,MSE_P10,Avg_MSE_P10,MSE_P11,Avg_MSE_P11,MSE_P12,Avg_MSE_P12,MSE_P13,Avg_MSE_P13,MSE_P14,Avg_MSE_P14,MSE_P15,Avg_MSE_P15
1,11.1035,11.1035,11.8494,11.8494,12.2684,12.2684,12.8954,12.8954,12.7727,12.7727,11.5587,11.5587,11.9603,11.9603,12.0285,12.0285,10.5889,10.5889,11.7120,11.7120,12.1916,12.1916,12.1906,12.1906,12.0319,12.0319,12.3936,12.3936,11.7427,11.7427,11.7767,11.7767,11.9632,11.9632
2,8.3240,9.7137,8.9569,10.4031,13.9126,13.0905,16.5193,14.7073,9.6276,11.2001,9.9679,10.7633,9.2754,10.6179,8.9646,10.4966,16.1661,13.3775,8.7328,10.2224,8.8031,10.4973,12.5729,12.3817,11.9986,12.0153,9.2852,10.8394,9.4601,10.6014,8.4105,10.0936,8.1273,10.0452
3,5.9276,8.4517,7.8357,9.5473,9.6538,11.9449,15.7980,15.0709,8.5289,10.3097,5.8754,9.1340,7.2329,9.4895,8.3006,9.7646,13.0572,13.2707,7.7997,9.4148,8.0215,9.6721,8.1562,10.9732,10.1992,11.4099,8.4557,10.0448,5.9974,9.0667,7.9122,9.3664,7.6629,9.2511
4,4.8289,7.5460,7.9627,9.1512,20.3577,14.0481,18.1021,15.8287,8.1839,9.7783,11.4348,9.7092,11.0448,9.8784,8.3730,9.4167,17.8599,14.4180,7.8494,9.0235,9.4804,9.6241,13.8407,11.6901,16.1863,12.6040,8.1839,9.5796,10.3108,9.3777,7.8232,8.9806,8.1647,8.9795
5,8.0561,7.6480,14.7227,10.2655,24.2632,16.0911,21.8407,17.0311,12.4861,10.3198,17.8997,11.3473,17.9144,11.4856,13.4463,10.2226,21.9947,15.9333,14.3302,10.0848,14.0117,10.5017,22.7359,13.8993,22.7418,14.6316,12.5738,10.1785,18.1544,11.1331,14.5387,10.0922,14.4518,10.0740
6,11.0778,8.2196,14.4855,10.9688,23.4701,17.3209,24.7945,18.3250,13.5950,10.8657,19.1438,12.6467,17.3445,12.4620,13.6307,10.7906,25.5203,17.5312,14.2525,10.7794,13.6192,11.0212,22.4884,15.3308,22.1214,15.8799,13.6075,10.7500,17.5638,12.2049,14.3567,10.8030,13.7966,10.6944
7,20.6075,9.9893,26.1848,13.1425,29.3016,19.0325,30.8058,20.1080,24.5090,12.8147,29.7597,15.0914,28.4500,14.7460,25.0062,12.8214,29.9059,19.2990,25.3052,12.8545,25.1493,13.0395,29.3000,17.3264,30.5240,17.9719,24.8905,12.7700,28.6061,14.5479,25.8069,12.9464,25.5817,12.8212
8,21.7333,11.4573,26.1866,14.7730,29.4415,20.3336,29.0040,21.2200,24.4690,14.2715,27.9549,16.6994,27.0450,16.2834,24.9485,14.3373,28.3149,20.4260,25.5545,14.4420,25.3325,14.5762,28.7883,18.7591,28.5303,19.2917,24.6087,14.2499,27.3627,16.1497,25.8984,14.5654,25.7657,14.4392
9,22.4158,12.6749,23.4437,15.7364,26.3827,21.0057,27.9402,21.9667,22.7356,15.2120,25.4928,17.6764,26.7399,17.4453,22.6032,15.2557,26.5277,21.1039,22.5692,15.3451,23.0655,15.5194,25.8501,19.5470,26.8985,20.1369,22.5899,15.1765,26.1689,17.2630,22.8238,15.4830,23.3114,15.4250
10,22.6005,13.6675,23.7074,16.5335,24.1245,21.3176,26.2435,22.3943,21.9045,15.8812,23.5535,18.2641,24.4878,18.1495,22.5217,15.9823,25.6966,21.5632,22.8284,16.0934,22.9801,16.2655,24.0675,19.9991,26.0305,20.7263,22.2497,15.8839,24.5971,17.9964,23.1052,16.2452,23.3772,16.2203
