Frame,MSE_DefMean,MSE_Ours_BayF,MSE_Ours_KF,MSE_Ideal,MSE_BestHist,Avg_DefMean,Avg_Ours_BayF,Avg_Ours_KF,Avg_Ideal,Avg_BestHist
1,54.7387,54.7387,57.7042,45.6468,64.0060,54.7387,54.7387,57.7042,45.6468,64.0060
2,56.4808,56.4808,59.4159,47.8322,47.8322,55.6097,55.6097,58.5600,46.7395,55.9191
3,57.5909,57.5909,60.3757,49.6600,49.6600,56.2701,56.2701,59.1653,47.7130,53.8327
4,56.7309,56.7290,59.3270,49.9609,49.9609,56.3853,56.3849,59.2057,48.2750,52.8648
5,56.7309,56.7290,59.3265,49.9609,49.9609,56.4544,56.4537,59.2299,48.6122,52.2840
6,56.7309,56.7290,59.3265,49.9609,49.9609,56.5005,56.4996,59.2460,48.8370,51.8968
7,55.9039,55.9022,58.2850,50.3531,50.3531,56.4153,56.4142,59.1087,49.0536,51.6763
8,64.2693,64.2639,57.4611,48.7216,48.7216,57.3970,57.3954,58.9027,49.0121,51.3070
9,59.1909,59.1849,54.1768,44.1287,44.1287,57.5964,57.5943,58.3776,48.4695,50.5094
10,59.7663,59.5288,54.5853,44.3759,44.3759,57.8133,57.7877,57.9984,48.0601,49.8960
11,58.9555,58.5471,55.0686,43.8628,43.8628,57.9172,57.8568,57.7321,47.6785,49.3475
12,50.1072,48.6488,50.7717,41.4230,41.4230,57.2663,57.0894,57.1520,47.1572,48.6872
13,48.8543,48.3096,48.0481,40.1667,41.7856,56.6193,56.4141,56.4517,46.6195,48.1563
14,55.4486,55.0825,45.7009,46.1153,48.0285,56.5356,56.3190,55.6838,46.5835,48.1471
15,57.6078,56.8127,46.7099,48.4714,48.7280,56.6071,56.3519,55.0856,46.7093,48.1859
16,50.9586,49.4336,45.3260,43.3762,43.3762,56.2541,55.9195,54.4756,46.5010,47.8853
17,43.3599,42.2647,43.5425,35.9364,35.9364,55.4956,55.1163,53.8325,45.8796,47.1824
18,41.5701,41.1686,41.3823,35.4388,35.4388,54.7220,54.3414,53.1408,45.2995,46.5300
19,40.9480,40.0744,37.7115,36.5092,36.5092,53.9970,53.5905,52.3287,44.8369,46.0026
20,39.4501,38.4539,35.9785,30.3296,30.3296,53.2697,52.8337,51.5112,44.1115,45.2189
21,33.0313,32.2249,32.0428,33.9264,34.1030,52.3059,51.8523,50.5841,43.6265,44.6896
22,36.1138,35.0280,30.9332,36.0401,36.9107,51.5699,51.0876,49.6909,43.2817,44.3360
23,35.7928,35.0195,29.8697,35.2637,36.9889,50.8840,50.3889,48.8291,42.9331,44.0166
24,54.9267,54.6339,31.2346,51.6418,55.4453,51.0524,50.5658,48.0960,43.2959,44.4927
25,55.7137,55.2403,34.8499,53.6556,59.1494,51.2389,50.7528,47.5662,43.7103,45.0790
26,56.0711,55.7128,38.9719,54.0453,59.4666,51.4247,50.9436,47.2356,44.1078,45.6324
27,55.5452,55.2123,43.9077,52.9634,54.7501,51.5773,51.1017,47.1124,44.4358,45.9701
28,53.6734,53.7585,49.0116,51.0094,53.3581,51.6522,51.1966,47.1802,44.6706,46.2339
29,54.8690,54.3676,46.9078,50.9801,59.3101,51.7631,51.3059,47.1708,44.8881,46.6848
30,48.8825,48.6057,43.9071,44.5333,52.5618,51.6671,51.2159,47.0620,44.8763,46.8807
31,47.0224,46.2773,42.2397,44.2759,55.3012,51.5173,51.0566,46.9065,44.8569,47.1524
32,48.1022,47.5489,40.7009,45.1746,54.1058,51.4106,50.9470,46.7125,44.8669,47.3697
33,48.6318,47.8721,36.5156,49.4660,51.3556,51.3264,50.8538,46.4035,45.0062,47.4904
34,45.1189,44.1015,35.4537,44.1657,44.1657,51.1438,50.6552,46.0815,44.9815,47.3927
35,45.2315,43.9212,36.3538,43.3525,43.3525,50.9749,50.4628,45.8036,44.9350,47.2772
36,45.6482,44.4497,39.2724,44.6112,44.6112,50.8269,50.2958,45.6221,44.9260,47.2032
37,42.7557,41.6474,42.4679,40.5285,46.1316,50.6088,50.0620,45.5369,44.8071,47.1742
38,43.3547,43.1030,43.1681,41.2496,41.2496,50.4179,49.8789,45.4745,44.7135,47.0183
39,44.0025,43.6803,43.7427,44.9333,44.9333,50.2534,49.7200,45.4301,44.7191,46.9648
40,43.3811,43.2230,43.5889,44.7017,44.7674,50.0816,49.5575,45.3841,44.7187,46.9099
41,44.4454,44.8669,45.2585,46.8736,46.8736,49.9441,49.4431,45.3810,44.7713,46.9090
42,45.1033,45.5750,46.3447,47.9715,47.9715,49.8288,49.3510,45.4040,44.8475,46.9343
43,44.4683,44.8611,45.9347,47.1804,47.1804,49.7042,49.2466,45.4163,44.9017,46.9400
44,36.9263,37.7711,44.2547,32.8054,32.8054,49.4138,48.9858,45.3899,44.6268,46.6188
45,36.3024,37.8437,40.9547,35.1387,35.1387,49.1224,48.7382,45.2914,44.4160,46.3637
46,40.7790,41.7051,39.6033,42.5080,45.2903,48.9410,48.5853,45.1677,44.3745,46.3403
47,40.4778,41.3505,39.0668,42.4882,44.6777,48.7609,48.4314,45.0379,44.3343,46.3050
48,26.2123,27.8432,32.9491,27.9520,28.0911,48.2912,48.0025,44.7861,43.9930,45.9255
49,30.4990,31.1713,29.7403,26.4837,26.4837,47.9281,47.6590,44.4790,43.6357,45.5287
50,25.6516,26.8436,25.6710,26.6267,27.4540,47.4825,47.2427,44.1028,43.2955,45.1672
51,22.6827,23.3371,22.9245,23.8467,23.8467,46.9963,46.7739,43.6876,42.9142,44.7492
52,24.7546,25.5826,23.2150,26.0444,26.5867,46.5686,46.3664,43.2939,42.5898,44.3999
53,23.7121,24.1452,23.8124,25.6604,27.7830,46.1373,45.9471,42.9263,42.2703,44.0864
54,24.3750,24.8982,23.6859,26.5105,26.5105,45.7343,45.5573,42.5700,41.9785,43.7609
55,22.9821,22.9715,22.8731,24.4869,24.6680,45.3206,45.1467,42.2119,41.6605,43.4138
56,22.9821,22.9715,24.0232,24.4869,24.6680,44.9217,44.7507,41.8871,41.3538,43.0790
57,21.6193,22.2117,22.7809,24.0102,24.0960,44.5129,44.3553,41.5519,41.0495,42.7460
58,24.5291,25.5283,26.6828,26.6599,30.2763,44.1684,44.0307,41.2955,40.8014,42.5310
59,25.1878,25.5312,27.3403,26.6638,30.3623,43.8466,43.7171,41.0590,40.5618,42.3247
60,24.7613,25.5620,26.8532,26.3225,29.4025,43.5286,43.4145,40.8222,40.3245,42.1094
61,23.2091,25.8150,26.4603,27.2439,28.8250,43.1955,43.1260,40.5868,40.1100,41.8916
62,22.5115,24.9753,25.1924,24.3493,29.2039,42.8618,42.8333,40.3385,39.8558,41.6870
63,22.4264,26.1739,24.9080,22.2043,30.3109,42.5375,42.5688,40.0936,39.5757,41.5064
64,26.4705,28.0811,24.7598,28.4179,30.8503,42.2864,42.3425,39.8540,39.4013,41.3399
65,27.1856,27.8068,25.1188,28.6357,32.5568,42.0541,42.1188,39.6273,39.2357,41.2048
66,26.3915,30.7642,24.9092,29.9281,38.3702,41.8168,41.9468,39.4043,39.0947,41.1618
67,26.2144,30.0596,25.5021,28.9552,37.5303,41.5839,41.7694,39.1968,38.9433,41.1076
68,27.7656,30.7806,28.1881,31.8360,35.2299,41.3807,41.6078,39.0349,38.8388,41.0212
69,28.6741,31.7682,30.1274,33.2085,36.2610,41.1966,41.4652,38.9058,38.7572,40.9522
70,37.2889,40.2824,33.6209,39.6702,47.9608,41.1407,41.4483,38.8303,38.7703,41.0523
71,35.2961,38.2036,32.3678,34.9421,44.2200,41.0584,41.4026,38.7393,38.7163,41.0969
72,33.4846,36.2261,31.8059,33.6392,41.3788,40.9532,41.3307,38.6430,38.6458,41.1008
73,31.2663,34.2936,31.9583,32.5743,43.4992,40.8205,41.2343,38.5514,38.5627,41.1337
74,30.2526,32.8768,32.8314,31.8726,42.3413,40.6777,41.1213,38.4741,38.4722,41.1500
75,31.5781,34.4481,32.8782,32.7792,43.1959,40.5564,41.0324,38.3995,38.3963,41.1773
76,30.5029,32.9833,32.0091,32.0651,42.0192,40.4241,40.9265,38.3154,38.3130,41.1884
77,30.4895,31.3527,31.7568,31.8836,39.7191,40.2951,40.8021,38.2302,38.2295,41.1693
78,30.6224,29.9661,31.1795,31.8665,35.9614,40.1711,40.6632,38.1398,38.1480,41.1025
79,27.2085,25.2693,30.2560,27.5679,30.5006,40.0070,40.4683,38.0400,38.0140,40.9683
80,26.8156,25.0313,28.0673,21.9868,29.7495,39.8421,40.2754,37.9154,37.8137,40.8281
81,24.1045,23.6812,24.9734,22.3557,24.2884,39.6478,40.0705,37.7556,37.6229,40.6239
82,20.3413,18.6430,21.1763,20.7729,22.1423,39.4124,39.8092,37.5534,37.4174,40.3985
83,21.6350,18.3791,19.3073,20.4187,22.3517,39.1982,39.5510,37.3336,37.2126,40.1811
84,26.7454,24.7743,18.8124,26.5721,28.3426,39.0499,39.3751,37.1131,37.0859,40.0401
85,26.8221,24.7591,18.4322,26.0997,28.1163,38.9061,39.2031,36.8933,36.9566,39.8999
86,24.9016,23.1080,18.6891,22.8273,22.9327,38.7432,39.0160,36.6816,36.7923,39.7026
87,25.5883,25.9177,20.4401,23.9510,24.9843,38.5920,38.8654,36.4950,36.6447,39.5334
88,26.0791,25.7262,22.4560,24.4346,24.9178,38.4498,38.7161,36.3354,36.5060,39.3673
89,26.0065,25.6087,22.5643,24.3731,25.2789,38.3100,38.5688,36.1807,36.3697,39.2090
90,26.1711,25.7036,23.6162,24.4625,24.4625,38.1751,38.4259,36.0411,36.2374,39.0452
91,26.7511,26.2339,24.8558,25.4214,25.4214,38.0496,38.2919,35.9182,36.1185,38.8954
92,28.4987,28.2053,25.1333,27.5403,27.5403,37.9458,38.1823,35.8009,36.0253,38.7720
93,28.5384,28.5239,25.0463,28.1975,28.1975,37.8446,38.0784,35.6853,35.9411,38.6583
94,29.0284,28.4728,26.2422,28.5755,29.5900,37.7508,37.9762,35.5848,35.8627,38.5618
95,28.9416,28.2913,26.5529,28.2059,28.2059,37.6581,37.8743,35.4898,35.7821,38.4528
96,29.8564,28.6549,27.2891,28.5244,28.5244,37.5768,37.7783,35.4044,35.7065,38.3494
97,29.6639,28.3269,26.9759,26.9358,28.8578,37.4953,37.6808,35.3175,35.6161,38.2516
98,29.5198,28.4205,27.5081,27.4013,29.4676,37.4139,37.5863,35.2378,35.5323,38.1619
99,29.2937,28.3440,27.9817,27.6764,29.6111,37.3319,37.4930,35.1645,35.4529,38.0756
100,30.9924,30.3893,28.3977,30.9391,30.9391,37.2685,37.4219,35.0968,35.4078,38.0042
101,30.2223,29.6184,28.5113,30.8271,31.2065,37.1987,37.3447,35.0316,35.3625,37.9369
102,30.7520,30.6385,29.1671,31.5188,31.7883,37.1355,37.2789,34.9741,35.3248,37.8766
103,33.6071,32.6625,31.2928,33.2381,33.4639,37.1012,37.2341,34.9384,35.3045,37.8338
104,38.5367,37.5362,33.7959,35.5991,35.5991,37.1151,37.2370,34.9274,35.3073,37.8123
105,37.0461,36.8197,36.1069,37.5103,38.3690,37.1144,37.2330,34.9386,35.3283,37.8176
106,41.5101,40.7621,39.6262,40.1052,40.1296,37.1559,37.2663,34.9828,35.3734,37.8394
107,32.9168,30.1513,39.9950,25.8070,29.1724,37.1162,37.1998,35.0297,35.2840,37.7584
108,34.4807,33.6162,39.0647,31.4630,31.9933,37.0918,37.1667,35.0670,35.2486,37.7050
109,35.1911,34.1879,38.1633,31.5537,31.6543,37.0744,37.1393,35.0955,35.2147,37.6495
