Frame,MSE_KF,Avg_MSE_KF
1,16.2825,16.2825
2,16.2825,16.2825
3,16.4474,16.3375
4,16.8317,16.4610
5,16.6227,16.4934
6,15.5900,16.3428
7,15.1379,16.1707
8,14.8245,16.0024
9,14.5792,15.8443
10,14.9829,15.7581
11,15.4157,15.7270
12,15.1353,15.6777
13,14.8426,15.6135
14,14.4391,15.5296
15,14.3661,15.4520
16,14.9113,15.4182
17,15.5483,15.4259
18,16.0061,15.4581
19,17.0251,15.5406
20,17.3330,15.6302
21,17.1786,15.7039
22,17.6512,15.7924
23,18.2113,15.8976
24,19.3503,16.0415
25,19.9658,16.1984
26,20.6072,16.3680
27,19.4634,16.4827
28,19.5320,16.5916
29,17.3336,16.6171
30,16.6946,16.6197
31,16.0578,16.6016
32,14.5361,16.5371
33,13.2589,16.4377
34,12.6548,16.3265
35,12.3123,16.2118
36,12.1582,16.0992
37,12.5228,16.0025
38,11.0524,15.8722
39,10.7379,15.7406
40,10.1096,15.5998
41,9.7066,15.4561
42,10.0120,15.3265
43,10.5877,15.2163
44,11.2408,15.1259
45,12.0071,15.0566
46,12.0982,14.9923
47,12.8679,14.9471
48,14.1595,14.9307
49,16.8578,14.9700
50,19.7235,15.0651
51,20.4503,15.1707
52,19.9494,15.2626
53,19.4711,15.3420
54,16.4216,15.3620
55,13.4764,15.3277
56,12.0499,15.2691
57,13.4142,15.2366
58,16.9239,15.2657
59,21.0956,15.3645
60,23.3454,15.4975
61,24.9526,15.6525
62,28.7994,15.8646
63,31.2549,16.1089
64,30.1271,16.3279
65,28.4323,16.5141
66,26.9455,16.6722
67,26.7540,16.8226
68,25.9083,16.9563
69,26.6934,17.0974
70,27.4235,17.2449
71,27.4764,17.3890
72,24.3609,17.4858
73,22.5101,17.5547
74,19.0878,17.5754
75,17.2433,17.5709
76,15.6512,17.5457
77,14.0666,17.5005
78,12.8872,17.4414
79,13.7938,17.3952
80,14.9075,17.3641
81,15.7075,17.3436
82,16.2685,17.3305
83,16.8547,17.3248
84,18.4927,17.3387
85,21.0950,17.3829
86,21.0965,17.4261
87,21.0741,17.4680
88,23.4504,17.5360
89,27.0023,17.6423
90,30.6998,17.7874
91,18.5854,17.7962
92,16.5753,17.7829
93,19.6013,17.8025
94,21.4689,17.8415
95,22.3556,17.8890
96,22.0722,17.9326
97,22.0126,17.9746
98,20.5918,18.0013
99,25.2170,18.0742
100,24.4165,18.1377
101,24.8329,18.2039
102,24.5416,18.2661
103,24.5051,18.3267
104,24.3282,18.3844
105,23.9313,18.4372
106,23.8956,18.4887
107,24.2415,18.5424
108,25.0103,18.6023
109,25.2929,18.6637
110,26.4782,18.7348
111,27.9231,18.8175
112,31.6678,18.9323
113,32.9547,19.0564
114,31.8174,19.1683
115,31.8789,19.2788
116,32.3872,19.3918
117,32.7706,19.5062
118,34.8655,19.6363
119,36.6019,19.7789
120,36.0060,19.9141
121,36.5267,20.0514
122,37.1775,20.1918
123,37.5999,20.3333
124,37.5028,20.4718
125,35.3039,20.5905
126,36.6185,20.7177
127,40.3640,20.8724
128,40.7597,21.0277
129,43.3429,21.2007
130,38.6296,21.3348
131,36.6968,21.4521
132,36.0782,21.5629
133,33.8602,21.6553
134,34.4881,21.7511
135,36.8354,21.8628
136,33.5996,21.9491
137,31.9104,22.0218
138,30.8181,22.0856
139,28.2973,22.1303
140,27.2941,22.1671
141,26.9356,22.2010
142,26.1971,22.2291
143,28.2337,22.2711
144,27.5586,22.3078
145,28.7948,22.3525
146,30.4448,22.4080
147,29.6885,22.4575
148,29.7899,22.5070
149,29.9765,22.5572
150,33.6477,22.6311
151,35.6687,22.7175
152,36.2973,22.8068
153,35.5629,22.8902
154,35.1060,22.9695
155,33.1444,23.0351
156,33.5122,23.1023
157,34.1830,23.1729
158,34.7378,23.2461
159,34.7416,23.3184
160,28.8896,23.3532
161,26.0986,23.3702
162,19.1883,23.3444
163,32.9854,23.4036
164,30.7471,23.4484
165,29.9560,23.4878
166,31.7057,23.5373
167,32.2038,23.5892
168,33.1230,23.6459
169,34.4853,23.7101
170,34.7011,23.7747
171,35.6857,23.8444
172,40.5174,23.9413
173,47.3676,24.0767
174,52.0457,24.2375
175,42.8650,24.3439
176,44.7120,24.4596
177,41.3080,24.5548
178,41.5090,24.6501
179,41.5854,24.7447
180,36.5699,24.8104
181,33.3257,24.8574
182,32.8710,24.9015
183,38.0816,24.9735
184,38.1290,25.0450
185,38.1771,25.1160
186,38.8679,25.1899
187,35.6680,25.2459
188,35.7079,25.3016
189,35.9983,25.3582
190,35.6681,25.4124
191,35.9839,25.4678
192,36.9404,25.5275
193,37.0716,25.5874
194,36.7059,25.6447
195,35.0611,25.6930
196,35.0563,25.7407
197,35.0735,25.7881
198,34.7740,25.8335
199,34.8321,25.8787
200,38.6947,25.9428
201,38.6769,26.0061
202,37.8666,26.0649
203,37.5876,26.1216
204,38.3707,26.1817
205,39.5267,26.2468
206,35.2438,26.2904
207,31.3932,26.3151
208,30.5879,26.3356
209,30.0264,26.3533
210,29.7239,26.3693
211,29.2267,26.3829
212,28.0940,26.3910
213,26.4271,26.3911
214,24.3948,26.3818
215,23.1277,26.3667
216,19.7534,26.3360
217,19.3896,26.3040
218,19.6209,26.2734
219,19.7334,26.2435
220,20.3903,26.2169
221,20.5407,26.1912
222,20.5065,26.1656
223,20.8439,26.1418
224,20.7622,26.1177
225,20.8419,26.0943
226,25.4991,26.0917
227,22.6281,26.0764
228,21.5840,26.0567
229,21.1993,26.0355
230,21.0978,26.0140
231,21.3560,25.9938
232,22.0005,25.9766
233,22.4098,25.9613
234,22.6526,25.9472
235,24.0954,25.9393
236,25.7775,25.9386
237,27.6899,25.9460
238,29.4096,25.9606
