Frame,MSE_KF,Avg_MSE_KF
1,17.5415,17.5415
2,17.5415,17.5415
3,17.5415,17.5415
4,20.0605,18.1712
5,20.1070,18.5584
6,18.1942,18.4977
7,16.8225,18.2584
8,16.2444,18.0066
9,16.0744,17.7919
10,16.5746,17.6702
11,19.7206,17.8566
12,19.5167,17.9950
13,19.5312,18.1131
14,19.2543,18.1946
15,19.0603,18.2523
16,18.4473,18.2645
17,18.6480,18.2871
18,19.0176,18.3277
19,20.2143,18.4270
20,20.1817,18.5147
21,20.1858,18.5943
22,21.2541,18.7152
23,21.8737,18.8525
24,23.5814,19.0495
25,22.9623,19.2061
26,21.9900,19.3131
27,21.6191,19.3985
28,20.7681,19.4474
29,20.7721,19.4931
30,21.4184,19.5573
31,20.9714,19.6029
32,20.6987,19.6372
33,20.3180,19.6578
34,20.7476,19.6898
35,23.1996,19.7901
36,24.8130,19.9296
37,26.4310,20.1054
38,26.3290,20.2691
39,25.4040,20.4008
40,25.1495,20.5195
41,24.0698,20.6061
42,23.2652,20.6694
43,22.8219,20.7195
44,22.4592,20.7590
45,23.0230,20.8093
46,22.2059,20.8397
47,21.2141,20.8477
48,21.7091,20.8656
49,22.4033,20.8970
50,23.2006,20.9431
51,20.5966,20.9363
52,20.0584,20.9194
53,20.0482,20.9029
54,21.5172,20.9143
55,24.2462,20.9749
56,26.0662,21.0658
57,26.7233,21.1651
58,26.2672,21.2530
59,25.5402,21.3257
60,24.8788,21.3849
61,22.3470,21.4007
62,19.3131,21.3670
63,19.0494,21.3302
64,19.5592,21.3026
65,19.3575,21.2726
66,20.1289,21.2553
67,19.7341,21.2326
68,18.8281,21.1972
69,16.7914,21.1334
70,15.5647,21.0538
71,14.9822,20.9683
72,15.5421,20.8930
73,16.8958,20.8382
74,17.2509,20.7897
75,15.3467,20.7172
76,14.9812,20.6417
77,19.4127,20.6257
78,19.8060,20.6152
79,18.4205,20.5874
80,18.2496,20.5582
81,18.5450,20.5334
82,18.0370,20.5029
83,18.3973,20.4775
84,16.7077,20.4327
85,15.4673,20.3742
86,15.8746,20.3219
87,16.1603,20.2741
88,15.6277,20.2213
89,14.4343,20.1563
90,13.6846,20.0844
91,13.6722,20.0139
92,14.3137,19.9519
93,15.4847,19.9039
94,15.4951,19.8570
95,17.0220,19.8272
96,23.6073,19.8665
97,25.7893,19.9276
98,26.5673,19.9953
99,27.9467,20.0757
100,28.9276,20.1642
101,28.6250,20.2480
102,26.6785,20.3110
103,27.8385,20.3841
104,28.8538,20.4655
105,28.4179,20.5413
106,32.1372,20.6507
107,38.1294,20.8140
108,40.1307,20.9929
109,40.4563,21.1714
110,40.8625,21.3504
111,42.3015,21.5392
112,42.3780,21.7252
113,39.4965,21.8825
114,37.8864,22.0229
115,35.5434,22.1405
116,30.8790,22.2158
117,33.3664,22.3111
118,30.6554,22.3818
119,27.0911,22.4214
120,25.3879,22.4461
121,24.8882,22.4663
122,24.4578,22.4826
123,23.8587,22.4938
124,22.8711,22.4969
125,24.3244,22.5115
126,27.3977,22.5503
127,31.6973,22.6223
128,35.9867,22.7267
129,35.2870,22.8241
130,35.7431,22.9234
131,35.6918,23.0209
132,36.4450,23.1226
133,36.2089,23.2210
134,39.7564,23.3444
135,42.6284,23.4872
136,43.0122,23.6308
137,42.3218,23.7672
138,38.0548,23.8708
139,35.5081,23.9545
140,35.4172,24.0364
141,34.8671,24.1132
142,35.1518,24.1909
143,35.8753,24.2726
144,36.4236,24.3570
145,32.8812,24.4158
146,31.1897,24.4622
147,29.8565,24.4989
148,28.3261,24.5247
149,27.4491,24.5444
150,26.6611,24.5585
151,25.6492,24.5657
152,24.4451,24.5649
153,23.9055,24.5606
154,22.2636,24.5457
155,22.6550,24.5335
156,21.5216,24.5142
157,21.5728,24.4954
158,22.0082,24.4797
159,23.1685,24.4715
160,26.0269,24.4812
161,25.2407,24.4859
162,25.6677,24.4932
163,25.8754,24.5017
164,28.6094,24.5267
165,30.7856,24.5647
166,30.2009,24.5986
167,26.5754,24.6104
168,24.8580,24.6119
169,23.4035,24.6048
170,24.2950,24.6029
171,22.6332,24.5914
172,21.7411,24.5749
173,21.4264,24.5567
174,20.6993,24.5345
175,21.9574,24.5198
176,24.6169,24.5203
177,32.5643,24.5658
178,34.7257,24.6228
179,34.4474,24.6777
180,35.2469,24.7364
181,37.5860,24.8074
182,38.4954,24.8826
183,46.0219,24.9982
184,47.4192,25.1200
185,49.8370,25.2536
186,45.1618,25.3606
187,45.3496,25.4675
188,41.9911,25.5554
189,35.9007,25.6102
190,35.8146,25.6639
191,32.8857,25.7017
192,29.5426,25.7217
193,30.9476,25.7488
194,30.5397,25.7735
195,31.0988,25.8008
196,31.2725,25.8287
197,29.5993,25.8478
198,29.5194,25.8664
199,29.9905,25.8871
200,29.4276,25.9048
201,30.2586,25.9265
202,30.6129,25.9497
203,32.3128,25.9810
204,32.2366,26.0117
205,34.6057,26.0536
206,34.8577,26.0963
207,35.1841,26.1402
208,36.6092,26.1906
209,36.9847,26.2422
210,37.1598,26.2942
211,37.5883,26.3477
212,37.1908,26.3989
213,36.8467,26.4479
214,36.9115,26.4968
215,36.5721,26.5437
216,37.1974,26.5930
217,37.2032,26.6419
218,37.1223,26.6900
219,36.8927,26.7366
220,30.6489,26.7543
221,27.8381,26.7592
222,26.6197,26.7586
223,26.9664,26.7596
224,26.5197,26.7585
225,25.4798,26.7528
226,29.6187,26.7655
227,27.8567,26.7703
228,24.2947,26.7594
229,31.9022,26.7819
230,31.7124,26.8033
231,33.5847,26.8327
232,33.1635,26.8600
233,34.5357,26.8929
234,34.3997,26.9250
235,34.8876,26.9589
236,33.6877,26.9874
237,32.2869,27.0097
238,31.7061,27.0295
239,31.9043,27.0499
240,34.1556,27.0795
241,34.7060,27.1111
242,36.4704,27.1498
243,36.6575,27.1889
244,36.4373,27.2268
245,37.1498,27.2673
246,37.1668,27.3076
247,36.9832,27.3467
248,37.0504,27.3859
249,37.0624,27.4247
250,37.3403,27.4644
251,37.2399,27.5033
252,36.2424,27.5380
253,35.9987,27.5715
254,37.0066,27.6086
255,39.1444,27.6539
256,46.7864,27.7286
257,50.3168,27.8165
258,47.8754,27.8942
259,44.0892,27.9568
260,40.5935,28.0054
261,39.9324,28.0511
262,39.2089,28.0936
263,39.0267,28.1352
264,40.1943,28.1809
265,44.2658,28.2416
266,50.7624,28.3263
267,58.0659,28.4376
268,67.8339,28.5846
269,40.2263,28.6279
270,27.7521,28.6247
271,16.7300,28.5808
272,10.1510,28.5130
273,9.2159,28.4423
274,9.5796,28.3735
275,8.7969,28.3023
276,8.5727,28.2308
277,8.3479,28.1590
278,7.8846,28.0861
279,7.1381,28.0110
280,7.9079,27.9392
281,8.6502,27.8706
282,9.4389,27.8052
283,9.7660,27.7415
284,9.9716,27.6789
285,9.9641,27.6168
286,10.5321,27.5570
287,10.4705,27.4975
288,10.8711,27.4398
289,10.8009,27.3822
290,10.7222,27.3247
291,10.7114,27.2676
292,10.7181,27.2110
293,10.6869,27.1546
294,10.6588,27.0985
