Frame,MSE_KF,Avg_MSE_KF,MSE_P0,Avg_MSE_P0,MSE_P1,Avg_MSE_P1,MSE_P2,Avg_MSE_P2,MSE_P3,Avg_MSE_P3,MSE_P4,Avg_MSE_P4,MSE_P5,Avg_MSE_P5,MSE_P6,Avg_MSE_P6,MSE_P7,Avg_MSE_P7,MSE_P8,Avg_MSE_P8,MSE_P9,Avg_MSE_P9,MSE_P10,Avg_MSE_P10,MSE_P11,Avg_MSE_P11,MSE_P12,Avg_MSE_P12,MSE_P13,Avg_MSE_P13,MSE_P14,Avg_MSE_P14,MSE_P15,Avg_MSE_P15
1,7.9370,7.9370,8.6681,8.6681,12.1269,12.1269,17.0672,17.0672,8.7017,8.7017,7.7025,7.7025,8.7106,8.7106,8.8688,8.8688,14.5194,14.5194,8.7214,8.7214,8.7637,8.7637,11.4296,11.4296,13.7687,13.7687,8.7975,8.7975,8.5599,8.5599,8.6867,8.6867,8.7243,8.7243
2,7.8104,7.8737,6.8598,7.7639,12.2873,12.2071,17.4217,17.2444,8.3418,8.5218,8.0533,7.8779,6.9450,7.8278,8.2376,8.5532,16.0084,15.2639,6.9534,7.8374,8.7462,8.7550,11.9009,11.6652,15.6211,14.6949,8.4295,8.6135,6.7811,7.6705,6.8715,7.7791,7.8643,8.2943
3,6.8411,7.5295,5.3520,6.9599,12.7314,12.3819,14.1664,16.2184,5.8098,7.6178,6.2004,7.3187,5.1370,6.9309,5.4707,7.5257,11.7046,14.0775,5.4107,7.0285,5.6660,7.7253,9.0806,10.8037,11.8389,13.7429,5.4982,7.5751,5.1214,6.8208,5.3771,6.9784,5.3744,7.3210
4,8.3035,7.7230,11.7836,8.1659,15.1420,13.0719,18.2587,16.7285,11.6459,8.6248,10.2814,8.0594,8.8506,7.4108,11.7470,8.5810,15.3598,14.3981,11.3113,8.0992,11.9057,8.7704,14.4831,11.7235,16.6336,14.4656,11.6817,8.6017,8.6816,7.2860,11.7040,8.1598,11.8397,8.4507
5,8.7341,7.9252,13.0183,9.1363,19.0088,14.2593,25.0767,18.3981,12.8574,9.4713,13.8349,9.2145,15.4869,9.0260,13.2575,9.5163,20.0699,15.5324,13.1332,9.1060,13.3350,9.6833,18.1151,13.0019,24.5299,16.4784,13.1064,9.5027,14.6353,8.7558,13.1236,9.1526,13.3914,9.4388
6,9.6395,8.2109,14.3305,10.0020,17.9603,14.8761,25.3922,19.5638,13.5067,10.1439,15.5428,10.2692,15.7945,10.1541,13.8418,10.2372,19.7109,16.2288,14.0764,9.9344,13.7313,10.3580,18.7833,13.9654,22.4829,17.4792,13.6315,10.1908,15.9702,9.9582,14.2510,10.0023,14.0788,10.2121
7,11.0752,8.6201,13.5146,10.5038,18.6950,15.4217,24.2518,20.2335,12.8018,10.5236,13.8919,10.7867,15.1113,10.8623,12.7973,10.6029,21.3042,16.9539,13.4512,10.4368,12.8205,10.7098,18.0831,14.5537,23.6349,18.3586,12.7576,10.5575,15.2619,10.7159,13.4881,10.5003,13.0105,10.6119
8,12.3193,9.0825,15.1253,11.0815,15.8520,15.4755,24.0583,20.7116,15.0749,11.0925,16.8789,11.5483,15.7759,11.4765,15.1085,11.1661,20.3228,17.3750,15.1320,11.0237,15.1167,11.2606,17.3288,14.9006,24.5542,19.1330,15.0831,11.1232,16.0355,11.3809,15.1288,11.0789,15.1303,11.1767
9,15.3345,9.7772,16.8618,11.7238,18.8945,15.8553,31.9594,21.9614,17.1587,11.7665,17.3459,12.1925,16.8577,12.0744,17.0042,11.8148,26.6628,18.4070,16.9129,11.6781,16.9941,11.8977,18.9242,15.3476,31.2833,20.4831,17.0746,11.7845,16.8135,11.9845,16.8839,11.7239,16.9207,11.8149
10,16.9447,10.4939,20.6474,12.6161,24.9525,16.7651,31.2577,22.8910,15.3470,12.1246,23.6017,13.3334,25.9903,13.4660,16.8823,12.3216,30.1771,19.5840,17.6870,12.2789,17.6318,12.4711,23.3099,16.1439,30.5893,21.4937,15.9403,12.2000,24.1498,13.2010,19.0015,12.4516,18.0896,12.4424
11,14.2901,10.8390,16.8391,13.0000,17.6888,16.8490,24.9903,23.0819,16.6168,12.5330,14.8196,13.4685,16.8107,13.7701,17.0854,12.7546,20.3212,19.6510,16.4100,12.6545,18.0500,12.9783,16.5628,16.1820,20.8007,21.4307,16.8541,12.6231,13.9628,13.2703,16.7298,12.8406,17.3483,12.8884
12,16.6131,11.3202,18.1168,13.4264,20.8063,17.1788,25.9796,23.3233,19.6731,13.1280,19.9935,14.0123,20.4063,14.3231,19.6252,13.3272,25.7711,20.1610,19.5436,13.2286,19.6074,13.5307,22.7284,16.7275,24.9507,21.7240,19.7373,13.2160,19.7189,13.8077,19.3802,13.3855,19.5399,13.4427
13,19.8113,11.9734,22.3651,14.1140,24.6492,17.7535,25.7723,23.5117,22.9658,13.8847,23.3377,14.7296,22.5350,14.9548,22.5704,14.0382,25.4220,20.5657,22.2900,13.9256,22.5759,14.2265,24.8721,17.3540,24.6674,21.9504,22.9320,13.9634,22.8237,14.5012,22.2947,14.0708,22.4314,14.1341
14,21.3826,12.6454,28.3664,15.1320,29.5067,18.5930,31.3255,24.0698,25.5662,14.7191,28.0513,15.6811,27.3385,15.8393,27.1014,14.9713,29.8258,21.2271,28.6244,14.9755,27.4821,15.1733,29.4755,18.2198,29.9185,22.5196,26.0739,14.8284,27.1598,15.4054,28.6888,15.1150,28.8050,15.1820
15,20.7157,13.1835,27.3057,15.9436,28.1633,19.2310,29.5362,24.4343,25.4013,15.4313,27.9497,16.4990,27.3249,16.6050,27.4399,15.8025,28.5490,21.7153,27.6036,15.8174,27.5198,15.9964,26.9673,18.8030,29.4840,22.9839,27.6699,15.6845,26.3841,16.1373,27.4451,15.9370,27.3889,15.9958
16,19.7757,13.5955,23.4788,16.4146,22.7845,19.4531,23.2799,24.3621,22.3633,15.8645,21.0766,16.7851,22.5646,16.9775,22.1515,16.1993,22.5592,21.7680,23.6865,16.3092,23.3416,16.4555,21.3633,18.9630,22.1370,22.9309,22.2822,16.0969,20.5418,16.4126,23.6042,16.4162,23.4608,16.4624
17,21.3678,14.0527,27.2923,17.0544,24.4870,19.7492,26.7419,24.5021,25.5101,16.4319,24.2176,17.2223,27.3867,17.5898,27.0933,16.8402,27.1508,22.0846,27.1857,16.9490,27.1307,17.0834,24.7280,19.3021,27.1334,23.1781,26.2482,16.6940,25.7932,16.9644,27.1877,17.0498,27.1997,17.0940
18,19.6891,14.3658,21.1397,17.2814,24.7105,20.0248,25.1651,24.5389,18.6951,16.5576,22.6662,17.5248,21.2383,17.7925,20.4376,17.0400,24.8323,22.2373,21.0494,17.1768,20.5520,17.2761,24.6155,19.5973,24.4991,23.2515,19.5345,16.8518,21.4078,17.2112,21.0860,17.2740,21.0557,17.3141
19,13.9570,14.3443,13.3933,17.0768,15.9199,19.8088,17.5660,24.1719,11.7623,16.3052,13.3859,17.3069,13.7564,17.5801,12.6395,16.8084,16.1880,21.9189,12.6740,16.9398,12.9014,17.0459,15.2473,19.3684,15.1944,22.8275,12.1437,16.6040,13.5146,17.0167,13.0682,17.0527,13.1619,17.0956
20,8.8258,14.0684,7.3025,16.5880,12.4204,19.4394,13.6493,23.6458,7.2433,15.8522,7.4646,16.8148,7.5132,17.0767,7.2645,16.3312,11.7239,21.4092,7.1576,16.4507,7.3586,16.5615,9.2503,18.8625,8.0696,22.0896,7.2523,16.1364,7.4973,16.5407,7.2434,16.5622,7.3071,16.6061
21,9.2853,13.8406,10.6926,16.3073,12.4426,19.1062,15.7715,23.2708,8.7992,15.5163,10.9048,16.5334,11.7201,16.8217,9.9913,16.0293,12.7143,20.9951,9.7755,16.1328,10.6297,16.2791,11.6563,18.5193,12.5581,21.6357,9.3279,15.8122,11.8459,16.3171,10.2634,16.2623,10.6504,16.3225
22,14.4441,13.8680,16.3649,16.3099,17.8406,19.0487,20.2243,23.1324,14.2621,15.4593,17.2008,16.5637,17.9299,16.8720,15.5565,16.0078,18.6292,20.8876,15.4632,16.1024,16.0546,16.2689,17.3411,18.4658,18.5727,21.4965,14.6015,15.7572,18.1749,16.4016,16.0190,16.2512,16.2207,16.3179
23,17.8326,14.0404,19.8714,16.4648,20.5421,19.1136,21.9987,23.0831,17.7248,15.5578,20.6355,16.7408,21.3922,17.0686,19.1128,16.1428,21.1947,20.9009,18.9527,16.2263,19.5448,16.4113,20.2573,18.5437,21.2888,21.4874,18.4016,15.8722,21.6219,16.6286,19.5365,16.3941,19.6898,16.4645
