Frame,MSE_KF,Avg_MSE_KF,MSE_P0,Avg_MSE_P0,MSE_P1,Avg_MSE_P1,MSE_P2,Avg_MSE_P2,MSE_P3,Avg_MSE_P3,MSE_P4,Avg_MSE_P4,MSE_P5,Avg_MSE_P5,MSE_P6,Avg_MSE_P6,MSE_P7,Avg_MSE_P7,MSE_P8,Avg_MSE_P8,MSE_P9,Avg_MSE_P9,MSE_P10,Avg_MSE_P10,MSE_P11,Avg_MSE_P11,MSE_P12,Avg_MSE_P12,MSE_P13,Avg_MSE_P13,MSE_P14,Avg_MSE_P14,MSE_P15,Avg_MSE_P15
1,7.0332,7.0332,7.8569,7.8569,10.6509,10.6509,15.7225,15.7225,7.5690,7.5690,6.8151,6.8151,7.8862,7.8862,7.8517,7.8517,13.5853,13.5853,7.6747,7.6747,7.8911,7.8911,10.0615,10.0615,12.7957,12.7957,7.7382,7.7382,7.6856,7.6856,7.8267,7.8267,7.8801,7.8801
2,7.0224,7.0278,6.7019,7.2794,11.3086,10.9798,13.3223,14.5224,6.9200,7.2445,7.7882,7.3016,5.6514,6.7688,6.8142,7.3329,12.9495,13.2674,6.6537,7.1642,7.1785,7.5348,10.5385,10.3000,13.1494,12.9726,6.8926,7.3154,6.6492,7.1674,6.7016,7.2641,6.7836,7.3318
3,9.4875,7.8477,12.7482,9.1023,17.1462,13.0352,23.6594,17.5681,12.8378,9.1090,17.0247,10.5427,17.4975,10.3450,12.9469,9.2042,18.8002,15.1117,12.6628,8.9971,13.0722,9.3806,16.1097,12.2365,20.7808,15.5753,12.9248,9.1852,15.8517,10.0622,12.7020,9.0768,12.9137,9.1924
4,9.7230,8.3165,13.0563,10.0908,17.6310,14.1842,25.2645,19.4922,13.1974,10.1311,16.8145,12.1106,16.4975,11.8831,13.1618,10.1936,19.6608,16.2490,13.1363,10.0319,13.1527,10.3236,17.2858,13.4989,27.3704,18.5241,13.2032,10.1897,16.4395,11.6565,13.1073,10.0844,13.0730,10.1626
5,9.4746,8.5481,14.3190,10.9365,17.1972,14.7868,30.1721,21.6282,14.7183,11.0485,15.9901,12.8865,19.2547,13.3575,14.3207,11.0190,25.1186,18.0229,14.3368,10.8929,14.2592,11.1107,16.8543,14.1700,30.0621,20.8317,14.3604,11.0238,15.7181,12.4688,14.2043,10.9084,14.1813,10.9663
6,12.6001,9.2235,16.7751,11.9096,19.2269,15.5268,31.2110,23.2253,16.4449,11.9479,17.5942,13.6711,20.6003,14.5646,16.0570,11.8587,29.0457,19.8600,16.0118,11.7460,15.7835,11.8895,20.5299,15.2299,29.5506,22.2848,16.4780,11.9329,19.4341,13.6297,16.1695,11.7852,16.1018,11.8222
7,11.8223,9.5947,15.2110,12.3812,23.1996,16.6229,31.1345,24.3552,11.9694,11.9510,17.3077,14.1906,17.6377,15.0036,14.8205,12.2818,28.0943,21.0364,15.0093,12.2122,14.8836,12.3173,21.4063,16.1123,28.9201,23.2327,13.5334,12.1615,16.8000,14.0826,15.0740,12.2551,14.9900,12.2748
8,9.8399,9.6254,14.5862,12.6568,18.5888,16.8687,22.7981,24.1605,10.8467,11.8130,17.0310,14.5457,16.3861,15.1764,12.8796,12.3565,19.4615,20.8395,13.9140,12.4249,13.3809,12.4502,17.4636,16.2812,20.8339,22.9329,11.7684,12.1124,16.1752,14.3442,14.2989,12.5105,14.0113,12.4918
9,14.5378,10.1712,20.9900,13.5827,27.8454,18.0883,30.9432,24.9142,19.7528,12.6952,21.6323,15.3331,21.3673,15.8643,19.8486,13.1890,29.9415,21.8508,20.4898,13.3210,20.0248,13.2918,25.7178,17.3297,26.1728,23.2929,19.7534,12.9614,21.4949,15.1387,20.8171,13.4335,20.5821,13.3908
10,15.9760,10.7517,23.5146,14.5759,28.7880,19.1583,28.5025,25.2730,19.0413,13.3298,26.8335,16.4831,25.5936,16.8372,22.4595,14.1160,28.4389,22.5096,22.9488,14.2838,22.7143,14.2341,26.9362,18.2904,27.0161,23.6652,20.3813,13.7034,25.5491,16.1798,23.1075,14.4009,22.8449,14.3362
