Frame,MSE_DefMean,MSE_Ours_BayF,MSE_Ours_KF,MSE_Ideal,MSE_BestHist,Avg_DefMean,Avg_Ours_BayF,Avg_Ours_KF,Avg_Ideal,Avg_BestHist
1,43.7231,43.7231,44.5616,37.3090,47.2977,43.7231,43.7231,44.5616,37.3090,47.2977
2,43.4520,43.4520,44.2905,37.0379,37.0379,43.5876,43.5876,44.4260,37.1735,42.1678
3,43.4520,43.4520,44.2905,37.0379,37.0379,43.5424,43.5424,44.3809,37.1283,40.4579
4,40.3056,40.3056,41.1093,35.0962,35.0962,42.7332,42.7332,43.5630,36.6203,39.1175
5,40.3056,40.3056,41.1093,35.0962,35.0962,42.2477,42.2477,43.0722,36.3155,38.3132
6,42.3377,42.3377,41.5935,39.1762,39.1762,42.2627,42.2627,42.8258,36.7922,38.4570
7,34.6330,34.6330,36.0247,34.4795,34.7859,41.1727,41.1727,41.8542,36.4619,37.9326
8,33.8307,33.8307,32.6987,34.1947,34.8196,40.2550,40.2550,40.7098,36.1785,37.5435
9,39.2168,39.2168,32.5675,34.8631,35.3412,40.1396,40.1396,39.8051,36.0323,37.2988
10,35.0197,35.0197,29.5658,34.9908,34.9908,39.6276,39.6276,38.7811,35.9282,37.0680
11,35.2843,35.2843,31.6928,35.2397,35.2397,39.2328,39.2328,38.1367,35.8656,36.9018
12,35.1420,35.1420,31.7854,34.8666,35.3303,38.8919,38.8919,37.6075,35.7823,36.7708
13,32.2388,32.2388,31.2016,33.3937,34.2765,38.3801,38.3801,37.1147,35.5986,36.5789
14,30.4973,30.4973,32.6646,31.4504,33.5981,37.8171,37.8171,36.7968,35.3023,36.3660
15,33.4848,33.4848,31.6057,32.3030,33.4883,37.5282,37.5282,36.4508,35.1023,36.1742
16,36.8676,36.8676,30.8581,35.0803,36.8371,37.4869,37.4869,36.1012,35.1010,36.2156
17,36.9292,36.9292,31.5742,34.6908,36.8364,37.4541,37.4541,35.8349,35.0768,36.2521
18,38.5268,38.5268,33.7893,37.1205,41.0551,37.5137,37.5137,35.7213,35.1904,36.5190
19,38.5792,38.5792,36.4007,35.8986,41.0202,37.5698,37.5698,35.7570,35.2276,36.7559
20,33.4281,33.4281,34.6116,30.7878,35.2768,37.3627,37.3627,35.6998,35.0057,36.6819
21,30.7323,30.7323,34.0244,28.8647,30.4367,37.0470,37.0470,35.6200,34.7132,36.3845
22,33.4359,33.4359,35.2444,32.8327,33.3007,36.8828,36.8828,35.6029,34.6277,36.2443
