Frame,MSE_DefMean,MSE_BestEnvelope,MSE_Ours_BayF,MSE_Ours_KF
1,28.1824,27.6929,28.1824,28.2396
2,28.1824,27.6929,28.1824,28.2396
3,28.1667,27.4926,28.1667,28.2427
4,27.6457,27.1343,27.6457,27.7263
5,27.4173,26.9060,27.4173,27.4980
6,28.3662,28.4898,28.3662,28.7031
7,28.5698,28.4721,28.5698,28.4487
8,29.3369,29.1711,29.3369,28.9757
9,29.3988,29.2935,29.3988,28.9941
10,31.1930,28.7493,31.1930,28.8739
11,39.4257,32.0084,39.4257,23.6771
12,37.8813,30.8860,37.8813,23.5660
13,38.2473,31.4538,38.2473,27.8119
14,15.0242,14.4421,15.0242,25.4319
15,33.9410,33.0520,33.9410,29.0620
16,38.6219,32.6608,38.6219,29.8974
17,36.3403,30.7663,36.3403,28.2364
18,37.3621,31.5559,37.3621,28.7972
19,40.5620,39.4897,40.5620,37.7805
20,33.9623,33.4910,33.9623,34.9179
21,35.1724,33.9749,35.1724,34.6239
22,37.1908,36.1460,37.1908,35.8768
23,23.0186,20.1280,23.0186,29.0604
24,25.6245,24.9978,25.6245,26.4679
25,25.3212,24.5788,25.3212,23.7688
26,26.4824,25.4988,26.4824,22.4814
27,26.5068,25.6340,26.5068,23.3783
28,29.0428,29.0755,29.0428,27.0584
29,25.1999,24.5755,25.1999,27.7107
30,26.8277,26.1338,26.8277,30.0846
31,27.6850,26.2484,27.6850,29.3462
32,27.6760,25.9850,27.6760,29.0945
33,27.7187,26.1117,27.7187,28.7323
34,27.8945,27.7602,27.8945,28.7699
35,27.2321,25.2871,27.2321,28.4776
36,27.1436,25.2844,27.1436,28.2067
37,21.0979,16.7546,21.0979,24.7911
38,21.5951,18.3939,21.5951,23.1954
39,21.5830,19.6301,21.5830,22.5546
40,23.5776,21.7813,23.5776,22.2258
41,22.4668,19.8250,22.4668,21.8399
42,21.6490,18.1239,21.6490,23.5982
43,20.0388,15.5544,20.0388,22.4010
44,21.1277,16.5940,21.1277,21.2043
45,21.2614,17.2081,21.2614,20.1332
46,21.9885,17.4078,21.9885,20.8833
47,22.3335,17.6658,22.3335,21.8673
48,21.9768,17.4772,21.9768,22.2685
49,22.6491,16.4784,22.6491,21.2310
50,22.4062,18.4039,22.4062,21.4739
51,20.4287,16.0853,20.4287,21.1900
52,21.2781,17.1734,21.2781,21.2441
53,20.9184,18.2870,20.9184,21.0684
54,21.6120,18.3067,21.6120,21.4637
55,22.4902,21.1214,22.4902,22.3226
56,22.2324,20.3649,22.2324,21.9266
57,23.1036,20.8962,23.1036,22.1399
58,27.8947,24.4790,27.8947,22.9562
59,28.2764,28.1049,28.2764,22.4346
60,28.2533,26.8702,28.2533,23.9751
61,28.4628,26.7041,28.4628,26.0048
62,30.0107,27.8452,30.0107,30.5923
63,29.5160,25.7919,29.5160,30.9930
64,26.9048,26.6680,26.9048,27.9581
65,28.2272,28.3482,28.2272,25.8091
66,29.7596,29.3541,29.4679,25.7003
67,29.8389,29.0401,29.3115,27.0181
68,32.8047,27.5929,29.9018,28.1988
69,34.6447,29.4299,32.1918,32.1540
70,31.8319,26.8746,28.5766,39.6124
71,32.4228,27.3579,29.2474,39.2818
72,33.9057,27.6548,30.0691,39.6296
73,34.3901,27.1624,29.7842,45.8606
74,33.6597,27.4743,29.5720,44.2171
75,36.2290,29.1181,31.5427,45.7258
76,28.1108,29.4590,26.7560,31.1741
77,27.7624,28.8536,27.8322,29.4200
78,19.7503,20.0624,19.9747,24.2390
79,21.6030,22.8713,21.7161,23.7151
80,19.1574,19.4186,19.1755,20.2394
81,21.2279,20.1219,22.3373,20.4276
82,19.9629,20.0790,21.0403,20.0372
83,21.7249,21.5403,21.4646,21.3284
84,23.0732,22.3489,22.7672,23.9880
85,22.0271,21.7171,18.5424,24.1716
86,22.3818,21.9679,19.0310,24.6114
87,22.3626,23.1040,19.4759,25.1897
88,22.3217,23.1203,19.6041,24.9980
