Frame,MSE_DefMean,MSE_BestEnvelope,MSE_Ours_BayF,MSE_Ours_KF
1,45.8323,41.5534,45.8323,46.6954
2,45.8173,41.5724,45.8173,46.6801
3,45.8173,41.5724,45.8173,46.6801
4,45.1887,41.3334,45.1887,46.2827
5,41.4958,40.8625,41.4958,45.2070
6,42.9324,40.8245,42.9324,44.3699
7,36.9896,33.4253,36.9896,43.5196
8,36.7367,33.1323,36.7367,39.6522
9,55.7992,29.7670,55.7992,45.1841
10,68.2485,64.4832,68.2485,50.1136
11,66.3232,62.6834,66.3233,52.9064
12,61.3657,58.0256,61.3678,51.5817
13,60.9235,57.6616,60.8255,58.7173
14,47.2022,44.7545,47.2009,53.8712
15,40.4821,41.3841,40.4824,48.6760
16,41.6421,41.1839,41.6337,44.9802
17,41.4685,40.2325,41.4686,42.8271
18,45.8535,43.6097,45.8541,44.4222
19,37.4052,34.5621,37.3857,44.9552
20,37.2476,34.2357,37.2539,43.7803
21,37.7157,37.9776,37.6985,42.9195
22,37.8269,37.9007,37.7963,42.1159
23,32.8329,34.8766,32.8251,37.1131
24,38.0474,38.1809,38.0624,34.7860
25,28.6404,28.2921,28.6311,30.1863
26,26.8288,26.6352,26.4946,28.5215
27,23.6736,23.7698,23.6706,24.9421
28,20.6485,21.0745,20.6430,23.5802
29,20.8490,21.6033,20.7955,22.6903
30,20.9330,21.7173,20.8275,21.9548
31,20.9440,21.6581,20.8365,21.6749
32,19.7502,22.1517,19.6310,20.1813
33,21.2847,25.3210,21.0266,19.8019
34,21.3404,25.2731,21.1223,19.3874
35,21.6739,25.5587,20.0063,20.2122
36,21.7259,24.8112,20.7109,18.0621
37,14.5662,16.8610,15.1090,15.6844
38,15.2389,18.4552,17.3693,15.4515
39,16.2005,18.2407,18.0403,14.4517
40,13.6630,15.0686,16.5024,13.6216
41,22.2004,19.9330,24.4311,11.0296
42,20.0326,18.9810,22.4359,10.9296
43,17.5515,17.4142,19.1570,12.0278
44,14.6424,16.1486,15.0125,14.0525
45,15.0926,16.3293,14.9861,17.7472
46,14.9492,15.9347,14.8030,17.7242
47,18.7661,19.9573,18.8291,19.2984
48,19.5946,20.5374,19.8847,20.1927
49,20.2591,21.3892,20.8289,21.1409
50,20.2994,21.4982,19.7181,21.2151
51,20.1710,21.5714,19.4257,21.2634
52,21.1016,22.4800,19.6594,22.2715
53,22.8658,23.9862,21.3247,22.2075
54,18.3548,20.1849,18.0534,19.9908
55,17.0165,18.3556,17.0631,16.8826
56,16.4991,18.3136,16.4914,15.7229
57,16.6968,19.3211,16.7321,15.5814
58,19.4237,19.9827,19.1725,16.8047
59,19.6305,19.8780,19.2115,17.6620
60,19.8206,20.7254,19.6808,18.0843
61,21.7928,22.1216,21.2900,20.1530
62,22.4769,23.2108,22.1373,22.2915
63,21.0527,23.0349,20.4581,21.8691
64,18.8162,20.4443,18.1686,21.6261
65,30.3249,28.9690,30.1739,22.1745
66,32.6350,33.5327,32.4576,24.6352
67,35.4985,35.2484,35.1335,28.7272
68,37.2993,36.9441,36.8613,34.4478
69,38.4013,38.3176,38.3644,39.4262
70,36.3975,37.7327,36.5813,38.2987
71,35.9861,37.7539,36.0274,37.0587
72,35.5426,37.8526,36.2093,36.7256
73,35.9470,38.1290,36.3135,37.6091
74,36.1914,38.2999,36.4231,37.8152
75,31.6763,33.2668,31.7201,34.8408
76,30.4357,31.9841,30.2737,33.1127
77,31.8271,33.0798,30.8867,32.9137
78,34.8648,33.6045,33.6202,34.1761
79,35.0371,33.8424,33.7634,30.1017
80,32.8247,29.4677,32.3265,29.7223
81,36.6613,35.3541,36.3807,28.7747
82,26.1286,26.2057,25.5380,24.4420
83,31.6780,31.1607,31.1576,23.0184
84,21.4772,20.7086,21.7673,20.9842
85,21.4702,21.4242,21.7641,19.8819
86,23.6114,23.6866,23.6155,22.8094
87,22.3738,22.2865,22.3062,22.6377
88,20.3406,20.3044,20.3301,21.5048
89,20.7718,20.8315,20.8492,18.5502
90,17.7968,17.4527,17.8212,17.3282
91,17.1462,17.0378,17.1076,17.5299
92,15.9631,15.8306,15.9023,16.4650
93,17.0797,16.8510,17.0255,16.9853
94,16.3271,16.2899,16.3335,16.4422
95,15.4554,15.4943,15.4579,15.5362
96,14.4671,14.2948,14.4725,14.4148
97,14.7451,14.6989,14.7601,14.6894
98,15.1295,15.0395,15.1269,15.1178
99,15.6279,15.5882,15.6074,15.6044
100,15.8624,15.7327,15.8601,15.8366
101,16.6000,16.5696,16.5952,16.5816
102,17.0419,17.0008,17.0049,17.0009
103,22.7959,22.7820,22.7878,22.7691
104,23.3160,23.2989,23.3060,23.3030
105,23.3048,23.3119,23.3168,23.3234
106,20.1727,20.4151,20.6678,22.3534
107,22.4048,22.4158,22.4386,21.8822
108,25.3135,25.1365,25.4906,25.0188
109,27.6779,27.6977,27.9583,27.0805
110,28.4670,27.2174,28.0451,28.8179
111,27.8379,27.8060,27.8952,28.2188
112,30.6377,30.4044,30.5278,30.3509
113,29.1387,28.8620,29.0433,28.9136
114,29.0883,28.8458,29.0514,28.9704
115,29.0292,28.6172,28.8266,28.8181
116,28.9452,28.4956,28.6928,28.6872
117,28.9946,28.5561,28.7569,28.7520
118,28.7789,28.5421,28.7676,28.8042
119,28.2610,28.0732,28.2279,28.2261
120,28.1161,27.9261,28.0723,28.2206
121,28.1368,27.9862,28.0829,28.2324
122,30.6706,27.2870,27.0607,27.8498
123,37.2585,32.9228,32.7313,26.0527
124,34.4053,27.4678,28.2151,23.3217
125,34.2017,26.7152,31.7794,24.8798
126,28.3491,25.2861,27.5210,26.4058
127,26.9967,23.4888,22.1321,25.4537
128,25.4629,23.3623,22.8032,24.1413
129,25.9299,23.4617,24.5471,22.9559
130,25.9460,23.5111,24.5377,22.1296
131,25.9850,23.5151,24.5836,21.8658
132,28.3976,22.5607,24.5096,17.6570
133,27.5938,18.4587,23.6178,18.8803
134,27.8241,18.9315,23.8780,20.2470
135,27.8145,19.0147,24.1223,22.9466
136,28.2102,19.1204,24.7150,25.9877
137,29.2425,20.3917,24.9592,27.1904
138,27.2867,20.0147,24.3731,25.9935
139,27.2565,20.2875,21.8301,24.5838
140,20.3331,16.1676,18.4874,21.8757
141,21.0250,23.0838,25.1557,20.6823
142,22.8410,22.7065,22.8585,21.8125
143,34.0301,32.8087,35.1712,30.1676
144,39.1304,38.7571,39.1750,36.0414
145,33.1463,30.7714,33.3612,32.8519
146,11.7843,11.7641,11.7801,18.3096
147,13.6749,13.6734,13.6752,17.2943
148,14.3256,14.3241,14.3260,14.7531
149,12.0781,12.0781,12.0781,12.0957
150,11.9646,11.9646,11.9646,11.9538
151,12.0705,12.0705,12.0705,12.0692
152,11.5047,11.5047,11.5047,11.5037
153,14.2575,12.0597,15.1869,13.9307
154,13.9760,12.1541,14.7514,13.6551
155,47.9872,47.0667,48.3457,47.9045
156,65.7398,62.6829,64.5037,66.8668
157,54.9029,51.3286,53.3459,56.0924
158,54.8598,51.2912,53.2815,55.9258
159,54.8630,51.2898,53.2804,55.8152
160,54.8537,51.3016,53.2839,55.8056
161,54.8754,51.2781,53.2718,55.7853
162,54.7698,51.2845,53.2521,55.7685
163,55.0416,51.4792,53.4627,55.9704
164,55.4144,51.9395,53.9262,56.3781
165,56.1849,52.6674,54.6789,57.1205
166,56.8024,53.2607,55.3027,57.6872
167,57.1248,53.5286,55.6437,57.8697
168,57.9142,54.0064,56.2977,58.2827
169,58.2119,54.1405,56.5495,58.4436
170,59.6273,54.8712,57.6767,59.0211
171,59.9226,55.1133,57.9396,59.7883
172,61.1889,56.0910,59.0565,61.1041
173,61.2894,56.1031,59.0681,61.6910
174,61.5397,56.6592,59.3857,62.8801
175,62.4415,57.3465,60.1953,63.5240
176,61.9192,57.6970,61.9192,64.1923
177,62.3433,57.9906,62.3433,64.0287
178,62.5418,58.1741,62.5418,63.8130
179,68.3734,62.0812,68.3734,64.3923
180,69.0509,62.6652,69.0509,65.3306
181,70.2051,64.0876,70.2051,67.5343
182,70.2875,64.2346,70.2875,69.2379
183,71.9011,66.3043,71.9011,71.8211
184,70.0091,63.6754,70.0091,72.8840
185,74.4395,68.6119,74.4395,73.4848
186,75.3785,69.2744,75.3785,74.7737
187,76.4952,70.4632,76.4952,75.6970
188,74.9073,68.3178,74.9073,76.5270
189,72.2089,66.5943,72.2089,76.5700
190,67.5569,65.1958,67.5569,77.1002
191,67.7189,66.2140,70.9030,76.3213
192,72.3663,69.2162,75.9840,77.6621
193,40.6022,25.1818,36.6325,64.9706
194,9.3104,9.2916,9.3099,40.2040
195,10.3336,10.3050,10.3277,21.7279
196,17.8011,17.7799,17.7938,15.8010
