Frame,MSE_KF,Avg_MSE_KF
1,16.6882,16.6882
2,16.6882,16.6882
3,16.6882,16.6882
4,16.6882,16.6882
5,16.6882,16.6882
6,15.2848,16.4543
7,14.5585,16.1835
8,14.3897,15.9593
9,14.9791,15.8504
10,14.6663,15.7320
11,14.8063,15.6478
12,13.7805,15.4922
13,12.3776,15.2526
14,91.8699,20.7253
15,60.1756,23.3553
16,59.2878,25.6011
17,80.7143,28.8430
18,71.0097,31.1856
19,65.4102,32.9869
20,65.9700,34.6361
21,65.8818,36.1240
22,55.4992,37.0047
23,61.9870,38.0908
24,53.2085,38.7207
25,47.6201,39.0767
26,47.6299,39.4057
27,47.8119,39.7170
28,45.0161,39.9063
29,44.8154,40.0756
30,43.6077,40.1933
31,43.5584,40.3019
32,41.8270,40.3495
33,42.0612,40.4014
34,41.0945,40.4218
35,41.0945,40.4410
36,36.5793,40.3337
37,34.9013,40.1869
38,31.9145,39.9692
39,30.9845,39.7388
40,31.6209,39.5359
41,30.9825,39.3273
42,30.8366,39.1251
43,30.6631,38.9283
44,30.3710,38.7338
45,30.3538,38.5476
46,35.2207,38.4753
47,35.3212,38.4082
48,33.4783,38.3055
49,32.5821,38.1887
50,31.4150,38.0532
51,30.9941,37.9148
52,32.0467,37.8019
53,34.3219,37.7363
54,37.4942,37.7318
55,31.6902,37.6219
56,30.2836,37.4909
57,25.8456,37.2866
58,22.9222,37.0389
59,21.7446,36.7797
60,19.3762,36.4897
61,19.1430,36.2053
62,17.9140,35.9103
63,20.3794,35.6637
64,22.9087,35.4644
65,27.1869,35.3371
66,27.7506,35.2221
67,26.9065,35.0980
68,26.7814,34.9757
69,21.2736,34.7771
70,19.3201,34.5563
71,15.6837,34.2905
72,15.3520,34.0275
73,16.5192,33.7876
74,16.4788,33.5537
75,16.0611,33.3205
76,15.8226,33.0903
77,16.2561,32.8716
78,18.1359,32.6827
79,17.4944,32.4905
80,18.8826,32.3204
81,19.0195,32.1562
82,21.1174,32.0215
83,22.7895,31.9103
84,23.5872,31.8112
85,23.4862,31.7133
86,20.7155,31.5854
87,18.3178,31.4329
88,18.6472,31.2876
89,18.5830,31.1449
90,18.9049,31.0089
91,19.0904,30.8779
92,18.8476,30.7471
93,20.0441,30.6320
94,21.3022,30.5328
95,24.5276,30.4696
96,28.7290,30.4514
97,29.6555,30.4432
98,34.4101,30.4837
99,39.3682,30.5735
100,39.6789,30.6645
101,34.2039,30.6996
102,29.9219,30.6919
103,32.4925,30.7094
104,36.1784,30.7620
105,41.6928,30.8661
106,45.6707,31.0058
107,50.7361,31.1902
108,49.5456,31.3601
109,46.4650,31.4987
110,46.9938,31.6396
111,48.7377,31.7936
112,36.1183,31.8322
113,30.7799,31.8229
114,23.7451,31.7520
115,18.7831,31.6393
116,17.1021,31.5139
117,15.8619,31.3802
118,17.7219,31.2644
119,20.1790,31.1713
120,19.0500,31.0703
121,17.8789,30.9612
122,16.0343,30.8389
123,16.3338,30.7210
124,16.3902,30.6054
125,16.0902,30.4893
126,16.6155,30.3792
127,17.4713,30.2775
128,17.6598,30.1789
129,18.6979,30.0899
130,18.5188,30.0009
131,17.6337,29.9065
132,17.7690,29.8146
133,17.5436,29.7223
134,17.3677,29.6301
135,16.2914,29.5313
136,14.4425,29.4204
137,16.3585,29.3250
138,20.6082,29.2619
139,22.9289,29.2163
140,43.7203,29.3199
141,51.3208,29.4759
142,48.8045,29.6120
143,41.0450,29.6920
144,43.2478,29.7861
145,44.4191,29.8871
146,44.7019,29.9885
147,43.5979,30.0811
148,33.5472,30.1045
149,30.2198,30.1053
150,27.9144,30.0907
151,27.7536,30.0752
152,27.5194,30.0584
153,27.6487,30.0427
154,27.8146,30.0282
155,27.6242,30.0127
156,27.5405,29.9968
157,27.1437,29.9787
158,23.8536,29.9399
159,27.2383,29.9229
160,23.1227,29.8804
161,19.1362,29.8137
162,16.1222,29.7291
163,14.1541,29.6336
164,13.7706,29.5369
165,15.0937,29.4493
166,15.1940,29.3635
167,12.9500,29.2652
168,11.8474,29.1615
169,13.4202,29.0684
170,10.6542,28.9600
171,8.5693,28.8408
172,6.7149,28.7122
173,5.2757,28.5767
174,4.6978,28.4394
175,4.9979,28.3055
176,4.8782,28.1724
177,4.2767,28.0374
178,3.5496,27.8998
179,3.3021,27.7624
180,3.2923,27.6264
181,2.9647,27.4902
182,2.9756,27.3555
183,3.6093,27.2257
184,4.5058,27.1023
185,5.7611,26.9869
186,4.7729,26.8675
