Frame,MSE_DefMean,MSE_Ours_BayF,MSE_Ours_KF,MSE_Ideal,MSE_BestHist,Avg_DefMean,Avg_Ours_BayF,Avg_Ours_KF,Avg_Ideal,Avg_BestHist
60,39.1996,39.1996,40.9862,39.0103,39.3631,34.5714,34.5714,35.3709,35.1530,36.3693
61,39.8598,39.8598,40.4672,39.8589,40.0003,34.6581,34.6581,35.4545,35.2302,36.4288
62,38.8670,38.8666,40.0807,38.7082,38.9784,34.7260,34.7260,35.5291,35.2863,36.4700
63,36.5531,36.5528,37.4435,36.3608,36.6935,34.7550,34.7550,35.5595,35.3033,36.4735
64,36.4016,36.4011,37.1613,36.5276,36.5276,34.7807,34.7807,35.5845,35.3225,36.4744
65,36.6053,36.6049,36.9594,36.4058,36.4058,34.8088,34.8088,35.6057,35.3391,36.4733
66,36.6682,36.6679,36.6509,36.3601,36.3601,34.8370,34.8369,35.6215,35.3546,36.4716
67,36.0272,36.0270,35.8880,36.2288,36.2288,34.8547,34.8547,35.6255,35.3676,36.4680
68,36.0337,36.0335,35.7047,36.2587,36.2587,34.8721,34.8720,35.6266,35.3807,36.4649
69,35.2697,35.2697,34.8591,35.6121,36.4244,34.8778,34.8778,35.6155,35.3841,36.4643
70,33.9706,33.9705,33.6520,34.3355,36.9129,34.8649,34.8648,35.5875,35.3691,36.4707
71,32.7540,32.7538,32.5308,33.5959,36.9344,34.8351,34.8351,35.5444,35.3441,36.4772
72,34.5299,34.5299,33.6543,35.6202,35.9512,34.8309,34.8309,35.5182,35.3480,36.4699
73,35.1006,35.1007,34.2428,33.4912,35.4351,34.8346,34.8346,35.5007,35.3225,36.4558
74,36.0623,36.0623,33.2952,37.2893,37.2893,34.8512,34.8511,35.4709,35.3491,36.4670
75,29.5930,29.5930,30.9303,31.3287,34.5908,34.7811,34.7810,35.4103,35.2955,36.4420
76,32.5874,32.5864,30.8481,32.9808,33.9143,34.7522,34.7522,35.3503,35.2651,36.4087
77,32.2194,32.2183,29.2782,32.5364,33.5384,34.7193,34.7193,35.2715,35.2296,36.3715
78,32.7548,32.7532,30.5629,34.0376,35.3821,34.6941,34.6940,35.2111,35.2143,36.3588
79,33.3822,33.3812,33.0516,33.3608,37.4540,34.6775,34.6774,35.1838,35.1909,36.3726
80,33.5584,33.5583,33.4698,34.6509,38.8110,34.6635,34.6634,35.1623,35.1841,36.4031
81,33.7985,33.7979,33.4454,35.2975,39.8665,34.6529,34.6528,35.1411,35.1855,36.4459
82,33.7174,33.7171,34.0563,34.6622,37.7553,34.6414,34.6413,35.1279,35.1791,36.4618
83,33.4913,33.4902,33.7689,35.1082,37.1992,34.6276,34.6275,35.1115,35.1783,36.4707
84,33.7319,33.7319,34.3048,34.6639,39.4049,34.6169,34.6168,35.1019,35.1722,36.5057
85,33.6265,33.6265,34.1464,36.3202,38.4386,34.6053,34.6052,35.0907,35.1857,36.5284
86,34.9574,34.9574,34.7710,36.1789,41.1111,34.6094,34.6093,35.0870,35.1972,36.5817
87,32.8773,32.8773,34.1916,35.4242,38.1220,34.5895,34.5894,35.0767,35.1998,36.5994
88,32.7893,32.7892,34.6935,37.3654,37.7184,34.5690,34.5689,35.0723,35.2244,36.6121
89,32.1947,32.1947,34.8624,35.2077,38.9204,34.5423,34.5422,35.0700,35.2243,36.6380
90,30.4817,30.4848,32.5899,33.2590,33.2590,34.4972,34.4971,35.0424,35.2024,36.6005
91,28.8272,26.9128,30.2674,31.0990,31.8047,34.4349,34.4138,34.9899,35.1573,36.5478
92,27.0463,25.1424,28.6144,29.8564,33.8870,34.3546,34.3130,34.9206,35.0997,36.5189
93,26.4212,24.4271,26.8067,29.3494,34.0266,34.2693,34.2067,34.8334,35.0379,36.4921
94,23.6202,21.9684,25.8810,26.1693,29.1008,34.1560,34.0765,34.7381,34.9435,36.4134
95,25.1053,23.1100,27.2878,28.1615,29.7575,34.0607,33.9611,34.6597,34.8721,36.3434
96,30.0625,28.1169,26.1314,32.6165,33.8087,34.0191,33.9002,34.5709,34.8486,36.3170
97,30.5106,28.6510,25.2285,33.1090,33.8870,33.9829,33.8461,34.4746,34.8307,36.2919
98,30.6020,28.9564,27.5271,32.8701,34.3229,33.9484,33.7962,34.4037,34.8107,36.2718
99,30.6338,30.5341,29.6960,32.7331,35.3642,33.9149,33.7632,34.3561,34.7897,36.2627
100,30.7830,30.8622,32.1742,33.0350,36.3012,33.8836,33.7342,34.3343,34.7722,36.2631
101,30.6637,30.7419,32.4437,33.3872,36.6461,33.8517,33.7046,34.3156,34.7585,36.2668
102,30.3078,30.3170,32.4515,32.6238,36.4009,33.8170,33.6714,34.2973,34.7375,36.2682
103,29.9239,29.8387,33.4707,32.8441,35.5505,33.7792,33.6342,34.2893,34.7191,36.2612
104,31.7466,31.6823,35.0466,34.6821,36.9577,33.7596,33.6154,34.2966,34.7188,36.2679
105,34.7806,34.6920,32.7455,34.7822,40.0231,33.7694,33.6257,34.2818,34.7194,36.3037
106,33.2624,33.0465,32.5213,33.4605,40.2229,33.7646,33.6202,34.2652,34.7075,36.3406
107,29.0729,28.3547,31.2073,31.1688,34.7872,33.7207,33.5710,34.2366,34.6744,36.3261
108,28.8273,27.9230,29.3250,30.6996,34.7716,33.6754,33.5187,34.1911,34.6376,36.3117
109,28.6978,27.7743,29.0222,30.9004,34.5456,33.6298,33.4660,34.1437,34.6034,36.2955
110,24.8191,24.2335,25.0081,29.6787,31.6008,33.5497,33.3821,34.0607,34.5586,36.2528
111,24.1756,24.0123,22.4276,27.4223,31.5863,33.4652,33.2977,33.9559,34.4943,36.2108
112,24.4613,23.8327,20.8791,27.7889,31.5892,33.3848,33.2131,33.8391,34.4344,36.1695
113,30.0484,29.8161,20.1781,32.4387,33.6326,33.3553,33.1831,33.7182,34.4168,36.1471
114,29.3238,29.4594,19.0737,31.3197,37.4046,33.3199,33.1504,33.5897,34.3896,36.1581
115,28.9022,29.3304,20.1751,30.9141,36.0772,33.2815,33.1172,33.4731,34.3594,36.1574
116,29.1035,29.5765,23.8858,30.9641,34.3622,33.2455,33.0867,33.3904,34.3301,36.1419
117,34.1088,33.0005,31.1365,34.8855,40.2997,33.2529,33.0859,33.3712,34.3349,36.1775
118,33.2048,33.1202,29.8273,33.7967,38.5173,33.2525,33.0862,33.3412,34.3303,36.1973
119,33.6482,33.5502,28.8645,36.2200,41.9420,33.2558,33.0901,33.3035,34.3462,36.2456
120,35.8806,35.6493,29.5555,39.6104,42.7121,33.2777,33.1115,33.2723,34.3900,36.2995
121,36.5083,35.6328,30.1593,37.4648,43.0704,33.3044,33.1323,33.2466,34.4155,36.3554
122,32.2410,31.4707,29.9822,34.3557,34.3557,33.2956,33.1187,33.2198,34.4150,36.3390
123,31.1754,31.4631,31.7215,33.0187,33.0187,33.2784,33.1052,33.2076,34.4036,36.3120
124,34.5355,34.2408,32.0391,35.7034,38.2009,33.2885,33.1144,33.1982,34.4141,36.3273
125,33.2323,32.9580,33.1402,36.2263,36.8030,33.2881,33.1131,33.1977,34.4286,36.3311
126,34.1603,33.4361,32.4891,35.3519,38.9483,33.2950,33.1157,33.1921,34.4359,36.3518
127,32.3670,31.7050,31.5081,35.3730,38.8449,33.2877,33.1046,33.1789,34.4433,36.3715
128,31.9188,31.7349,30.8479,34.9437,36.0379,33.2770,33.0939,33.1607,34.4472,36.3689
129,31.8858,31.4136,30.6006,34.4939,39.0137,33.2662,33.0809,33.1408,34.4476,36.3894
130,31.1099,30.8326,29.9483,34.8269,35.7831,33.2496,33.0636,33.1162,34.4505,36.3847
131,30.9753,30.2247,30.6916,33.9056,35.1601,33.2323,33.0419,33.0977,34.4463,36.3754
132,29.8536,28.9947,30.5600,33.0908,33.5075,33.2067,33.0112,33.0785,34.4361,36.3536
133,29.4399,28.5231,29.7590,32.0356,32.2442,33.1784,32.9775,33.0536,34.4180,36.3227
134,29.2928,28.4433,29.5481,30.8543,32.1132,33.1494,32.9436,33.0274,34.3914,36.2913
135,29.7531,29.0171,29.5352,31.6704,33.5736,33.1242,32.9146,33.0015,34.3713,36.2712
136,31.7703,31.3498,30.2016,32.1632,35.2662,33.1143,32.9031,32.9809,34.3550,36.2638
137,31.8562,31.3477,31.0640,33.4074,34.6589,33.1051,32.8917,32.9669,34.3481,36.2521
138,32.3367,31.6706,32.1690,33.4856,33.9228,33.0995,32.8829,32.9612,34.3419,36.2352
139,32.5746,32.2974,32.6991,34.0730,34.0831,33.0957,32.8786,32.9593,34.3399,36.2197
140,32.3847,31.8175,33.2034,33.6528,33.8397,33.0907,32.8711,32.9610,34.3350,36.2027
141,31.9655,30.5696,30.3660,31.3140,33.2663,33.0827,32.8547,32.9426,34.3136,36.1819
142,32.8140,32.1286,30.8071,32.2474,32.6709,33.0808,32.8496,32.9276,34.2990,36.1572
143,29.6161,30.3041,29.0956,30.6913,34.3204,33.0566,32.8318,32.9008,34.2738,36.1443
144,29.0922,31.2206,28.9521,29.3381,33.5920,33.0290,32.8206,32.8734,34.2395,36.1266
145,28.5260,29.3057,28.7884,31.3680,32.5149,32.9980,32.7964,32.8452,34.2197,36.1017
146,30.2387,29.3727,28.5767,30.6148,33.9752,32.9791,32.7729,32.8160,34.1950,36.0871
147,28.3738,28.1120,27.8915,28.4923,31.9429,32.9477,32.7412,32.7825,34.1562,36.0589
148,26.4425,26.2909,25.4078,26.7305,29.5971,32.9038,32.6977,32.7326,34.1061,36.0153
149,26.9577,26.9061,25.8537,28.1390,29.0307,32.8639,32.6588,32.6865,34.0660,35.9684
150,25.8916,25.4956,25.1373,26.2768,27.3894,32.8174,32.6110,32.6361,34.0141,35.9112
151,23.7306,22.5954,23.9336,22.0965,22.4652,32.7572,32.5447,32.5785,33.9352,35.8222
152,22.9208,22.0900,23.1566,21.7269,22.1187,32.6925,32.4759,32.5165,33.8549,35.7320
153,24.2398,22.7735,20.5849,22.4449,23.6568,32.6373,32.4125,32.4385,33.7803,35.6531
154,23.7094,22.1966,20.3138,22.4904,25.3449,32.5793,32.3462,32.3598,33.7070,35.5861
155,24.3304,22.3962,20.7428,23.0645,24.1692,32.5261,32.2820,32.2848,33.6383,35.5125
156,24.5338,22.6117,21.2625,23.3043,25.6491,32.4748,32.2200,32.2142,33.5721,35.4493
157,26.0859,24.4134,23.5318,25.1945,26.5255,32.4341,32.1703,32.1589,33.5187,35.3924
158,30.0713,29.1529,26.4305,29.9696,29.9696,32.4192,32.1512,32.1226,33.4962,35.3581
159,28.4689,27.6386,26.7705,28.2246,29.6497,32.3943,32.1228,32.0890,33.4631,35.3222
160,30.2338,26.7713,25.9775,27.1146,27.1146,32.3808,32.0893,32.0508,33.4234,35.2709
161,23.1552,21.2729,23.7406,25.0034,25.4307,32.3235,32.0222,31.9992,33.3711,35.2098
162,22.6853,20.7279,22.7648,25.2024,25.4803,32.2640,31.9524,31.9422,33.3207,35.1497
163,26.8925,26.1224,22.8301,29.7442,30.0204,32.2311,31.9167,31.8863,33.2987,35.1183
164,23.7529,20.8784,23.0043,24.8770,24.8770,32.1794,31.8494,31.8321,33.2474,35.0558
