Frame,MSE_DefMean,MSE_Ours_BayF,MSE_Ours_KF,MSE_Ideal,MSE_BestHist,Avg_DefMean,Avg_Ours_BayF,Avg_Ours_KF,Avg_Ideal,Avg_BestHist
1,19.7012,17.7117,19.0604,13.9151,21.7170,19.7012,17.7117,19.0604,13.9151,21.7170
2,20.9476,18.6638,19.6555,15.0570,15.0570,20.3244,18.1878,19.3580,14.4860,18.3870
3,23.7707,20.8045,21.4595,19.3381,19.5593,21.4732,19.0600,20.0585,16.1034,18.7778
4,23.1865,20.7627,20.6564,20.2017,20.2017,21.9015,19.4857,20.2080,17.1280,19.1338
5,20.0163,18.8562,18.9905,17.3194,17.3194,21.5244,19.3598,19.9645,17.1663,18.7709
6,21.1912,18.8995,18.8306,18.6430,18.6430,21.4689,19.2831,19.7755,17.4124,18.7496
7,20.8604,19.3059,18.9101,18.0291,18.0291,21.3820,19.2863,19.6519,17.5005,18.6467
8,16.3328,15.1915,16.0488,14.3671,14.8520,20.7508,18.7745,19.2015,17.1088,18.1723
9,16.5971,14.7567,15.6120,14.3136,14.8061,20.2893,18.3281,18.8026,16.7982,17.7983
10,15.6332,14.2125,15.1889,14.5223,15.1540,19.8237,17.9165,18.4413,16.5706,17.5339
11,15.5290,13.9602,14.7325,14.6142,15.1622,19.4333,17.5568,18.1041,16.3928,17.3183
12,15.9236,14.3256,14.7270,15.1350,15.6343,19.1408,17.2876,17.8227,16.2880,17.1779
13,18.6111,17.2259,16.5679,18.0783,19.2591,19.1001,17.2828,17.7262,16.4257,17.3380
14,20.1152,18.7722,16.3759,18.0092,18.0774,19.1726,17.3892,17.6297,16.5388,17.3908
15,20.6057,19.1455,17.9191,16.5306,21.3246,19.2681,17.5063,17.6490,16.5383,17.6531
16,21.2698,19.7104,18.5836,20.4302,21.0169,19.3932,17.6441,17.7074,16.7815,17.8633
17,22.4787,20.2518,20.1983,19.9747,22.0405,19.5747,17.7974,17.8539,16.9693,18.1090
18,21.7639,20.0260,21.0697,19.8194,22.2194,19.6963,17.9213,18.0326,17.1277,18.3374
19,21.6564,19.8958,20.8918,18.6582,22.5433,19.7995,18.0252,18.1831,17.2082,18.5588
20,21.8643,19.2480,21.5648,19.5718,21.6499,19.9027,18.0863,18.3522,17.3264,18.7133
21,22.3563,18.2999,21.2414,16.2328,20.6912,20.0196,18.0965,18.4897,17.2743,18.8075
22,23.0193,18.5432,20.8810,19.5895,22.9821,20.1559,18.1168,18.5984,17.3796,18.9973
23,21.0897,19.2184,20.7685,15.5553,24.1468,20.1965,18.1647,18.6928,17.3003,19.2212
24,22.6686,20.6414,22.1090,18.5499,26.9129,20.2995,18.2679,18.8351,17.3523,19.5416
25,22.0875,19.5345,21.8852,18.8349,26.2142,20.3710,18.3186,18.9571,17.4116,19.8085
26,23.9611,20.9671,22.6405,20.9161,27.7139,20.5091,18.4204,19.0988,17.5464,20.1126
27,22.9352,19.6924,21.9419,23.5055,25.3981,20.5990,18.4675,19.2041,17.7671,20.3084
28,23.8104,21.9470,20.5302,22.9669,26.1060,20.7137,18.5918,19.2515,17.9528,20.5154
29,19.9660,18.7623,20.1298,21.4754,22.4759,20.6879,18.5977,19.2817,18.0743,20.5830
30,16.3453,16.9223,18.5431,20.4367,20.9378,20.5431,18.5418,19.2571,18.1530,20.5948
31,15.1777,16.3695,16.7253,16.4173,21.2940,20.3701,18.4718,19.1755,18.0970,20.6174
32,13.2367,14.1181,14.3364,14.3185,19.3911,20.1471,18.3357,19.0242,17.9790,20.5791
33,12.7270,13.5154,13.1526,12.9569,18.7147,19.9223,18.1896,18.8463,17.8268,20.5226
34,21.5577,22.8257,14.1660,22.5425,23.5769,19.9704,18.3260,18.7086,17.9655,20.6124
35,19.2728,18.6236,15.0892,17.8220,19.6547,19.9505,18.3345,18.6052,17.9614,20.5850
36,22.3929,24.5445,17.1297,23.4567,25.0193,20.0183,18.5070,18.5643,18.1140,20.7082
37,21.0939,23.2988,19.6589,22.4362,22.4607,20.0474,18.6365,18.5938,18.2308,20.7556
38,18.9372,19.8667,19.6347,19.0078,20.2534,20.0182,18.6689,18.6212,18.2513,20.7424
39,15.8846,17.8819,17.2339,16.1286,17.8741,19.9122,18.6487,18.5857,18.1969,20.6688
40,18.8233,18.9367,17.6129,18.3290,18.8937,19.8849,18.6559,18.5613,18.2002,20.6244
41,19.0800,18.8349,17.7489,18.3587,18.4196,19.8653,18.6603,18.5415,18.2040,20.5707
42,25.8044,26.9736,24.8031,24.7528,24.9614,20.0067,18.8582,18.6906,18.3600,20.6752
43,25.7131,26.5236,25.1662,24.5665,24.8065,20.1394,19.0365,18.8412,18.5043,20.7713
44,26.2057,27.7250,26.8051,25.9096,25.9265,20.2773,19.2339,19.0222,18.6726,20.8885
45,26.0397,28.9364,27.2121,25.9212,26.6888,20.4053,19.4495,19.2042,18.8337,21.0173
46,22.9240,26.4756,26.2662,23.3910,23.9202,20.4601,19.6023,19.3577,18.9328,21.0805
47,16.7087,21.4899,23.9557,20.5775,21.4682,20.3803,19.6424,19.4555,18.9677,21.0887
48,15.5880,20.8081,21.8773,18.3770,18.7289,20.2804,19.6667,19.5060,18.9554,21.0395
49,14.8584,18.5651,20.7361,18.0135,18.4009,20.1698,19.6442,19.5311,18.9362,20.9857
50,14.8693,16.8875,19.2805,17.6324,17.6818,20.0638,19.5891,19.5261,18.9101,20.9196
51,15.3226,17.8540,18.5097,17.7179,17.7179,19.9708,19.5551,19.5062,18.8868,20.8568
52,16.3940,18.0341,18.0626,17.4618,18.3160,19.9020,19.5258,19.4784,18.8594,20.8080
53,19.3557,19.1993,18.9490,20.3642,20.6989,19.8917,19.5197,19.4684,18.8878,20.8059
54,20.5369,20.2616,18.9755,22.1982,22.1982,19.9037,19.5334,19.4593,18.9491,20.8317
55,22.1237,22.2431,19.2549,22.9846,22.9846,19.9440,19.5827,19.4556,19.0224,20.8708
56,24.0352,24.5150,19.5730,21.3775,21.3775,20.0171,19.6708,19.4577,19.0645,20.8799
57,24.7544,23.2215,19.7997,19.9932,19.9932,20.1002,19.7331,19.4637,19.0808,20.8643
58,25.3922,23.3983,20.7316,20.1621,20.1621,20.1914,19.7962,19.4855,19.0994,20.8522
59,26.1605,23.9899,21.9057,20.6447,20.6447,20.2926,19.8673,19.5266,19.1256,20.8487
60,26.6912,23.0450,22.9850,20.7895,20.7895,20.3993,19.9203,19.5842,19.1533,20.8477
61,26.0207,21.7525,21.9684,19.3616,19.3616,20.4914,19.9503,19.6233,19.1568,20.8234
62,28.0393,22.1362,22.6570,22.0145,22.0145,20.6132,19.9856,19.6722,19.2029,20.8426
63,27.4459,21.8631,21.3070,21.7580,21.7580,20.7216,20.0154,19.6982,19.2434,20.8571
64,19.8513,15.0341,17.4570,13.4005,13.4005,20.7080,19.9375,19.6631,19.1521,20.7406
65,20.0542,14.8840,16.2114,13.3193,13.3193,20.6980,19.8598,19.6100,19.0624,20.6264
66,19.6984,14.8963,15.5524,12.5631,12.5631,20.6828,19.7846,19.5486,18.9639,20.5043
67,20.7110,14.9199,15.0613,12.6034,12.6034,20.6832,19.7120,19.4816,18.8690,20.3863
68,21.2872,15.9359,15.3485,13.2298,13.2445,20.6921,19.6565,19.4208,18.7860,20.2813
69,21.8383,14.8181,14.5396,11.4310,11.4310,20.7087,19.5863,19.3501,18.6795,20.1530
70,20.9952,15.5019,14.3136,12.5448,12.5448,20.7128,19.5280,19.2781,18.5918,20.0443
71,23.6486,16.6357,14.7854,13.6526,13.6526,20.7542,19.4873,19.2148,18.5222,19.9543
72,21.6849,14.4582,14.7513,11.3054,11.3661,20.7671,19.4174,19.1528,18.4220,19.8350
73,21.3835,15.1711,14.9949,11.7648,11.7648,20.7755,19.3592,19.0959,18.3308,19.7245
74,21.9004,16.1143,15.6300,14.0048,14.0048,20.7907,19.3154,19.0490,18.2724,19.6472
75,24.7290,15.1904,14.7985,13.3276,13.4727,20.8432,19.2604,18.9924,18.2064,19.5649
76,29.3464,18.6041,18.2627,19.3974,19.3974,20.9551,19.2517,18.9828,18.2221,19.5627
77,25.3099,25.3297,20.2941,27.0690,27.0690,21.0117,19.3307,18.9998,18.3370,19.6602
78,26.6286,26.6286,21.8959,26.9808,26.9808,21.0837,19.4242,19.0369,18.4478,19.7540
79,21.2235,21.2235,22.5436,23.3518,24.1846,21.0855,19.4470,19.0813,18.5099,19.8101
80,20.3825,21.2887,23.1558,21.5710,25.4194,21.0767,19.4700,19.1322,18.5482,19.8802
81,21.1789,21.8726,25.2344,22.7466,25.3604,21.0779,19.4997,19.2076,18.6000,19.9479
82,21.4349,22.6468,24.6502,22.3301,27.0417,21.0823,19.5381,19.2740,18.6455,20.0344
83,22.6089,23.6858,26.5449,24.1946,28.2513,21.1007,19.5881,19.3616,18.7123,20.1334
84,23.9378,25.3059,26.9429,25.7968,29.9724,21.1345,19.6561,19.4518,18.7967,20.2505
85,27.1100,27.5303,29.8364,26.8311,35.1367,21.2048,19.7488,19.5740,18.8912,20.4256
86,28.1361,28.4593,30.8290,27.8674,38.0035,21.2854,19.8500,19.7049,18.9956,20.6300
87,29.4703,30.3559,32.5697,29.5491,40.2494,21.3794,19.9708,19.8527,19.1169,20.8555
88,29.2632,30.1965,32.6453,29.3189,40.2588,21.4690,20.0870,19.9981,19.2328,21.0760
89,29.4589,30.5197,32.7582,29.7781,40.2691,21.5588,20.2042,20.1415,19.3513,21.2917
90,29.4466,30.4482,32.5854,29.5844,40.1955,21.6464,20.3180,20.2797,19.4650,21.5017
91,32.2682,32.7328,33.6742,32.8385,37.5673,21.7632,20.4545,20.4269,19.6120,21.6783
92,24.3518,20.0134,21.2252,20.8711,28.3907,21.7913,20.4497,20.4356,19.6256,21.7512
93,26.0700,23.0020,16.4389,23.7069,30.3665,21.8373,20.4771,20.3926,19.6695,21.8439
94,17.0419,17.1022,16.7948,16.3703,22.1577,21.7863,20.4412,20.3544,19.6344,21.8472
95,19.0117,19.5046,19.9005,19.5503,25.4762,21.7571,20.4314,20.3496,19.6335,21.8854
96,22.9779,23.1730,25.0882,23.3536,29.4523,21.7698,20.4599,20.3989,19.6723,21.9642
97,28.9452,29.1258,30.4388,29.2749,33.5008,21.8438,20.5493,20.5024,19.7713,22.0832
98,28.7632,29.0011,30.9074,29.1241,33.4614,21.9144,20.6355,20.6086,19.8667,22.1993
99,29.0782,29.3124,30.8096,29.4325,33.5991,21.9867,20.7231,20.7117,19.9634,22.3144
100,29.2543,29.4987,30.6561,29.6445,29.6579,22.0594,20.8109,20.8111,20.0602,22.3879
