Frame,MSE_KF,Avg_MSE_KF
1,15.6528,15.6528
2,16.3214,15.9871
3,16.9084,16.2942
4,16.9084,16.4477
5,17.3870,16.6356
6,15.6255,16.4673
7,14.9448,16.2498
8,14.9014,16.0812
9,14.6255,15.9195
10,14.6233,15.7899
11,14.3652,15.6603
12,14.1985,15.5385
13,13.5812,15.3880
14,13.3717,15.2439
15,12.8112,15.0818
16,13.1820,14.9630
17,13.6179,14.8839
18,13.7466,14.8207
19,13.9092,14.7727
20,14.0419,14.7362
21,13.5831,14.6813
22,12.1314,14.5654
23,11.9211,14.4504
24,12.7115,14.3780
25,13.4684,14.3416
26,12.7168,14.2791
27,12.3517,14.2077
28,11.6911,14.1178
29,10.9411,14.0083
30,10.7951,13.9012
31,11.0420,13.8089
32,11.5821,13.7394
33,12.1339,13.6907
34,13.2890,13.6789
35,12.8656,13.6557
36,12.9394,13.6358
37,13.0189,13.6191
38,13.8217,13.6244
39,14.3112,13.6420
40,13.4627,13.6375
41,13.2399,13.6278
42,12.6669,13.6050
43,13.5121,13.6028
44,14.9834,13.6342
45,19.4960,13.7644
46,24.4762,13.9973
47,32.1781,14.3841
48,36.2787,14.8403
49,37.7404,15.3076
50,36.8051,15.7376
51,35.2747,16.1207
52,34.5988,16.4760
53,34.0939,16.8084
54,34.0844,17.1283
55,34.6270,17.4465
56,36.2399,17.7821
57,39.2542,18.1588
58,40.1212,18.5375
59,41.8979,18.9334
60,40.3335,19.2901
61,40.8439,19.6434
62,40.3986,19.9782
63,42.6191,20.3376
64,46.6600,20.7488
65,43.3989,21.0973
66,46.2826,21.4789
67,29.2254,21.5945
68,26.7160,21.6698
69,23.2111,21.6922
70,19.6828,21.6635
71,16.4579,21.5901
72,14.7649,21.4954
73,13.9283,21.3917
74,15.3026,21.3094
75,16.4954,21.2452
76,17.0089,21.1895
77,16.9949,21.1350
78,18.1912,21.0973
79,19.0031,21.0708
80,19.0544,21.0456
81,19.4944,21.0264
82,20.3314,21.0179
83,20.7472,21.0147
84,21.4401,21.0197
85,22.0483,21.0318
86,22.4329,21.0481
87,22.3184,21.0627
88,22.4489,21.0785
89,22.4285,21.0936
90,22.4149,21.1083
91,22.3067,21.1215
92,22.3102,21.1344
93,22.2645,21.1466
94,22.4849,21.1608
95,21.9961,21.1696
96,29.0786,21.2520
97,32.7380,21.3704
98,35.0455,21.5099
99,39.0567,21.6872
100,43.2555,21.9029
101,43.7788,22.1195
102,43.6629,22.3307
103,37.3466,22.4765
104,33.1818,22.5794
105,31.8127,22.6673
106,34.3579,22.7776
107,35.1839,22.8936
108,33.9807,22.9962
109,32.7059,23.0853
110,32.4807,23.1707
111,32.8075,23.2575
112,32.9257,23.3439
113,33.5101,23.4338
114,33.3027,23.5204
115,33.6353,23.6083
116,33.2831,23.6917
117,33.7445,23.7777
118,33.8538,23.8631
119,34.3832,23.9515
120,34.3777,24.0383
121,34.3926,24.1239
122,34.1567,24.2062
123,34.1133,24.2867
124,33.9840,24.3649
125,34.0068,24.4420
