Frame,MSE_DefMean,MSE_Ours_BayF,MSE_Ours_KF,MSE_Ideal,MSE_BestHist,Avg_DefMean,Avg_Ours_BayF,Avg_Ours_KF,Avg_Ideal,Avg_BestHist
1,44.5672,44.5672,44.4519,43.6880,44.9294,44.5672,44.5672,44.4519,43.6880,44.9294
2,44.5672,44.5672,44.4519,43.6880,43.6880,44.5672,44.5672,44.4519,43.6880,44.3087
3,44.5672,44.5672,44.4519,43.6880,43.6880,44.5672,44.5672,44.4519,43.6880,44.1018
4,44.5672,44.5672,44.4519,43.6880,43.6880,44.5672,44.5672,44.4519,43.6880,43.9983
5,43.8873,43.8873,43.7753,43.0532,43.0532,44.4313,44.4313,44.3166,43.5610,43.8093
6,43.8873,43.8873,43.7753,43.0532,43.0532,44.3406,44.3406,44.2264,43.4764,43.6833
7,42.2723,42.2723,42.1746,41.6387,41.6387,44.0451,44.0451,43.9333,43.2139,43.3912
8,42.1599,42.1599,42.2086,41.9204,44.1226,43.8095,43.8095,43.7177,43.0522,43.4826
9,42.1599,42.1599,42.2419,41.9204,44.1226,43.6262,43.6262,43.5537,42.9264,43.5537
10,43.4450,43.4450,43.2192,43.4804,44.8099,43.6081,43.6081,43.5203,42.9818,43.6794
11,43.6333,43.6333,43.6458,43.8148,45.3045,43.6104,43.6104,43.5317,43.0576,43.8271
12,42.9443,42.9443,43.1176,43.2662,43.2662,43.5549,43.5549,43.4972,43.0749,43.7804
13,43.2659,43.2659,43.3796,43.6538,43.9128,43.5326,43.5326,43.4881,43.1195,43.7905
14,41.5821,41.5821,41.9551,42.3793,42.3793,43.3933,43.3933,43.3786,43.0666,43.6897
15,41.5113,41.5113,41.9126,42.3516,42.3516,43.2678,43.2678,43.2809,43.0189,43.6005
16,40.6754,40.6754,41.0176,41.6826,41.6826,43.1058,43.1058,43.1394,42.9354,43.4807
17,39.6584,39.6584,39.7826,41.8395,41.8395,42.9030,42.9030,42.9420,42.8709,43.3841
18,39.8890,39.8890,40.0025,42.1039,42.1039,42.7356,42.7356,42.7787,42.8283,43.3130
19,39.5656,39.5656,39.6670,41.2003,42.5882,42.5687,42.5687,42.6149,42.7426,43.2748
20,39.2446,39.2446,39.2391,40.7453,42.7859,42.4025,42.4025,42.4461,42.6428,43.2504
21,39.2538,39.2538,39.4186,40.7130,42.8027,42.2526,42.2526,42.3019,42.5509,43.2291
