Frame,MSE_DefMean,MSE_BestEnvelope,MSE_Ours_BayF,MSE_Ours_KF
1,45.0577,41.7967,45.0577,48.6010
2,45.0577,41.7967,45.0577,48.6010
3,43.7374,41.7005,43.7374,47.1295
4,43.7374,41.7005,43.7374,47.1295
5,39.9513,37.6134,39.9513,45.4039
6,40.5953,38.4210,40.5953,45.1318
7,47.9876,40.8116,47.9876,45.5538
8,39.6734,35.3662,39.6734,43.7778
9,46.7955,37.5407,46.7955,44.5386
10,69.4317,58.2932,69.4311,45.3557
11,39.9223,37.6653,39.9221,43.0374
12,70.3924,62.6699,70.3916,43.6581
13,71.7058,56.9995,71.7048,52.2216
14,54.9089,52.5959,54.9087,52.7713
15,38.2689,36.1399,38.2684,44.9933
16,44.0982,39.0848,44.0979,46.4523
17,45.2181,39.1206,45.2181,41.9319
18,41.4762,35.0557,41.4759,37.8933
19,41.6842,35.3889,41.6831,38.7790
20,41.4067,35.0537,41.4056,40.0237
21,50.5436,44.2338,50.5428,42.3512
22,50.5084,44.9876,50.5047,43.6447
23,48.6309,42.3896,48.6297,46.0407
24,39.5462,30.0453,39.5426,44.0053
25,44.4575,40.2514,44.4562,43.0920
26,38.2599,26.4394,38.2570,42.6322
27,26.0131,22.4431,26.0116,40.2389
28,26.5135,24.5993,26.6769,34.9417
29,26.5917,25.1388,26.7625,27.5806
30,26.6085,24.8586,26.7752,26.0450
31,26.2112,24.8999,26.5614,25.8172
32,25.6384,24.8589,25.7420,26.6780
33,26.0074,27.7062,26.1523,26.8331
34,26.1309,27.5735,26.3169,26.2187
35,38.0854,40.2888,38.9966,26.9368
36,38.1126,39.8449,39.3811,28.0258
37,24.3326,26.4782,25.1495,27.8450
38,29.2515,29.2788,30.6275,29.8109
39,28.2201,29.5847,29.5218,30.5888
40,28.0995,26.3513,27.4398,28.2145
41,27.1074,24.9618,24.6103,27.1669
42,25.9289,25.1737,23.8597,25.8950
43,22.3268,23.2264,21.7985,22.0235
44,20.3960,21.2297,20.3175,20.1819
45,17.0997,17.1961,17.9611,16.8083
46,16.1338,15.8154,17.3016,16.1029
47,15.2856,14.9872,17.2080,15.2204
48,14.4353,13.6514,16.7266,14.1236
49,14.1695,13.2657,16.4433,13.8152
50,13.3353,12.7713,15.6174,13.1084
51,16.1235,14.5268,19.3544,14.8001
52,15.3493,15.4495,17.0107,15.3016
53,14.6217,14.6660,17.2020,13.5371
54,20.4903,19.8230,23.7956,11.7982
55,18.9556,18.9755,21.4512,11.1557
56,20.8791,19.9458,22.9949,12.8127
57,18.8408,18.3629,19.8296,15.4111
58,18.5033,18.2648,19.5854,18.9683
59,18.5033,18.2648,19.5854,19.9983
60,20.6241,19.5155,22.2397,21.1108
61,19.9490,18.4436,20.4939,20.8246
62,20.5725,19.3054,21.2216,21.0195
63,19.8842,19.2510,20.5976,20.8900
64,21.9516,24.2289,22.3012,22.1412
65,19.3160,21.7147,19.7205,20.9252
66,17.6628,19.6632,17.9902,19.6263
67,17.7198,19.5379,17.9236,18.6469
68,18.2094,19.9114,18.7566,17.8169
69,20.3160,23.6186,20.5029,18.4067
70,20.6338,21.2780,20.4044,19.2695
71,21.2695,21.9556,21.0845,19.6984
72,22.0185,22.7857,21.8404,20.3709
73,21.0381,23.0712,21.1643,20.8415
74,22.8780,26.1970,23.3844,22.8825
75,21.9165,26.0486,22.2169,22.3769
76,25.1255,25.9592,25.6057,24.5594
77,26.3342,27.4260,26.6678,25.8516
78,27.0320,27.3816,27.3059,27.0400
79,31.6043,30.3951,31.1060,30.0893
80,34.1571,32.3720,33.6832,34.6215
81,30.7837,29.0994,31.7077,35.4096
82,34.0323,33.9814,34.4921,36.3934
83,23.1763,26.6534,25.6547,34.7121
84,30.2149,31.2297,33.6636,33.4572
85,39.5986,37.3162,40.4709,35.3047
86,38.1255,38.4177,40.6014,36.8340
87,38.2642,40.7272,36.7704,35.3686
