Frame,MSE_KF,Avg_MSE_KF
1,26.2270,26.2270
2,25.9356,26.0813
3,25.6529,25.9385
4,25.5953,25.8527
5,25.9421,25.8706
6,26.2775,25.9384
7,27.0144,26.0921
8,30.0278,26.5841
9,31.6923,27.1517
10,31.0774,27.5442
11,30.2518,27.7904
12,30.2426,27.9947
13,28.4824,28.0322
14,29.1367,28.1111
15,25.9778,27.9689
16,27.8323,27.9604
17,29.8763,28.0731
18,29.4075,28.1472
19,27.8050,28.1292
20,26.6246,28.0540
21,23.3637,27.8306
22,21.7482,27.5541
23,21.3269,27.2834
24,21.2216,27.0308
25,21.0571,26.7919
26,21.2046,26.5770
27,20.9337,26.3680
28,20.4086,26.1551
29,19.9581,25.9414
30,20.2156,25.7506
31,20.1952,25.5714
32,20.3394,25.4079
33,20.4844,25.2587
34,20.8814,25.1299
35,20.6863,25.0030
36,19.3428,24.8457
37,19.0020,24.6878
38,18.7889,24.5326
39,22.1861,24.4724
40,22.5924,24.4254
41,23.3674,24.3996
42,22.2677,24.3488
43,21.6100,24.2851
44,21.3585,24.2186
45,21.3166,24.1541
46,21.2053,24.0900
47,22.3239,24.0525
48,23.7239,24.0456
49,22.9739,24.0237
50,23.0978,24.0052
51,23.0648,23.9868
52,21.4039,23.9371
53,19.8076,23.8592
54,18.6318,23.7624
55,16.5921,23.6320
56,16.1381,23.4982
57,15.7724,23.3627
58,15.0245,23.2189
59,14.7140,23.0747
60,15.7195,22.9522
61,16.2427,22.8422
62,16.8165,22.7450
63,18.5376,22.6782
64,19.4401,22.6276
65,25.0828,22.6654
66,28.2366,22.7498
67,29.2683,22.8471
68,30.8738,22.9651
69,31.4108,23.0875
70,33.1526,23.2313
71,32.9282,23.3679
72,30.5587,23.4678
73,28.2694,23.5335
74,26.9843,23.5802
75,25.5059,23.6058
76,26.5820,23.6450
77,27.7045,23.6977
78,28.8602,23.7639
79,32.5261,23.8748
80,32.9974,23.9889
81,35.0294,24.1252
82,40.6954,24.3272
83,41.0397,24.5286
84,45.1143,24.7737
85,48.5672,25.0536
86,51.0292,25.3556
87,50.3562,25.6430
88,49.6124,25.9154
89,48.4841,26.1689
90,48.2388,26.4142
91,48.2017,26.6536
92,46.8779,26.8734
93,45.8027,27.0770
94,45.7876,27.2760
95,45.6286,27.4692
96,45.8172,27.6603
97,46.2906,27.8524
98,41.7062,27.9937
99,42.0461,28.1357
100,43.0431,28.2848
101,53.4047,28.5335
102,46.7913,28.7125
103,43.6614,28.8576
104,42.1140,28.9851
105,31.7728,29.0116
106,23.8760,28.9632
107,22.9289,28.9068
108,24.4570,28.8656
109,22.9668,28.8115
110,24.7482,28.7745
111,25.6737,28.7466
112,27.8784,28.7388
113,27.7754,28.7303
114,27.6251,28.7206
115,26.9816,28.7055
116,25.9541,28.6818
117,26.6386,28.6643
118,24.4512,28.6286
119,21.9073,28.5721
120,20.2850,28.5031
121,18.8704,28.4235
122,18.4883,28.3420
123,17.8970,28.2571
124,17.4154,28.1697
125,17.4977,28.0843
126,17.3720,27.9993
127,17.3855,27.9157
128,17.3498,27.8332
129,17.1375,27.7502
130,17.0432,27.6679
131,17.0867,27.5871
132,16.8937,27.5061
133,16.7101,27.4249
134,16.7790,27.3455
135,16.7314,27.2669
136,16.7735,27.1897
137,16.8434,27.1142
138,17.1477,27.0420
139,15.2387,26.9570
140,15.4896,26.8751
141,16.6877,26.8029
142,17.8783,26.7400
143,19.8147,26.6916
144,21.6479,26.6566
145,19.5975,26.6079
146,22.6420,26.5807
147,23.0699,26.5568
148,22.6818,26.5307
149,23.4607,26.5101
150,27.4406,26.5163
151,30.3926,26.5419
152,33.6177,26.5885
153,34.7896,26.6421
154,34.9623,26.6961
155,35.8385,26.7551
156,35.8753,26.8136
157,36.6087,26.8760
158,35.0081,26.9274
159,35.4314,26.9809
160,35.6033,27.0348
161,35.9623,27.0902
162,35.9929,27.1452
163,36.1079,27.2002
164,36.0552,27.2542
165,35.3666,27.3033
166,36.8853,27.3611
167,35.6558,27.4107
168,35.8916,27.4612
169,34.8146,27.5047
170,35.2163,27.5501
171,35.3794,27.5959
172,34.7597,27.6375
173,34.1142,27.6750
174,33.4193,27.7080
175,32.5549,27.7357
176,31.1507,27.7551
177,28.9259,27.7617
178,28.6010,27.7664
179,28.9935,27.7733
180,29.2184,27.7813
181,29.2243,27.7893
182,29.6015,27.7992
183,26.4505,27.7919
184,27.7830,27.7918
185,21.2321,27.7563
186,24.0568,27.7365
187,27.1303,27.7332
188,34.0178,27.7666
189,32.3346,27.7908
190,31.4292,27.8100
191,30.7624,27.8254
192,30.5634,27.8397
193,29.8127,27.8499
194,28.9530,27.8556
195,28.2947,27.8578
196,28.0216,27.8587
197,27.6205,27.8575
198,27.4242,27.8553
199,27.5320,27.8537
200,27.5204,27.8520
201,27.4235,27.8499
202,27.4744,27.8480
203,27.8418,27.8480
204,27.9213,27.8483
205,27.7411,27.8478
206,29.3182,27.8549
207,31.8369,27.8742
208,31.0673,27.8895
209,29.8930,27.8991
210,28.0291,27.8997
211,26.1823,27.8916
212,20.3659,27.8561
