Frame,MSE_DefMean,MSE_Ours_BayF,MSE_Ours_KF,MSE_Ideal,MSE_BestHist,Avg_DefMean,Avg_Ours_BayF,Avg_Ours_KF,Avg_Ideal,Avg_BestHist
1,62.8746,63.8073,62.9414,63.4608,63.8175,62.8746,63.8073,62.9414,63.4608,63.8175
2,74.2374,75.0580,74.4296,74.7532,74.7532,68.5560,69.4327,68.6855,69.1070,69.2853
3,74.2374,75.0580,74.5669,74.7532,74.7532,70.4498,71.3078,70.6459,70.9891,71.1079
4,87.7934,88.5224,88.3794,88.2516,88.2516,74.7857,75.6115,75.0793,75.3047,75.3939
5,88.1143,88.9424,88.9515,88.6779,88.6779,77.4514,78.2776,77.8538,77.9793,78.0507
6,80.8691,81.1235,81.1973,79.8680,81.9310,78.0211,78.7519,78.4110,78.2941,78.6974
7,82.9473,81.4139,81.9258,78.0325,83.9435,78.7248,79.1322,78.9131,78.2567,79.4468
8,84.7677,81.4722,82.0065,78.3200,83.7876,79.4802,79.4247,79.2998,78.2646,79.9894
9,84.7677,81.4722,82.0881,78.3200,83.7876,80.0677,79.6522,79.6096,78.2708,80.4115
10,85.7390,81.2884,82.1418,76.9978,76.9978,80.6348,79.8158,79.8628,78.1435,80.0701
11,83.9656,78.1372,79.2993,71.6310,71.7714,80.9376,79.6632,79.8116,77.5515,79.3157
12,90.6560,76.4258,78.6601,69.4416,69.6389,81.7475,79.3935,79.7156,76.8756,78.5093
13,91.2998,77.6199,78.3513,70.5276,73.7279,82.4823,79.2570,79.6107,76.3873,78.1415
14,73.0255,62.0276,63.2339,57.3216,58.7173,81.8068,78.0263,78.4409,75.0255,76.7540
15,64.8536,55.6973,56.8080,52.6803,52.6803,80.6766,76.5377,76.9987,73.5358,75.1491
16,61.6724,53.1620,54.2447,50.6558,50.6558,79.4888,75.0768,75.5766,72.1058,73.6183
17,53.6243,46.1721,47.4402,44.4885,49.2889,77.9674,73.3765,73.9215,70.4813,72.1871
18,53.6243,46.1721,47.2890,44.4885,49.2889,76.6150,71.8651,72.4419,69.0372,70.9150
19,53.6206,47.4917,47.5011,46.8409,49.3359,75.4047,70.5823,71.1293,67.8690,69.7793
20,49.5824,44.1702,44.1985,43.5502,45.6832,74.1136,69.2617,69.7827,66.6531,68.5745
21,47.7641,42.6802,42.7288,42.0805,44.0849,72.8589,67.9959,68.4944,65.4829,67.4083
22,47.8528,42.5887,43.0507,40.0118,43.0562,71.7223,66.8411,67.3379,64.3252,66.3014
23,44.6390,40.0388,40.6212,37.4774,40.1927,70.5447,65.6757,66.1763,63.1579,65.1662
24,40.9750,37.1533,37.7362,35.0163,35.0163,69.3126,64.4873,64.9913,61.9853,63.9100
25,41.1186,36.5649,37.7934,34.4264,34.4264,68.1849,63.3704,63.9034,60.8829,62.7306
26,41.1396,36.4776,37.7468,34.4500,34.4500,67.1447,62.3361,62.8974,59.8663,61.6429
27,41.3053,36.5064,37.6259,34.2946,34.2946,66.1877,61.3794,61.9614,58.9192,60.6300
28,39.8620,35.3520,36.2317,33.2635,33.2635,65.2475,60.4499,61.0425,58.0029,59.6526
29,38.8745,34.5923,35.2799,32.5998,32.5998,64.3381,59.5582,60.1541,57.1269,58.7198
30,37.8724,33.9217,34.6508,32.5249,32.5249,63.4559,58.7037,59.3040,56.3069,57.8466
31,37.8724,33.9217,34.6508,32.5249,32.5249,62.6306,57.9043,58.5087,55.5397,57.0298
32,37.8724,33.9217,34.6508,32.5249,32.5249,61.8569,57.1548,57.7632,54.8205,56.2640
33,37.8724,33.9217,34.6508,32.5249,32.5249,61.1301,56.4508,57.0628,54.1449,55.5446
34,40.5424,36.1362,37.1644,35.1818,35.1818,60.5246,55.8533,56.4775,53.5871,54.9457
35,41.6534,37.3029,38.2222,36.3899,36.3899,59.9854,55.3233,55.9560,53.0958,54.4156
36,41.6534,37.3029,38.1248,36.3899,36.3899,59.4762,54.8227,55.4607,52.6317,53.9149
37,42.3540,37.8875,38.7754,37.2674,37.2674,59.0134,54.3650,55.0097,52.2165,53.4649
38,43.5333,38.9630,40.2486,37.6766,38.9874,58.6060,53.9597,54.6213,51.8339,53.0839
39,43.5333,38.9630,40.2548,37.6766,38.9874,58.2196,53.5751,54.2529,51.4709,52.7225
40,43.4930,39.0588,40.5574,36.6807,39.5324,57.8514,53.2122,53.9105,51.1011,52.3927
41,43.8071,40.2591,41.5240,34.9464,40.6555,57.5089,52.8963,53.6084,50.7071,52.1065
42,43.8071,40.2591,41.7902,34.9464,40.6555,57.1826,52.5954,53.3270,50.3318,51.8338
43,42.6396,39.1093,40.8310,34.4265,39.5690,56.8444,52.2818,53.0364,49.9619,51.5486
44,40.0938,36.8185,38.5162,33.2690,37.0561,56.4637,51.9304,52.7064,49.5826,51.2192
45,40.0773,36.8606,38.7626,33.2144,37.0784,56.0996,51.5955,52.3965,49.2188,50.9050
46,38.7239,35.7061,37.5362,32.5228,36.0992,55.7218,51.2501,52.0735,48.8559,50.5831
47,37.6636,34.7505,36.5763,32.0661,35.3505,55.3376,50.8990,51.7438,48.4986,50.2590
48,36.9848,34.2092,36.3545,32.0129,36.5786,54.9553,50.5513,51.4231,48.1552,49.9740
49,35.7551,34.0149,35.1008,32.4964,37.1259,54.5634,50.2138,51.0900,47.8356,49.7118
50,34.9551,33.2315,33.8937,31.2264,36.3431,54.1713,49.8742,50.7461,47.5034,49.4444
51,31.4270,29.7455,31.4143,30.3512,34.7081,53.7253,49.4795,50.3671,47.1671,49.1555
52,22.4198,21.3798,28.0718,22.6451,24.3660,53.1233,48.9391,49.9383,46.6955,48.6788
53,28.9529,29.1795,27.2369,24.6252,33.3972,52.6672,48.5663,49.5100,46.2791,48.3904
54,29.0192,29.5804,27.8261,24.6690,34.3061,52.2293,48.2147,49.1084,45.8789,48.1296
55,21.7823,21.5757,26.0671,16.8264,24.4845,51.6757,47.7304,48.6895,45.3507,47.6997
56,21.1669,21.4407,24.7309,16.5206,22.7905,51.1309,47.2609,48.2617,44.8359,47.2549
57,21.5621,21.8888,26.3172,16.2187,23.3477,50.6122,46.8158,47.8767,44.3338,46.8355
58,22.3302,21.2700,25.7712,16.6880,19.6267,50.1245,46.3753,47.4955,43.8572,46.3663
59,22.3506,22.7921,26.2364,16.6118,25.0051,49.6538,45.9756,47.1352,43.3954,46.0043
60,22.6838,22.6955,26.3505,16.3461,25.2458,49.2043,45.5876,46.7888,42.9446,45.6583
61,24.2226,23.8062,26.2315,15.8084,25.4996,48.7948,45.2305,46.4518,42.4997,45.3278
