Frame,MSE_KF,Avg_MSE_KF,MSE_P0,Avg_MSE_P0,MSE_P1,Avg_MSE_P1,MSE_P2,Avg_MSE_P2,MSE_P3,Avg_MSE_P3,MSE_P4,Avg_MSE_P4,MSE_P5,Avg_MSE_P5,MSE_P6,Avg_MSE_P6,MSE_P7,Avg_MSE_P7,MSE_P8,Avg_MSE_P8,MSE_P9,Avg_MSE_P9,MSE_P10,Avg_MSE_P10,MSE_P11,Avg_MSE_P11,MSE_P12,Avg_MSE_P12,MSE_P13,Avg_MSE_P13,MSE_P14,Avg_MSE_P14,MSE_P15,Avg_MSE_P15
1,6.9335,6.9335,7.7849,7.7849,10.7833,10.7833,14.6923,14.6923,7.5852,7.5852,5.8455,5.8455,7.8234,7.8234,7.7779,7.7779,12.0367,12.0367,7.6704,7.6704,7.8291,7.8291,10.1836,10.1836,11.1531,11.1531,7.7066,7.7066,7.6561,7.6561,7.7634,7.7634,7.8154,7.8154
2,7.1629,7.0482,6.6274,7.2062,11.8702,11.3268,17.8613,16.2768,6.8721,7.2286,8.1754,7.0105,6.8306,7.3270,6.8384,7.3082,17.4394,14.7380,6.3079,6.9892,7.4844,7.6568,11.4375,10.8106,17.2570,14.2050,6.9405,7.3235,6.5374,7.0967,6.4846,7.1240,6.9634,7.3894
3,8.8096,7.6353,9.8338,8.0820,15.5873,12.7469,17.2435,16.5990,11.8269,8.7614,12.5059,8.8423,11.0449,8.5663,12.0787,8.8984,15.6666,15.0475,10.0538,8.0107,12.1948,9.1694,15.4079,12.3430,15.9629,14.7910,12.0745,8.9072,9.9305,8.0413,9.6815,7.9765,10.9068,8.5619
4,8.5701,7.8690,12.8948,9.2852,18.5204,14.1903,20.6912,17.6221,12.2714,9.6389,12.9137,9.8601,13.1802,9.7198,12.6292,9.8311,17.8231,15.7414,11.6360,8.9170,12.6921,10.0501,17.1624,13.5479,17.7246,15.5244,12.5526,9.8185,13.1264,9.3126,12.5528,9.1206,12.6083,9.5735
5,10.0146,8.2981,12.1045,9.8491,18.1999,14.9922,21.2021,18.3381,12.7026,10.2516,14.5810,10.8043,13.3309,10.4420,12.6653,10.3979,20.8112,16.7554,12.4535,9.6243,12.5547,10.5510,16.4270,14.1237,19.2334,16.2662,12.7234,10.3995,13.7082,10.1917,12.3151,9.7595,12.3337,10.1255
6,11.0634,8.7590,15.1763,10.7369,19.3077,15.7115,23.9599,19.2750,15.2154,11.0789,16.7667,11.7980,16.8586,11.5115,15.2533,11.2071,21.7251,17.5837,15.1933,10.5525,15.2541,11.3349,18.3052,14.8206,22.7396,17.3451,15.2461,11.2073,16.6758,11.2724,15.1852,10.6638,15.2182,10.9743
7,13.9618,9.5023,18.2474,11.8099,24.0999,16.9098,31.8915,21.0774,14.4364,11.5586,20.6787,13.0667,21.5467,12.9451,15.9409,11.8834,30.0769,19.3684,18.0715,11.6266,16.1127,12.0174,23.6166,16.0772,32.5441,19.5164,15.6966,11.8486,20.0295,12.5234,18.1831,11.7380,18.1775,12.0033
8,15.9541,10.3087,19.8188,12.8110,18.2596,17.0785,23.4080,21.3687,19.4418,12.5440,17.2918,13.5948,19.9331,13.8186,19.8353,12.8774,21.8915,19.6838,19.2779,12.5830,19.5051,12.9534,17.3489,16.2361,21.0059,19.7026,19.9978,12.8672,19.8402,13.4380,19.8757,12.7552,19.7331,12.9695
9,18.7920,11.2513,23.3323,13.9800,22.6894,17.7020,24.0765,21.6696,23.8696,13.8024,23.5727,14.7035,23.8780,14.9363,23.5072,14.0585,23.5652,20.1151,23.5358,13.8000,23.3560,14.1092,21.1557,16.7828,22.8232,20.0493,23.7138,14.0724,23.5004,14.5560,23.4131,13.9394,23.3366,14.1214
10,20.6783,12.1940,28.3085,15.4129,29.0296,18.8347,29.7866,22.4813,28.0665,15.2288,26.5306,15.8862,26.6159,16.1042,29.0842,15.5610,28.9620,20.9998,29.0326,15.3233,28.8179,15.5801,28.9414,17.9986,28.9772,20.9421,29.1578,15.5810,26.5900,15.7594,28.6516,15.4106,28.8668,15.5960
11,21.3501,13.0264,27.8336,16.5420,29.7386,19.8260,28.9404,23.0685,27.0196,16.3007,28.6016,17.0421,26.8708,17.0830,29.3896,16.8182,27.7561,21.6140,28.4975,16.5209,28.2066,16.7280,28.3700,18.9415,27.9165,21.5761,29.8128,16.8748,27.6061,16.8364,28.1280,16.5667,27.9857,16.7223
12,22.5518,13.8202,23.1121,17.0895,27.1041,20.4325,26.2714,23.3354,19.1013,16.5341,25.6216,17.7571,23.9164,17.6525,21.0948,17.1746,27.0812,22.0696,21.4058,16.9280,22.1285,17.1780,26.7974,19.5961,25.6171,21.9129,19.9327,17.1296,24.7384,17.4949,22.3713,17.0505,22.6900,17.2196
13,9.6352,13.4983,9.5530,16.5098,8.0443,19.4796,9.6809,22.2851,7.3252,15.8257,9.3799,17.1127,9.7940,17.0480,8.9596,16.5427,9.6332,21.1129,8.4169,16.2733,9.4032,16.5799,8.6115,18.7512,9.8141,20.9822,7.5360,16.3916,9.7835,16.9017,9.2632,16.4514,9.5183,16.6272
