Frame,MSE_KF,Avg_MSE_KF,MSE_P0,Avg_MSE_P0,MSE_P1,Avg_MSE_P1,MSE_P2,Avg_MSE_P2,MSE_P3,Avg_MSE_P3,MSE_P4,Avg_MSE_P4,MSE_P5,Avg_MSE_P5,MSE_P6,Avg_MSE_P6,MSE_P7,Avg_MSE_P7,MSE_P8,Avg_MSE_P8,MSE_P9,Avg_MSE_P9,MSE_P10,Avg_MSE_P10,MSE_P11,Avg_MSE_P11,MSE_P12,Avg_MSE_P12,MSE_P13,Avg_MSE_P13,MSE_P14,Avg_MSE_P14,MSE_P15,Avg_MSE_P15
1,8.5583,8.5583,10.0645,10.0645,11.8447,11.8447,15.6827,15.6827,10.1323,10.1323,7.5331,7.5331,10.1171,10.1171,10.3096,10.3096,12.9799,12.9799,10.1439,10.1439,10.1826,10.1826,11.4024,11.4024,12.0885,12.0885,10.2235,10.2235,9.9308,9.9308,10.0825,10.0825,10.1340,10.1340
2,14.9902,11.7742,18.8674,14.4660,23.2146,17.5296,29.4641,22.5734,17.9456,14.0389,21.1757,14.3544,21.1345,15.6258,18.5234,14.4165,27.4465,20.2132,19.2889,14.7164,18.4709,14.3268,22.8225,17.1124,28.3751,20.2318,18.0993,14.1614,20.6163,15.2735,18.9678,14.5251,18.7191,14.4266
3,15.1108,12.8864,18.9397,15.9572,23.9807,19.6800,29.2143,24.7870,18.1275,15.4018,20.6125,16.4404,20.5127,17.2548,18.2726,15.7019,27.2858,22.5707,19.0436,16.1588,17.9591,15.5375,22.7756,19.0002,27.7092,22.7242,18.2525,15.5251,20.3879,16.9783,19.0163,16.0222,18.5103,15.7878
4,15.6366,13.5740,18.9022,16.6934,24.0535,20.7734,29.1063,25.8668,17.8149,16.0051,20.7177,17.5097,20.3603,18.0312,18.2667,16.3431,25.9966,23.4272,18.9711,16.8619,18.2441,16.2142,23.3119,20.0781,28.0474,24.0550,18.0178,16.1483,20.2811,17.8040,18.9393,16.7515,18.7220,16.5214
5,16.6075,14.1807,18.9937,17.1535,22.6972,21.1581,28.4953,26.3925,18.7485,16.5538,21.3405,18.2759,21.2953,18.6840,18.8748,16.8494,25.0608,23.7539,18.9255,17.2746,18.6806,16.7075,22.3766,20.5378,27.4726,24.7385,18.6550,16.6496,20.4392,18.3310,18.9848,17.1981,18.8912,16.9953
6,18.0673,14.8284,19.2313,17.4998,22.8184,21.4349,28.8351,26.7996,19.4046,17.0289,21.4223,18.8003,22.0882,19.2514,19.1104,17.2263,25.2523,24.0036,19.0524,17.5709,19.2173,17.1258,22.9752,20.9440,28.3000,25.3321,19.4334,17.1136,21.2917,18.8245,19.1892,17.5300,19.2625,17.3732
7,18.0208,15.2845,19.1671,17.7380,22.7242,21.6190,28.3499,27.0211,18.7333,17.2724,21.5068,19.1869,21.6292,19.5910,19.0400,17.4854,26.1352,24.3081,19.2479,17.8105,19.2116,17.4237,23.0328,21.2424,27.6055,25.6569,18.8821,17.3662,20.7538,19.1001,19.1857,17.7665,19.2677,17.6438
8,17.9138,15.6132,18.4962,17.8328,21.8349,21.6460,28.0001,27.1435,18.4636,17.4213,21.0916,19.4250,20.5724,19.7137,18.0194,17.5521,23.6490,24.2257,18.5369,17.9013,17.7720,17.4673,22.2094,21.3633,26.0023,25.7001,18.1279,17.4614,20.7300,19.3038,18.4637,17.8536,17.9136,17.6776
9,27.5415,16.9385,31.4640,19.3473,30.7582,22.6585,30.3547,27.5003,29.0259,18.7107,30.9337,20.7037,31.0580,20.9742,30.9226,19.0377,30.6826,24.9432,31.4741,19.4094,30.9846,18.9692,30.8612,22.4186,30.4515,26.2280,31.4754,19.0185,31.2924,20.6359,31.4829,19.3680,31.3197,19.1934
10,29.4022,18.1849,31.0952,20.5221,30.5693,23.4496,30.4800,27.7983,29.2504,19.7647,30.7864,21.7120,30.3400,21.9108,30.3797,20.1719,30.4717,25.4960,30.5906,20.5275,30.4739,20.1197,30.6447,23.2412,30.4586,26.6511,30.2242,20.1391,30.7534,21.6477,30.8732,20.5185,30.6848,20.3425
