Frame,MSE_KF,Avg_MSE_KF
1,18.7202,18.7202
2,18.2601,18.4901
3,18.3878,18.4560
4,18.4779,18.4615
5,18.5880,18.4868
6,18.5880,18.5037
7,18.5941,18.5166
8,18.6462,18.5328
9,18.9847,18.5830
10,19.0419,18.6289
11,18.5081,18.6179
12,19.2181,18.6679
13,19.2126,18.7098
14,19.9127,18.7957
15,20.9782,18.9412
16,22.3388,19.1536
17,22.1361,19.3290
18,21.8248,19.4677
19,20.9964,19.5481
20,21.3447,19.6380
21,21.1733,19.7111
22,21.6953,19.8013
23,25.2683,20.0390
24,26.2748,20.2988
25,26.3895,20.5424
26,26.7186,20.7800
27,27.0041,21.0105
28,26.4527,21.2049
29,25.5590,21.3550
30,25.7542,21.5016
31,25.8132,21.6407
32,25.0800,21.7482
33,24.5045,21.8317
34,23.5832,21.8832
35,22.0805,21.8889
36,22.1827,21.8970
37,19.9713,21.8450
38,18.8897,21.7672
39,17.3436,21.6538
40,16.3935,21.5223
41,16.7070,21.4048
42,16.7922,21.2950
43,16.6041,21.1859
44,17.4481,21.1010
45,18.8586,21.0511
46,21.2728,21.0560
47,21.1700,21.0584
48,21.0362,21.0579
49,20.6026,21.0486
50,20.8560,21.0448
51,20.6688,21.0374
52,20.9544,21.0358
53,21.6390,21.0472
54,20.4955,21.0370
55,20.3347,21.0242
56,20.5318,21.0154
57,18.5858,20.9728
58,18.6595,20.9329
59,17.1497,20.8688
60,16.4083,20.7944
61,15.7637,20.7120
62,15.4970,20.6279
63,15.5861,20.5478
64,16.1443,20.4790
65,15.7972,20.4070
66,15.6003,20.3342
67,15.5522,20.2628
68,13.3920,20.1618
69,13.5291,20.0656
70,13.2217,19.9679
71,15.9462,19.9112
72,17.2408,19.8741
73,18.1902,19.8511
74,18.6200,19.8344
75,19.0396,19.8238
76,19.2510,19.8163
77,18.8554,19.8038
78,18.3535,19.7852
79,17.6530,19.7582
80,18.3601,19.7407
81,18.8955,19.7303
82,18.8810,19.7200
83,18.4937,19.7052
84,19.4923,19.7026
85,19.7618,19.7033
86,18.7462,19.6922
87,17.4602,19.6666
88,17.3506,19.6402
89,18.8667,19.6315
90,18.9312,19.6238
91,18.8201,19.6149
92,18.3051,19.6007
93,18.0079,19.5836
94,20.4004,19.5923
95,21.3387,19.6106
96,23.3280,19.6494
97,24.6203,19.7006
98,26.3866,19.7688
99,27.4222,19.8461
100,24.5295,19.8930
101,29.3657,19.9868
102,31.5963,20.1006
103,32.7862,20.2237
104,34.3472,20.3596
105,37.5222,20.5230
106,38.3302,20.6910
107,40.7030,20.8780
108,44.0552,21.0926
109,49.4380,21.3527
110,46.2633,21.5791
111,38.4115,21.7308
112,25.5234,21.7646
113,19.9175,21.7483
114,14.4297,21.6841
115,13.9971,21.6173
116,15.1049,21.5611
117,15.7757,21.5117
118,16.3872,21.4682
119,17.0715,21.4313
120,18.2070,21.4044
121,15.6077,21.3565
122,14.0654,21.2968
123,14.2695,21.2396
124,13.7709,21.1794
125,14.5709,21.1265
126,15.5487,21.0823
127,13.7909,21.0248
128,14.9163,20.9771
129,16.0975,20.9393
130,17.0320,20.9092
131,18.1112,20.8879
132,19.6256,20.8783
133,20.7242,20.8772
134,21.0821,20.8787
135,18.2516,20.8592
136,18.9181,20.8450
137,22.5113,20.8571
138,22.8951,20.8719
139,23.2503,20.8890
140,23.3510,20.9066
141,23.1510,20.9225
142,23.0091,20.9372
143,22.8574,20.9506
144,22.8483,20.9638
145,22.3600,20.9734
146,22.7168,20.9854
147,22.7092,20.9971
148,22.6951,21.0086
149,22.8076,21.0206
150,22.4962,21.0305
151,23.0616,21.0439
152,24.3017,21.0654
153,24.5595,21.0882
154,22.5013,21.0974
155,19.8342,21.0892
156,21.8090,21.0938
157,34.8139,21.1812
158,49.8529,21.3627
159,64.0241,21.6310
160,61.2035,21.8783
161,61.1576,22.1223
162,53.7506,22.3175
163,51.7193,22.4979
164,44.4072,22.6315
165,28.3656,22.6663
166,14.5122,22.6171
167,14.0581,22.5659
168,14.2321,22.5163
169,10.8441,22.4472
170,20.8292,22.4377
171,17.4774,22.4087
172,15.7581,22.3700
173,16.2091,22.3344
