Frame,MSE_KF,Avg_MSE_KF
1,24.4546,24.4546
2,24.0241,24.2393
3,24.4494,24.3093
4,24.5417,24.3674
5,24.5417,24.4023
6,26.3203,24.7220
7,26.4798,24.9731
8,27.3596,25.2714
9,28.6520,25.6470
10,29.7081,26.0531
11,30.1965,26.4298
12,30.9167,26.8037
13,31.1807,27.1404
14,30.7949,27.4014
15,30.5992,27.6146
16,30.2040,27.7764
17,29.4911,27.8773
18,28.9941,27.9394
19,29.0064,27.9955
20,29.9835,28.0949
21,31.0636,28.2363
22,32.1522,28.4143
23,31.4983,28.5484
24,31.2871,28.6625
25,30.9409,28.7536
26,31.1638,28.8463
27,32.0229,28.9640
28,31.7760,29.0644
29,31.2478,29.1397
30,30.7986,29.1950
31,31.8054,29.2792
32,29.9305,29.2995
33,29.2883,29.2992
34,28.7802,29.2839
35,30.3965,29.3157
36,30.1830,29.3398
37,29.6345,29.3478
38,29.6118,29.3547
39,29.4746,29.3578
40,29.1378,29.3523
41,28.9865,29.3434
42,28.0903,29.3136
43,27.9029,29.2807
44,26.4069,29.2154
45,25.5196,29.1333
46,25.8053,29.0610
47,24.3223,28.9601
48,22.1909,28.8191
49,21.3795,28.6673
50,22.0799,28.5355
51,23.5051,28.4369
52,24.7812,28.3666
53,24.0062,28.2843
54,22.7460,28.1818
55,20.6408,28.0446
56,20.0736,27.9023
57,20.0628,27.7648
58,18.4286,27.6038
59,17.5598,27.4336
60,17.4292,27.2668
61,23.8950,27.2116
62,24.5693,27.1689
63,24.9654,27.1340
64,25.2721,27.1049
65,25.2955,27.0770
66,25.1586,27.0480
67,25.1518,27.0197
68,25.2558,26.9937
69,25.2601,26.9686
70,25.1732,26.9430
71,25.6443,26.9247
72,25.5118,26.9050
73,25.5209,26.8861
74,26.4540,26.8802
75,26.0471,26.8691
76,26.0670,26.8586
77,24.3950,26.8266
78,23.5334,26.7844
79,22.3782,26.7286
80,21.6158,26.6647
81,21.2889,26.5983
82,20.7973,26.5276
83,21.6682,26.4690
84,21.8565,26.4141
85,23.3122,26.3776
86,25.4122,26.3664
87,26.7561,26.3709
88,27.9807,26.3892
89,28.6962,26.4151
90,29.3735,26.4480
91,29.8869,26.4857
92,31.3281,26.5384
93,31.2347,26.5889
94,33.3453,26.6608
95,32.6679,26.7240
96,32.6605,26.7858
97,31.3773,26.8332
