Frame,MSE_KF,Avg_MSE_KF
1,16.3418,16.3418
2,16.7829,16.5623
3,16.9748,16.6998
4,16.6403,16.6849
5,15.4479,16.4375
6,13.8259,16.0023
7,13.7021,15.6737
8,15.4638,15.6474
9,15.4460,15.6250
10,15.5170,15.6142
11,15.6533,15.6178
12,16.8619,15.7215
13,17.1407,15.8306
14,17.9214,15.9800
15,18.0221,16.1161
16,17.8733,16.2259
17,17.8282,16.3202
18,17.4360,16.3822
19,18.0041,16.4675
20,18.6032,16.5743
21,18.9331,16.6866
22,19.7210,16.8246
23,19.5813,16.9444
24,18.3200,17.0017
25,17.8206,17.0345
26,18.8477,17.1042
27,19.0084,17.1748
28,20.1082,17.2795
29,19.3392,17.3506
30,18.5175,17.3895
31,18.3666,17.4210
32,17.8414,17.4341
33,17.3901,17.4328
34,16.9429,17.4184
35,18.4532,17.4479
36,16.9158,17.4332
37,16.0979,17.3971
38,15.5037,17.3472
39,16.3659,17.3221
40,17.0903,17.3163
41,18.8619,17.3540
42,23.1786,17.4927
43,27.0715,17.7154
44,29.7343,17.9886
45,30.0471,18.2566
46,32.1243,18.5580
47,34.2501,18.8919
48,35.9136,19.2465
49,36.2503,19.5935
50,37.4000,19.9497
51,35.6303,20.2571
52,36.5491,20.5704
53,35.9297,20.8602
54,31.6106,21.0593
55,32.1132,21.2603
56,17.3046,21.1897
57,15.3896,21.0879
58,15.2003,20.9864
59,15.4421,20.8924
60,16.0734,20.8121
61,15.0153,20.7171
62,11.5877,20.5698
63,11.8773,20.4318
64,11.9115,20.2987
65,14.8913,20.2155
66,14.9910,20.1364
67,15.1847,20.0625
68,15.2306,19.9914
69,15.4829,19.9261
70,15.5087,19.8630
71,15.7117,19.8045
72,15.6665,19.7470
73,15.9868,19.6955
74,16.1512,19.6476
75,16.2340,19.6021
76,16.2694,19.5582
77,16.1826,19.5144
78,16.1154,19.4708
79,16.1493,19.4288
80,16.1893,19.3883
81,16.2238,19.3492
82,16.2699,19.3117
83,16.3475,19.2760
84,15.9614,19.2365
