Frame,MSE_DefMean,MSE_BestEnvelope,MSE_Ours_BayF,MSE_Ours_KF
1,44.9087,38.9553,44.9087,48.9766
2,45.4195,38.9206,45.4195,49.4902
3,45.7594,38.7978,45.7594,49.8710
4,46.6903,39.3497,46.6903,51.0967
5,52.0332,45.7282,52.0332,52.7865
6,48.1655,43.6284,48.1655,51.4773
7,51.6122,49.9148,51.6122,55.8952
8,64.6870,57.8682,64.6885,59.6893
9,50.7545,51.2678,50.5552,54.1741
10,51.3063,51.7831,50.9291,52.5761
11,39.0363,39.2310,38.6352,38.7729
12,42.4467,42.5836,42.3606,41.6058
13,50.3335,51.2042,50.0518,42.1219
14,50.0028,46.1282,49.7171,43.4510
15,43.2977,44.2790,42.7810,42.5252
16,43.9103,45.2103,43.1242,43.8595
17,43.3930,44.2258,43.0571,43.3086
18,40.7321,41.9530,40.4914,40.5609
19,40.6164,40.9802,39.7827,40.2945
20,40.0489,40.5222,38.7821,39.9293
21,39.9022,40.0743,38.9159,39.5987
22,40.0558,40.7755,38.9060,39.3769
23,39.7697,40.6528,38.8048,38.9792
24,40.5470,40.5674,40.5277,37.2113
25,23.2588,23.6318,22.5429,28.9480
26,21.8199,23.6956,20.6159,24.2887
27,19.8549,20.2504,18.7332,18.9599
28,15.6827,16.9537,15.1446,17.8003
29,15.4414,16.9670,15.0275,16.2426
30,16.1608,17.6919,15.9469,16.6258
31,17.1798,18.4657,17.3153,17.1802
32,17.5244,19.1305,17.8564,17.1564
33,18.1227,16.7717,17.8508,17.2181
34,22.0287,22.8971,20.4958,19.8950
35,22.9302,23.1754,22.5926,20.9588
36,20.2282,21.6972,20.9554,21.3690
37,20.2282,21.6972,20.9554,20.5980
38,17.8459,18.7172,18.1700,19.6653
39,16.9305,18.8545,16.4437,19.8131
40,17.4109,19.5352,16.7937,20.4116
41,19.1231,19.5263,19.0060,20.1920
42,20.6090,22.1655,20.3914,21.5909
43,21.5081,22.2209,21.3667,21.4206
44,18.6301,21.2273,18.3169,20.9849
45,19.6238,23.5360,19.4140,22.1294
46,22.9842,26.9365,22.7184,23.9298
47,26.4960,25.9700,26.3643,26.2150
48,27.8098,28.0871,27.8253,27.8076
49,35.8072,33.7636,35.6254,34.8382
50,30.6543,31.7320,30.6995,35.0706
51,34.5761,35.3377,34.6556,37.3716
52,30.1756,31.9380,30.1833,34.9761
53,39.2331,41.2606,38.7855,36.9085
54,40.1426,42.8963,39.7020,38.8512
55,37.8254,40.1573,37.6823,37.8718
56,41.8444,44.9639,41.3677,37.4994
57,39.5820,41.1056,37.5716,35.9445
58,45.3276,43.6751,41.1498,39.4938
59,43.5673,39.6652,39.7621,39.2406
60,42.6009,41.5905,42.1338,42.1569
61,59.8876,55.5406,56.7133,47.1845
62,61.3934,57.2305,58.4125,50.2834
63,59.5601,53.8231,56.9291,49.7212
64,60.4340,56.7593,58.9607,53.7807
65,57.7254,53.6617,56.9187,56.4829
