Frame,MSE_KF,Avg_MSE_KF,MSE_P0,Avg_MSE_P0,MSE_P1,Avg_MSE_P1,MSE_P2,Avg_MSE_P2,MSE_P3,Avg_MSE_P3,MSE_P4,Avg_MSE_P4,MSE_P5,Avg_MSE_P5,MSE_P6,Avg_MSE_P6,MSE_P7,Avg_MSE_P7,MSE_P8,Avg_MSE_P8,MSE_P9,Avg_MSE_P9,MSE_P10,Avg_MSE_P10,MSE_P11,Avg_MSE_P11,MSE_P12,Avg_MSE_P12,MSE_P13,Avg_MSE_P13,MSE_P14,Avg_MSE_P14,MSE_P15,Avg_MSE_P15
1,8.6540,8.6540,9.6676,9.6676,12.3663,12.3663,17.1675,17.1675,9.2094,9.2094,7.5482,7.5482,9.7069,9.7069,9.6346,9.6346,14.6862,14.6862,9.3427,9.3427,9.7127,9.7127,11.9285,11.9285,13.5847,13.5847,9.4459,9.4459,9.5329,9.5329,9.5795,9.5795,9.6987,9.6987
2,7.1817,7.9179,5.8907,7.7792,12.8105,12.5884,18.5228,17.8452,7.3889,8.2991,6.9205,7.2343,5.9382,7.8226,6.7434,8.1890,15.7156,15.2009,5.7854,7.5640,8.0939,8.9033,11.5871,11.7578,15.3774,14.4811,7.1802,8.3131,5.8650,7.6989,5.8364,7.7080,6.5219,8.1103
3,7.4721,7.7693,8.7462,8.1015,13.4319,12.8696,16.3676,17.3526,9.0798,8.5594,6.3665,6.9451,6.5993,7.4148,8.7170,8.3650,13.6404,14.6807,8.7019,7.9433,8.9300,8.9122,12.6347,12.0501,15.3233,14.7618,8.9478,8.5246,6.3808,7.2596,8.7355,8.0505,8.6407,8.2871
4,9.2924,8.1501,14.1755,9.6200,18.8564,14.3663,24.0350,19.0232,13.2956,9.7434,15.0912,8.9816,14.9582,9.3007,13.4791,9.6435,18.9471,15.7473,13.3791,9.3023,13.5424,10.0698,18.1133,13.5659,20.9130,16.2996,13.3964,9.7426,14.9867,9.1913,13.4918,9.4108,13.4984,9.5899
5,9.4891,8.4179,12.9066,10.2773,14.8913,14.4713,25.5985,20.3383,13.3084,10.4564,15.6877,10.3228,15.5790,10.5563,12.9576,10.3063,19.3914,16.4762,12.8198,10.0058,13.0284,10.6615,14.8248,13.8177,26.4226,18.3242,13.0358,10.4012,14.9754,10.3482,12.8470,10.0980,12.9990,10.2717
6,10.1703,8.7099,15.1471,11.0889,16.7210,14.8462,24.9812,21.1121,14.2463,11.0881,19.7802,11.8991,18.1663,11.8247,13.9351,10.9111,16.8380,16.5365,14.4745,10.7506,13.5186,11.1377,19.5823,14.7784,24.8188,19.4066,13.9222,10.9881,18.1939,11.6558,14.4250,10.8192,14.0669,10.9043
7,12.7802,9.2914,16.7148,11.8926,23.9071,16.1406,28.3378,22.1443,15.9699,11.7855,20.8185,13.1733,22.5294,13.3539,15.8747,11.6202,26.6540,17.9818,16.0766,11.5114,16.3422,11.8812,22.9347,15.9436,28.2259,20.6665,15.7308,11.6656,21.8438,13.1112,16.0785,11.5705,16.5120,11.7054
8,12.7877,9.7284,14.6013,12.2312,20.3314,16.6645,24.4644,22.4344,12.4866,11.8731,15.0704,13.4104,14.7761,13.5317,14.1137,11.9319,20.5779,18.3063,14.4551,11.8794,14.3506,12.1899,20.0841,16.4612,22.0139,20.8350,13.3759,11.8794,14.8417,13.3275,14.5197,11.9392,14.5650,12.0628
9,13.6682,10.1662,19.2719,13.0135,21.7137,17.2255,24.1691,22.6271,19.1162,12.6779,19.4073,14.0767,20.8445,14.3442,19.1445,12.7333,22.0620,18.7236,19.5706,12.7340,19.1966,12.9684,20.9305,16.9578,22.1121,20.9769,18.4855,12.6134,21.2936,14.2126,19.5712,12.7872,19.3808,12.8759
10,17.3480,10.8844,24.5584,14.1680,27.7602,18.2790,30.0136,23.3657,20.8073,13.4908,25.7624,15.2453,25.8878,15.4986,21.8165,13.6416,27.8109,19.6324,23.6650,13.8271,22.4350,13.9150,26.9143,17.9534,27.4077,21.6200,20.2199,13.3740,25.7561,15.3670,24.1973,13.9282,23.1112,13.8994
