Frame,MSE_DefMean,MSE_BestEnvelope,MSE_Ours_BayF,MSE_Ours_KF,Avg_DefMean,Avg_BestEnvelope,Avg_Ours_BayF,Avg_Ours_KF
1,53.5447,44.3581,53.5447,56.5420,53.5447,44.3581,53.5447,56.5420
2,57.5892,49.6396,57.5892,60.3779,55.5670,46.9988,55.5670,58.4600
3,57.9009,50.3403,57.8989,60.5992,56.3449,48.1126,56.3443,59.1731
4,57.9009,50.3403,57.8989,60.5986,56.7339,48.6695,56.7330,59.5294
5,56.7294,49.9416,56.7275,59.3293,56.7330,48.9240,56.7319,59.4894
6,64.2663,48.7184,64.2609,57.4694,57.9886,48.8897,57.9867,59.1528
7,59.1850,44.1139,59.1791,54.2044,58.1595,48.2074,58.1570,58.4458
8,59.7673,44.4016,59.5308,54.6061,58.3605,47.7317,58.3288,57.9659
9,58.9592,43.8625,58.5528,55.1076,58.4270,47.3018,58.3537,57.6483
10,47.3258,39.0521,46.0969,47.7495,57.3169,46.4768,57.1280,56.6584
11,47.0550,38.6494,46.5960,46.3109,56.3840,45.7652,56.1705,55.7177
12,57.6137,48.4554,56.8170,46.6669,56.4865,45.9894,56.2244,54.9635
13,53.3340,43.2361,52.8323,46.7324,56.2440,45.7776,55.9635,54.3303
14,50.9508,43.3664,49.4203,44.1789,55.8659,45.6054,55.4961,53.6052
15,41.7185,35.9891,41.3185,40.9789,54.9227,44.9643,54.5509,52.7635
16,41.1373,36.8334,40.2372,38.4507,54.0611,44.4561,53.6563,51.8689
17,39.4393,30.3085,38.4437,34.9277,53.2010,43.6239,52.7615,50.8724
18,36.1153,36.0453,35.0305,31.9282,52.2518,43.2029,51.7764,49.8199
19,35.7911,35.2585,35.0202,29.1225,51.3855,42.7848,50.8945,48.7306
20,54.9210,51.6402,54.6269,31.3940,51.5622,43.2275,51.0811,47.8638
21,54.7818,53.3540,54.3531,34.1766,51.7156,43.7097,51.2369,47.2120
22,55.1229,53.6925,54.8272,39.0508,51.8704,44.1635,51.4001,46.8410
23,53.6671,51.0168,53.7522,43.9845,51.9486,44.4615,51.5024,46.7168
24,54.8689,50.9842,54.3690,50.9267,52.0702,44.7333,51.6218,46.8922
25,48.8698,44.5324,48.5921,49.0128,51.9422,44.7252,51.5006,46.9771
26,47.0251,44.2757,46.2775,46.8742,51.7531,44.7079,51.2997,46.9731
27,48.1018,45.2004,47.5476,45.3588,51.6179,44.7262,51.1608,46.9133
28,48.6321,49.4801,47.8698,42.7243,51.5112,44.8959,51.0432,46.7637
29,47.1904,46.0020,46.2071,41.7303,51.3622,44.9341,50.8765,46.5901
30,47.5472,43.8301,46.0004,42.1655,51.2351,44.8973,50.7139,46.4427
31,45.7907,44.6170,44.5606,42.3062,51.0594,44.8882,50.5154,46.3092
32,44.7819,43.4153,43.5725,44.5325,50.8633,44.8422,50.2985,46.2537
33,43.3534,41.2356,43.1021,44.2850,50.6357,44.7329,50.0804,46.1940
34,44.2056,42.8898,43.9445,44.5772,50.4466,44.6787,49.8999,46.1465
35,43.5843,44.5667,43.3021,44.6661,50.2505,44.6755,49.7114,46.1042
36,43.3799,44.7035,43.2215,44.1020,50.0597,44.6763,49.5312,46.0486
37,44.5813,46.6365,44.9276,45.5307,49.9116,44.7293,49.4067,46.0346
38,44.6738,47.0524,45.0944,45.7411,49.7738,44.7904,49.2932,46.0269
39,45.1023,47.9713,45.5744,46.0595,49.6540,44.8720,49.1979,46.0277
40,44.9942,47.8564,45.4515,46.2307,49.5375,44.9466,49.1042,46.0328
41,36.9210,32.7813,37.7653,44.1510,49.2298,44.6499,48.8277,45.9869
42,42.1475,43.9955,42.6081,42.0265,49.0611,44.6343,48.6796,45.8926
43,40.7776,42.5101,41.7032,40.6206,48.8685,44.5849,48.5173,45.7700
44,40.1416,42.1967,41.0551,39.1936,48.6702,44.5306,48.3478,45.6205
45,26.2096,27.9500,27.8499,32.4060,48.1710,44.1621,47.8922,45.3269
46,30.5007,26.5024,31.1730,29.3115,47.7869,43.7782,47.5288,44.9787
47,26.8063,27.2121,28.1389,24.9834,47.3405,43.4258,47.1162,44.5533
48,23.5530,24.1366,24.1045,22.4522,46.8449,43.0239,46.6368,44.0928
49,25.7225,26.2446,26.3088,23.0024,46.4139,42.6815,46.2220,43.6624
50,23.7111,25.6629,24.1453,23.1905,45.9598,42.3411,45.7804,43.2530
51,22.9823,24.4894,22.9711,22.3256,45.5093,41.9911,45.3332,42.8426
52,21.6220,24.0207,22.2099,21.0460,45.0499,41.6455,44.8885,42.4235
53,25.1892,26.6640,25.5380,25.5756,44.6752,41.3628,44.5234,42.1056
54,23.2112,27.2401,25.8151,25.1783,44.2777,41.1013,44.1770,41.7921
55,22.6346,25.7331,24.9878,24.6244,43.8842,40.8219,43.8281,41.4800
56,22.5117,24.3520,25.7761,24.8099,43.5025,40.5278,43.5057,41.1823
57,26.4665,28.4188,28.0812,25.1972,43.2036,40.3153,43.2351,40.9019
58,25.7237,26.6189,27.4059,25.0445,42.9023,40.0792,42.9622,40.6284
59,27.1876,28.6368,27.8081,25.4019,42.6359,39.8852,42.7053,40.3704
60,26.3770,29.7384,30.6660,25.3465,42.3649,39.7161,42.5047,40.1200
61,27.7734,31.8248,30.7804,27.1337,42.1257,39.5868,42.3125,39.9071
62,28.7287,33.3434,31.9126,28.9072,41.9096,39.4861,42.1447,39.7297
63,33.4849,33.6375,36.2581,30.1897,41.7759,39.3932,42.0513,39.5782
