Frame,MSE_DefMean,MSE_Ours_BayF,MSE_Ours_KF,MSE_Ideal,MSE_BestHist,Avg_DefMean,Avg_Ours_BayF,Avg_Ours_KF,Avg_Ideal,Avg_BestHist
60,31.9101,32.8233,28.3838,32.8261,37.3573,62.7240,62.1899,60.6055,59.3713,61.1089
61,28.0000,29.1816,28.0352,31.2585,33.0249,62.1548,61.6488,60.0716,58.9104,60.6485
62,29.9967,31.3548,29.5856,30.6729,38.2548,61.6361,61.1602,59.5798,58.4550,60.2874
63,35.6603,37.3181,35.0401,36.0763,42.6966,61.2238,60.7818,59.1903,58.0997,60.0081
64,31.3436,29.4625,33.7282,29.4003,30.0673,60.7569,60.2924,58.7925,57.6513,59.5403
65,31.4416,29.8821,32.5366,30.0880,31.3828,60.3059,59.8245,58.3885,57.2273,59.1071
66,30.7860,28.9400,29.7692,27.9005,31.3542,59.8586,59.3566,57.9549,56.7829,58.6866
67,32.4290,31.6377,30.3197,32.1351,33.6390,59.4492,58.9429,57.5425,56.4150,58.3128
68,34.1862,31.7676,31.7001,31.5296,34.7619,59.0777,58.5433,57.1624,56.0491,57.9664
69,35.1334,30.8345,31.5197,32.7824,32.7824,58.7307,58.1417,56.7908,55.7119,57.6015
70,34.1616,30.1730,31.2162,32.9006,33.5951,58.3797,57.7421,56.4254,55.3860,57.2585
71,32.9263,28.2213,29.4319,27.1528,27.5009,58.0212,57.3263,56.0452,54.9884,56.8394
72,35.4176,31.4292,29.0232,29.7820,31.0350,57.7073,56.9667,55.6699,54.6383,56.4810
73,32.6192,29.5008,28.8736,27.8808,30.3710,57.3636,56.5904,55.3029,54.2717,56.1233
74,36.3895,30.1503,29.6819,31.0768,31.0768,57.0802,56.2331,54.9566,53.9583,55.7849
75,40.1141,33.9589,32.7315,36.7228,37.0037,56.8540,55.9361,54.6603,53.7285,55.5344
76,39.6560,33.3448,34.0076,35.7845,35.9436,56.6277,55.6389,54.3886,53.4924,55.2767
77,38.5519,33.4294,34.8490,36.6968,37.5955,56.3929,55.3504,54.1348,53.2742,55.0470
78,38.2694,32.1636,36.6360,32.9852,33.3789,56.1606,55.0532,53.9105,53.0141,54.7692
79,39.7293,35.3126,38.3380,33.7007,33.9600,55.9526,54.8033,53.7133,52.7697,54.5058
80,41.9890,36.3645,40.2777,32.4024,32.5162,55.7780,54.5728,53.5454,52.5151,54.2310
81,41.8035,36.6135,40.3315,32.3543,32.3543,55.6055,54.3511,53.3823,52.2662,53.9609
82,42.8676,38.2792,41.4964,35.5977,35.5977,55.4502,54.1551,53.2373,52.0629,53.7369
83,46.5932,40.5354,45.2290,38.9287,38.9287,55.3435,53.9910,53.1408,51.9046,53.5585
84,48.2158,40.1798,47.1363,36.3659,36.3659,55.2586,53.8266,53.0693,51.7197,53.3539
85,48.3969,40.3824,46.9284,34.9680,34.9680,55.1779,53.6684,52.9971,51.5226,53.1375
86,47.8440,39.2787,45.2653,34.2325,34.2325,55.0926,53.5011,52.9072,51.3215,52.9177
87,48.2695,38.6322,44.1189,33.5368,33.5368,55.0142,53.3302,52.8062,51.1171,52.6950
88,43.1011,35.7539,39.5099,32.0919,32.0919,54.8788,53.1304,52.6551,50.9009,52.4608
89,43.9638,29.9094,40.2605,26.8513,26.8513,54.7562,52.8695,52.5158,50.6307,52.1731
90,44.6554,30.3439,39.2369,28.5463,28.5463,54.6439,52.6192,52.3683,50.3853,51.9106
91,41.5865,29.6328,35.5207,28.1608,28.2527,54.5004,52.3666,52.1831,50.1411,51.6506
92,18.4801,17.4331,25.8778,18.4431,20.4234,54.1089,51.9869,51.8972,49.7965,51.3112
93,22.7639,22.5457,22.3621,22.7619,22.7619,53.7719,51.6704,51.5796,49.5059,51.0042
94,23.0618,22.4593,19.6296,20.6460,20.6460,53.4452,51.3596,51.2397,49.1988,50.6812
95,19.9861,19.9696,18.5123,19.6310,22.7057,53.0930,51.0292,50.8952,48.8876,50.3867
96,23.0221,24.4008,19.3171,22.2584,24.5285,52.7797,50.7518,50.5663,48.6102,50.1174
97,24.3938,24.5565,22.8486,24.7513,25.5407,52.4871,50.4818,50.2805,48.3642,49.8640
98,24.1263,24.1016,22.3924,24.4946,24.6254,52.1977,50.2126,49.9960,48.1207,49.6065
99,24.6159,23.8438,19.7482,23.5469,23.5854,51.9191,49.9462,49.6904,47.8724,49.3436
100,18.2425,18.4667,16.9631,18.6014,18.9137,51.5823,49.6314,49.3632,47.5797,49.0393
101,17.8597,18.3560,16.9930,17.3708,17.3708,51.2484,49.3218,49.0427,47.2806,48.7258
102,19.3406,19.8140,16.7936,18.0893,18.8617,50.9356,49.0325,48.7265,46.9944,48.4330
103,19.3790,19.8953,16.2589,19.4491,20.4315,50.6292,48.7496,48.4113,46.7270,48.1611
104,14.7557,15.1162,16.9880,14.7783,14.7783,50.2843,48.4262,48.1091,46.4198,47.8402
105,14.9980,14.7436,16.1990,14.0327,14.0327,49.9482,48.1054,47.8052,46.1114,47.5182
106,15.7978,15.9616,15.9848,15.5322,17.2104,49.6261,47.8022,47.5050,45.8229,47.2323
107,18.4035,17.7001,15.9931,16.5211,18.8776,49.3343,47.5208,47.2105,45.5490,46.9673
108,17.6301,17.6927,15.9058,17.4116,18.5791,49.0407,47.2446,46.9207,45.2885,46.7044
109,18.5474,17.8398,15.8688,17.2597,17.5288,48.7610,46.9749,46.6358,45.0314,46.4367
110,18.6737,17.8234,17.0175,17.9918,17.9918,48.4874,46.7099,46.3665,44.7855,46.1782
111,19.2825,17.8587,17.9666,18.4612,19.0125,48.2243,46.4499,46.1107,44.5484,45.9334
112,17.0853,15.7571,16.7509,14.7159,14.8249,47.9463,46.1759,45.8485,44.2820,45.6557
113,17.7251,15.9123,17.4053,15.2059,15.2084,47.6789,45.9081,45.5968,44.0247,45.3862
114,18.2736,15.8948,16.7229,15.6491,15.6491,47.4209,45.6448,45.3435,43.7758,45.1254
115,10.5097,8.8557,13.2551,8.8938,11.0305,47.1000,45.3249,45.0645,43.4725,44.8289
116,15.2922,11.8673,12.2230,12.6580,13.0874,46.8257,45.0365,44.7814,43.2068,44.5553
117,13.2755,9.3225,10.2549,9.8871,10.4569,46.5390,44.7312,44.4863,42.9221,44.2638
118,13.6998,9.4698,10.5409,9.7582,10.3299,46.2607,44.4324,44.1986,42.6410,43.9762
119,18.5671,11.8400,11.6010,9.7596,10.1234,46.0280,44.1585,43.9247,42.3647,43.6918
120,20.0232,13.7996,13.7181,11.1996,11.4490,45.8113,43.9055,43.6730,42.1050,43.4231
121,21.6415,14.9568,15.7199,11.6396,11.7291,45.6115,43.6663,43.4420,41.8532,43.1611
122,20.2880,14.9156,17.6135,11.6578,11.6578,45.4039,43.4306,43.2303,41.6057,42.9029
123,21.0814,15.5171,18.7315,12.3353,12.4257,45.2062,43.2037,43.0311,41.3677,42.6551
124,19.8094,14.9351,19.0930,12.7752,12.7752,45.0014,42.9757,42.8380,41.1372,42.4142
125,47.7143,41.6662,20.2335,36.3910,36.3910,45.0231,42.9652,42.6572,41.0992,42.3660
126,45.1484,38.5881,21.5980,30.4699,30.4699,45.0241,42.9305,42.4901,41.0148,42.2716
127,52.7966,47.5706,29.7202,43.5488,43.5488,45.0853,42.9670,42.3895,41.0348,42.2816
128,53.0299,46.4484,40.8156,42.1332,42.1332,45.1474,42.9942,42.3772,41.0434,42.2805
129,63.2327,59.3682,51.1616,57.5018,57.5018,45.2876,43.1212,42.4453,41.1709,42.3985
130,20.0902,12.7179,33.8743,10.6818,14.5934,45.0937,42.8873,42.3794,40.9364,42.1846
131,12.0603,10.1772,23.6333,10.2575,10.5792,44.8416,42.6376,42.2363,40.7022,41.9433
132,17.0244,12.2259,14.9713,10.9736,11.3488,44.6308,42.4072,42.0297,40.4770,41.7115
133,16.1962,12.0848,9.6072,10.4124,10.8779,44.4170,42.1792,41.7859,40.2510,41.4797
134,18.1374,13.7767,10.4785,10.5413,11.2742,44.2209,41.9672,41.5523,40.0292,41.2543
135,22.2834,17.3394,10.9191,13.8265,14.2546,44.0584,41.7848,41.3254,39.8351,41.0543
136,46.9090,42.8100,10.3951,26.9196,27.3879,44.0794,41.7924,41.0980,39.7402,40.9538
137,26.8318,25.2791,11.7858,17.6716,17.9723,43.9535,41.6718,40.8840,39.5791,40.7861
138,30.3379,26.8990,13.6066,17.3417,17.6922,43.8548,41.5648,40.6863,39.4180,40.6187
139,29.1548,24.8409,16.0218,16.5840,17.5787,43.7491,41.4445,40.5089,39.2537,40.4530
140,30.3269,26.0266,16.9759,16.6995,17.2656,43.6532,41.3343,40.3408,39.0926,40.2873
141,33.1345,28.1947,16.6700,16.8307,17.2110,43.5786,41.2411,40.1729,38.9347,40.1237
142,59.4714,57.0566,15.9475,34.9030,34.9030,43.6905,41.3525,40.0023,38.9063,40.0869
143,31.6369,31.0300,13.7726,14.5036,14.5036,43.6062,41.2803,39.8189,38.7357,39.9080
144,38.4502,37.9948,18.6774,27.7324,27.7324,43.5704,41.2575,39.6721,38.6592,39.8234
145,12.8040,12.8744,17.5061,12.7260,14.6578,43.3582,41.0618,39.5192,38.4804,39.6499
146,14.2707,14.3859,18.9973,14.5327,14.8712,43.1590,40.8791,39.3787,38.3164,39.4802
147,16.0227,14.8504,16.3809,14.5917,15.2064,42.9744,40.7020,39.2222,38.1550,39.3150
148,18.2295,15.6212,15.6276,14.7329,15.1840,42.8072,40.5325,39.0628,37.9967,39.1520
149,16.4594,16.1780,17.8017,16.0273,16.0273,42.6304,40.3691,38.9201,37.8493,38.9968
150,19.3774,17.4782,17.5872,15.9786,16.1428,42.4754,40.2165,38.7779,37.7035,38.8444
151,17.1483,16.8745,16.8528,16.5476,16.5476,42.3076,40.0619,38.6327,37.5634,38.6968
152,15.5135,15.5257,14.8595,15.2438,16.7543,42.1314,39.9005,38.4763,37.4165,38.5524
153,15.4846,15.4560,14.7764,15.2891,16.5655,41.9572,39.7407,38.3214,37.2719,38.4087
154,15.8506,15.8662,15.1049,15.6184,17.3075,41.7877,39.5857,38.1706,37.1313,38.2717
155,17.3767,17.5842,16.3686,17.1657,18.5248,41.6302,39.4437,38.0300,37.0025,38.1443
156,18.3169,18.4452,17.2039,17.8831,19.2700,41.4807,39.3091,37.8965,36.8799,38.0233
157,17.3545,17.7404,17.2330,16.1677,22.5054,41.3271,39.1717,37.7648,36.7480,37.9245
158,17.9288,19.2348,17.3514,17.1831,24.4737,41.1790,39.0456,37.6356,36.6242,37.8393
159,21.9641,23.7363,17.7780,19.6781,28.3068,41.0581,38.9493,37.5108,36.5176,37.7794
160,25.7890,27.9257,18.6844,21.2704,32.1680,40.9627,38.8804,37.3931,36.4223,37.7443
161,17.5886,17.9791,18.1415,17.5535,19.0233,40.8175,38.7506,37.2735,36.3051,37.6280
162,16.4300,17.1460,18.8689,16.1624,19.8214,40.6670,38.6172,37.1599,36.1808,37.5181
163,24.7882,20.2845,19.0168,17.7775,17.7775,40.5696,38.5047,37.0486,36.0679,37.3970
164,29.9094,24.4349,20.4999,18.9012,18.9012,40.5046,38.4189,36.9477,35.9632,37.2842
165,32.7721,29.3197,26.0254,21.3061,21.3061,40.4577,38.3638,36.8815,35.8743,37.1874
166,30.8664,28.8305,29.3874,20.6136,20.6136,40.3999,38.3064,36.8363,35.7824,37.0875
167,30.5665,28.9400,33.9784,21.8516,21.8516,40.3410,38.2503,36.8192,35.6990,36.9963
168,30.7966,28.2814,34.9905,20.5466,20.5466,40.2842,38.1909,36.8084,35.6088,36.8984
169,31.1493,28.6372,35.5345,20.8731,20.8731,40.2302,38.1344,36.8008,35.5216,36.8036
170,33.6309,32.1009,36.1095,22.8002,22.8002,40.1913,38.0989,36.7967,35.4468,36.7212
171,33.7150,32.3399,36.7231,21.6830,21.6830,40.1535,38.0652,36.7963,35.3663,36.6333
172,33.6671,32.1333,36.7233,21.3953,21.3953,40.1158,38.0307,36.7959,35.2851,36.5447
173,33.4128,30.3764,36.2816,20.1639,20.1639,40.0770,37.9865,36.7929,35.1977,36.4500
174,20.9107,20.9104,31.7897,20.9351,21.0609,39.9669,37.8884,36.7642,35.1157,36.3615
175,23.6842,20.2308,28.3837,17.1704,17.4008,39.8738,37.7875,36.7163,35.0131,36.2532
176,24.2881,21.6665,24.3323,19.6660,21.4651,39.7853,37.6959,36.6459,34.9259,36.1692
177,22.9965,21.4975,21.4417,20.9808,20.9808,39.6904,37.6043,36.5600,34.8472,36.0834
