Frame,MSE_KF,Avg_MSE_KF
1,20.4998,20.4998
2,20.5608,20.5303
3,20.5593,20.5400
4,21.1184,20.6846
5,21.3109,20.8098
6,21.9053,20.9924
7,22.4626,21.2024
8,22.7810,21.3998
9,22.4925,21.5212
10,22.5381,21.6229
11,22.2595,21.6807
12,22.6333,21.7601
13,22.8144,21.8412
14,23.2055,21.9387
15,23.9672,22.0739
16,24.8093,22.2449
17,23.8012,22.3364
18,24.7571,22.4709
19,19.8903,22.3351
20,22.9539,22.3660
21,23.1702,22.4043
22,22.6855,22.4171
23,21.1113,22.3603
24,19.3053,22.2330
25,17.4658,22.0423
26,17.4363,21.8652
27,17.6772,21.7101
28,17.0627,21.5441
29,17.2373,21.3956
30,17.1774,21.2550
31,17.0668,21.1199
32,17.4875,21.0064
33,19.2932,20.9545
34,21.3004,20.9646
35,23.7151,21.0432
36,24.8327,21.1485
37,24.6136,21.2421
38,24.8335,21.3366
39,23.5062,21.3923
40,18.8903,21.3297
41,16.6599,21.2158
42,15.7894,21.0866
43,17.7784,21.0097
44,20.3223,20.9941
45,19.8600,20.9689
46,22.1805,20.9952
47,22.3207,21.0234
48,22.6701,21.0577
49,21.6642,21.0701
50,21.7366,21.0834
51,21.6786,21.0951
52,21.1791,21.0967
53,20.3548,21.0827
54,18.2991,21.0312
55,16.6580,20.9516
56,15.6278,20.8566
57,14.4244,20.7437
58,14.3758,20.6339
59,15.6354,20.5492
60,17.3047,20.4951
61,18.4487,20.4616
62,18.4736,20.4295
63,18.8093,20.4038
64,19.0176,20.3822
65,19.3170,20.3658
66,19.9767,20.3599
67,21.9401,20.3835
68,24.2500,20.4403
69,25.9361,20.5200
70,24.7086,20.5798
71,24.0943,20.6293
72,23.0096,20.6624
73,24.5535,20.7157
74,25.1003,20.7749
75,20.9312,20.7770
76,19.4791,20.7599
77,17.5264,20.7179
78,18.6021,20.6908
79,20.8978,20.6934
80,21.2004,20.6998
81,20.8327,20.7014
82,20.2743,20.6962
83,19.5368,20.6822
84,19.4348,20.6674
85,19.6128,20.6550
86,19.0521,20.6363
87,19.3643,20.6217
88,19.1985,20.6055
89,20.3665,20.6029
90,21.2807,20.6104
91,22.4135,20.6302
92,21.5249,20.6399
93,20.5206,20.6386
94,18.2534,20.6133
95,17.5728,20.5813
96,16.4855,20.5386
97,14.8081,20.4795
98,14.1506,20.4149
99,15.2563,20.3628
100,17.6190,20.3354
101,24.4330,20.3760
102,25.0155,20.4214
103,21.3892,20.4308
104,19.1746,20.4188
105,21.2794,20.4270
106,20.4462,20.4271
107,20.9961,20.4325
108,23.2820,20.4588
109,28.1804,20.5297
110,25.7526,20.5772
111,25.5682,20.6221
112,24.3186,20.6551
113,26.2067,20.7043
114,26.4455,20.7546
115,26.4218,20.8039
116,25.2110,20.8419
117,22.4477,20.8556
118,20.0141,20.8485
119,16.2317,20.8097
120,11.7165,20.7339
121,11.5658,20.6581
