Frame,MSE_KF,Avg_MSE_KF
1,21.4381,21.4381
2,20.6831,21.0606
3,20.8580,20.9931
4,19.6714,20.6626
5,19.8101,20.4921
6,19.2803,20.2902
7,18.9209,20.0946
8,17.8783,19.8175
9,17.1903,19.5256
10,17.1933,19.2924
11,17.1049,19.0935
12,16.9351,18.9136
13,16.2328,18.7074
14,16.3256,18.5373
15,16.3398,18.3908
16,17.0182,18.3050
17,18.0430,18.2896
18,18.9595,18.3268
19,18.7027,18.3466
20,16.9942,18.2790
21,17.1333,18.2244
22,15.2912,18.0911
23,15.0900,17.9606
24,13.7907,17.7869
25,14.5041,17.6556
26,15.9215,17.5889
27,16.8449,17.5613
28,16.9185,17.5383
29,17.3708,17.5326
30,16.8685,17.5104
31,17.5023,17.5102
32,18.1314,17.5296
33,19.0695,17.5763
34,20.3894,17.6590
35,22.5035,17.7974
36,22.3560,17.9240
37,21.4402,18.0191
38,19.3654,18.0545
39,16.6168,18.0176
40,15.1721,17.9465
41,13.7431,17.8440
42,12.4441,17.7154
43,12.6985,17.5987
44,12.7387,17.4883
45,13.7726,17.4057
46,13.4901,17.3206
47,13.8269,17.2462
48,14.4433,17.1879
49,14.1985,17.1268
50,13.3564,17.0514
51,12.4135,16.9605
52,12.4848,16.8744
53,15.3863,16.8463
54,18.7563,16.8817
55,22.4613,16.9832
56,28.8042,17.1943
57,32.6841,17.4660
58,33.9359,17.7500
59,33.0576,18.0094
60,33.5117,18.2678
61,31.8797,18.4909
62,34.1977,18.7443
63,36.0423,19.0188
64,38.6019,19.3248
65,42.3191,19.6786
66,42.8769,20.0301
67,39.0448,20.3139
68,36.6982,20.5548
69,33.8917,20.7481
70,31.0500,20.8953
71,28.4020,21.0010
72,22.2054,21.0177
73,16.0869,20.9502
74,12.2507,20.8326
75,10.5912,20.6961
76,10.5952,20.5632
77,11.5219,20.4458
78,16.3489,20.3932
79,19.4605,20.3814
80,21.7318,20.3983
81,23.0232,20.4307
82,25.1686,20.4885
83,24.3942,20.5355
84,24.1897,20.5790
85,20.6906,20.5804
86,20.1131,20.5749
87,19.1444,20.5585
88,20.2253,20.5547
89,21.7398,20.5680
90,22.6593,20.5912
91,25.5465,20.6457
92,28.6301,20.7325
93,34.1807,20.8771
94,37.8261,21.0574
95,40.9441,21.2667
96,36.3121,21.4235
97,32.2365,21.5349
98,33.9717,21.6618
99,36.1797,21.8085
100,43.5574,22.0260
101,51.2917,22.3157
102,45.9264,22.5472
103,32.6242,22.6450
104,29.4539,22.7105
105,29.1602,22.7719
106,26.0312,22.8027
107,22.8785,22.8034
108,21.9073,22.7951
109,22.1116,22.7888
110,23.3602,22.7940
111,24.8506,22.8126
112,27.2056,22.8518
113,26.9944,22.8884
114,27.0445,22.9249
115,27.1016,22.9612
116,23.7358,22.9679
117,20.1380,22.9437
118,14.3228,22.8706
119,41.7759,23.0295
120,14.2256,22.9561
121,11.8349,22.8642
122,22.5870,22.8620
123,22.9264,22.8625
124,23.1846,22.8651
125,25.5718,22.8867
126,25.2938,22.9058
127,25.4660,22.9260
128,25.4325,22.9456
129,25.7829,22.9676
130,25.4095,22.9864
131,34.8594,23.0770
132,33.7604,23.1579
133,10.8825,23.0656
134,6.6200,22.9429
135,16.7391,22.8970
136,16.8791,22.8527
137,18.4751,22.8207
138,18.5194,22.7896
139,18.6260,22.7596
140,18.6556,22.7303
141,23.5063,22.7358
142,23.6795,22.7425
143,23.9378,22.7508
144,25.8805,22.7726
145,26.1289,22.7957
146,27.7614,22.8297
147,27.7959,22.8635
148,27.3478,22.8938
149,26.8212,22.9202
150,27.3714,22.9498
151,27.3605,22.9790
152,27.8581,23.0111
153,28.3224,23.0459
154,28.8824,23.0838
155,29.5141,23.1252
156,30.9211,23.1752
157,30.5102,23.2219
158,30.6778,23.2691
159,30.2544,23.3131
160,30.7049,23.3593
161,30.8197,23.4056
162,33.2767,23.4665
163,34.1620,23.5321
164,33.6694,23.5940
165,34.8165,23.6620
166,35.0925,23.7308
167,37.0230,23.8104
168,38.2866,23.8966
169,37.9750,23.9799
170,33.4252,24.0355
171,29.1641,24.0654
172,27.1997,24.0837
173,27.5325,24.1036
174,29.1171,24.1324
175,34.0099,24.1889
176,35.0657,24.2507
177,34.6541,24.3094
178,34.8353,24.3686
179,34.8155,24.4269
180,32.5779,24.4722
181,31.1943,24.5094
182,30.0606,24.5399
183,30.2389,24.5710
184,31.5655,24.6090
185,34.1846,24.6608
186,35.4814,24.7189
187,32.9114,24.7628
188,31.1259,24.7966
189,30.0973,24.8246
190,29.6271,24.8499
191,30.8420,24.8813
192,29.8329,24.9071
193,28.5316,24.9259
194,28.7813,24.9457
195,28.1548,24.9622
